Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
Bobby Abreu,18,1996,2014,2,2425,10081,8480,1453,2470,574,59,288,1363,400,128,1476,1840,.291,.395,.475,.870,60.17,"Mar 11, 1974","Sep 1, 1996","Maracay, Aragua",*9DH7/8
Wilyer Abreu,2,2023,2024,0,81,274,245,36,70,20,2,8,36,10,2,28,72,.286,.358,.482,.839,2.65,"Jun 24, 1999","Aug 22, 2023","Maracaibo, Zulia",9/7H8D
Ronald Acuña Jr.,7,2018,2024,4,722,3254,2818,581,815,145,12,165,417,196,49,368,719,.289,.379,.525,.904,25.82,"Dec 18, 1997","Apr 25, 2018","La Guaira, La Guaira",*987D/H
Ehire Adrianza,12,2013,2024,0,624,1578,1394,187,330,76,9,22,151,19,8,129,312,.237,.307,.352,.658,0.76,"Aug 21, 1989","Sep 8, 2013","Guarenas, Miranda",H65473/9D18
Jesús Aguilar,10,2014,2023,1,795,2658,2348,288,594,107,2,114,402,1,1,235,622,.253,.322,.446,.768,3.50,"Jun 30, 1990","May 15, 2014","Maracay, Aragua",*3HD/5
Edgardo Alfonzo,12,1995,2006,1,1506,6108,5385,777,1532,282,18,146,744,53,17,596,617,.284,.357,.425,.782,28.74,"Nov 8, 1973","Apr 26, 1995","Santa Teresa del Tuy, Miranda",*5*4H6/D3
Eliézer Alfonzo,6,2006,2011,0,193,624,591,44,142,24,3,17,67,1,2,17,158,.240,.271,.377,.648,-0.02,"Feb 7, 1979","Jun 3, 2006","Puerto La Cruz, Anzoategui",2H
Jose Altuve,14,2011,2024,8,1730,7635,6919,1097,2120,412,31,218,768,301,86,571,961,.306,.363,.469,.833,50.97,"May 6, 1990","Jul 20, 2011","Puerto Cabello, Carabobo",*4D/H6
José Alvarado,8,2017,2024,0,70,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,4.29,"May 21, 1995","May 3, 2017","Maracaibo, Zulia",*1/3
Clemente Álvarez,1,2000,2000,0,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,-0.06,"May 18, 1968","Sep 19, 2000","Guanta, Anzoategui",/2H
Francisco Alvarez,3,2022,2024,0,144,496,449,62,95,17,0,27,72,3,0,40,128,.212,.284,.430,.714,1.23,"Nov 19, 2001","Sep 30, 2022","Guatire, Miranda",2/HD
Henderson Alvarez III,6,2011,2017,1,54,115,100,5,22,4,0,1,9,0,0,1,36,.220,.223,.290,.513,8.50,"Apr 18, 1990","Aug 10, 2011","Valencia, Carabobo",1
José Álvarez,10,2013,2022,0,143,8,4,1,0,0,0,0,0,0,0,3,2,.000,.429,.000,.429,4.64,"May 6, 1989","Jun 9, 2013","Barcelona, Anzoategui",*1
Tony Alvarez,2,2002,2004,0,38,75,64,11,16,4,0,2,10,1,0,7,12,.250,.324,.406,.731,-0.14,"May 10, 1979","Sep 4, 2002","Caracas, Distrito Federal",/H897
Wilson Álvarez,14,1989,2005,1,96,104,95,6,13,0,0,0,1,0,0,4,33,.137,.172,.137,.309,24.81,"Mar 24, 1970","Jul 24, 1989","Maracaibo, Zulia",*1
Adbert Alzolay,6,2019,2024,0,32,38,36,1,2,1,0,0,0,0,0,1,15,.056,.081,.083,.164,2.46,"Mar 1, 1995","Jun 20, 2019","San Felix, Bolivar",1/H
Alexi Amarista,7,2011,2017,0,702,1901,1750,171,404,67,16,21,169,39,10,109,295,.231,.275,.323,.599,-0.62,"Apr 6, 1989","Apr 26, 2011","Barcelona, Anzoategui",6H4875/91D
Elvis Andrus,15,2009,2023,2,2059,8603,7772,1058,2091,380,51,102,775,347,115,611,1206,.269,.325,.370,.695,34.16,"Aug 26, 1988","Apr 6, 2009","Maracay, Aragua",*64H/D5
Luis Aparicio HOF,18,1956,1973,13,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,.262,.311,.343,.653,55.85,"Apr 29, 1934","Apr 17, 1956","Maracaibo, Zulia",*6H
Luis Aponte,5,1980,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4.36,"Jun 14, 1953","Sep 4, 1980","El Tigre, Anzoategui",1
Elvis Araújo,2,2015,2016,0,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.46,"Jul 15, 1991","May 5, 2015","Maracaibo, Zulia",1
Francisco Arcia,1,2018,2018,0,40,106,103,10,21,5,0,6,23,1,0,1,27,.204,.226,.427,.654,-0.01,"Sep 14, 1989","Jul 26, 2018","Maiquetia, La Guaira",2/H13D
Orlando Arcia,9,2016,2024,1,839,2950,2716,304,667,120,7,76,309,41,16,197,592,.246,.297,.379,.676,5.27,"Aug 4, 1994","Aug 2, 2016","Anaco, Anzoategui",*64H/75D18
Oswaldo Arcia,4,2013,2016,0,288,1075,983,103,231,40,6,44,131,3,5,76,339,.235,.298,.422,.720,-1.66,"May 9, 1991","Apr 15, 2013","Anaco, Anzoategui",97/HD
Gabriel Arias,3,2022,2024,0,176,524,477,56,99,23,2,12,41,8,4,41,167,.208,.273,.340,.613,-0.46,"Feb 27, 2000","Apr 20, 2022","La Victoria, Aragua",635/H948D7
Marcos Armas,1,1993,1993,0,15,33,31,7,6,2,0,1,1,1,0,1,12,.194,.242,.355,.597,0.14,"Aug 5, 1969","May 25, 1993","Puerto Piritu, Anzoategui",/3HD9
Tony Armas,14,1976,1989,2,1432,5502,5164,614,1302,204,39,251,815,18,20,260,1201,.252,.287,.453,.740,15.84,"Jul 2, 1953","Sep 6, 1976","Puerto Piritu, Anzoategui",*9*87DH/36
Tony Armas,10,1999,2008,0,172,299,268,6,26,2,1,0,10,0,0,4,99,.097,.110,.112,.222,6.85,"Apr 29, 1978","Aug 16, 1999","Puerto Piritu, Anzoategui",1
Luis Arráez,6,2019,2024,2,597,2459,2242,325,733,120,12,25,218,14,11,183,181,.327,.379,.425,.804,16.45,"Apr 9, 1997","May 18, 2019","San Felipe, Yaracuy",*435D7H/6
Humberto Arteaga,2,2019,2021,0,42,139,125,11,24,4,0,0,5,1,1,8,28,.192,.250,.224,.474,-0.78,"Jan 23, 1994","Jun 20, 2019","Caracas, Distrito Federal",6/4H51
Carlos Ascanio,1,1946,1946,0,18,70,62,3,10,0,0,0,6,1,,6,,.161,.235,.161,.397,-0.58,"Apr 4, 1918",Unknown,"Santa Lucia, Miranda",/3
José Ascanio,4,2007,2011,0,40,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.22,"May 2, 1985","Jul 13, 2007","Maracay, Aragua",1
Willians Astudillo,5,2018,2022,0,188,588,561,63,150,22,1,16,70,1,0,11,28,.267,.291,.396,.687,-0.63,"Oct 14, 1991","Jun 30, 2018","Barcelona, Anzoategui",523/H419D78
