Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,23,ARI,NL,23,47,42,2,10,1,1,0,6,0,1,4,6,.238,.298,.310,.607,54,13,0,0,0,1,0,H/645,,2006,23,ARI,NL,23,47,-3,-1,0,1,0,-2,-0.2,1,-1,-0.1,.490,.499,-0.2,0.1,-2,,H/645,
2007,24,ARI,NL,56,156,144,10,31,8,0,0,7,1,1,9,14,.215,.265,.271,.535,36,39,8,1,1,1,0,H54/697,,2007,24,ARI,NL,56,156,-13,0,0,-4,1,-17,-1.7,5,-12,-1.2,.470,.490,-0.8,-0.4,-8,"$380,000",H54/697,
2008,25,KCR,AL,74,234,213,21,65,8,3,0,16,2,1,19,14,.305,.361,.371,.731,97,79,6,0,1,1,0,46H/75,,2008,25,KCR,AL,74,234,2,0,0,-1,2,3,0.3,9,11,1.2,.504,.502,1.2,0.2,12,"$394,000",46H/75,
2009,26,KCR,AL,155,634,576,79,173,41,8,11,73,2,1,52,51,.300,.356,.457,.813,115,263,15,1,0,5,4,*45/H6,,2009,26,KCR,AL,155,634,12,-1,-1,-14,4,1,0.2,24,25,2.5,.501,.501,3.9,-0.9,39,"$415,500",*45/H6,
2010,27,TOT,AL,146,601,562,61,149,27,2,10,56,5,3,31,42,.265,.302,.374,.675,85,210,22,1,1,6,3,*54/HD7,,2010,27,KCR,AL,88,373,0,-1,-1,-3,2,-4,-0.3,14,10,1.1,.496,.498,1.4,-0.1,13,"$460,000",54/D,
2011,28,LAA,AL,141,536,475,54,137,23,0,6,46,8,1,58,48,.288,.366,.375,.740,112,178,11,1,0,2,8,*5H,,2010,27,LAA,AL,58,228,-8,0,0,4,1,-3,-0.3,9,5,0.5,.494,.498,0.1,0.6,1,,5/H47,
2012,29,LAA,AL,138,520,457,55,115,20,0,10,53,4,3,56,59,.252,.331,.361,.692,96,165,6,0,3,4,1,*5H,,2011,28,LAA,AL,141,536,7,1,-1,5,3,15,1.6,20,35,3.5,.511,.509,3.0,0.8,30,"$2,000,000",*5H,
2013,30,TOT,AL,136,516,453,52,117,20,0,10,58,0,2,53,47,.258,.333,.369,.702,99,167,12,1,3,6,2,54D/H,,2012,29,LAA,AL,138,520,2,1,1,7,3,14,1.5,20,34,3.4,.511,.509,2.7,1.0,27,"$3,150,000",*5H,
2014,31,OAK,AL,127,451,404,37,90,15,0,4,39,0,1,40,50,.223,.290,.290,.580,67,117,18,1,0,6,1,4D35H,,2013,30,LAA,AL,86,336,-5,-2,1,-6,2,-10,-0.9,12,2,0.3,.488,.494,0.8,-0.3,8,,5/HD,
2015,32,TOT,NL,97,261,230,20,54,7,0,1,15,0,0,28,34,.235,.315,.278,.594,68,64,6,0,1,2,1,5H/4D,,2013,30,OAK,AL,50,180,4,-2,0,-4,0,-2,-0.2,6,4,0.4,.495,.498,0.8,-0.3,8,"$4,100,000",4/5DH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,31,OAK,AL,127,451,-14,-3,-2,-2,-3,-24,-2.6,16,-8,-1.0,.479,.483,-0.8,-0.4,-6,"$4,875,000",4D35H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,32,ATL,NL,37,123,-6,0,0,-3,1,-9,-1.0,4,-5,-0.6,.475,.494,-0.2,-0.3,-2,,5/H4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,32,LAD,NL,60,138,-3,-2,0,-2,1,-6,-0.7,4,-2,-0.2,.489,.496,0.0,-0.2,0,"$3,000,000",5H/D,
