Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2008,21,MIL,NL,9,4,4,2,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,167,2,0,0,0,0,0,/H6,,2008,21,MIL,NL,9,4,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,,/H6,
2009,22,MIL,NL,38,134,125,20,38,3,1,1,11,4,2,4,18,.304,.333,.368,.701,87,46,0,2,2,1,0,6/H,,2009,22,MIL,NL,38,134,-2,1,1,-2,2,-1,-0.1,4,4,0.3,.499,.500,0.5,0.0,6,"$400,000",6/H,
2010,23,MIL,NL,145,552,506,57,119,14,10,4,41,10,4,36,70,.235,.288,.326,.614,66,165,8,3,4,3,7,*6/H798,,2010,23,MIL,NL,145,552,-25,-1,2,7,7,-10,-1.1,17,8,0.5,.493,.494,-0.2,1.4,1,"$405,500",*6/H798,
2011,24,KCR,AL,158,598,548,69,139,21,8,4,46,26,9,25,73,.254,.290,.343,.633,74,188,10,4,18,3,1,*6/H,,2011,24,KCR,AL,158,598,-16,0,1,10,8,4,0.5,22,27,2.7,.503,.503,1.7,1.9,17,"$428,000",*6/H,
2012,25,KCR,AL,155,648,605,68,177,30,7,5,52,35,5,27,100,.293,.331,.390,.721,96,236,14,8,8,0,2,*6,,2012,25,KCR,AL,155,648,-3,5,1,-2,8,10,1.0,24,35,3.4,.507,.507,3.8,0.6,37,"$1,000,000",*6,
2013,26,KCR,AL,158,642,607,57,142,20,4,4,52,22,0,19,84,.234,.259,.300,.559,53,182,12,3,9,4,1,*6/H,,2013,26,KCR,AL,158,642,-39,7,0,5,8,-19,-1.8,23,4,0.4,.487,.488,-0.3,1.7,-1,"$3,000,000",*6/H,
2014,27,KCR,AL,162,620,579,74,165,34,5,3,50,31,6,23,83,.285,.317,.377,.694,93,218,12,6,8,4,1,*6,,2014,27,KCR,AL,162,620,-6,2,0,-2,9,3,0.5,22,25,2.7,.502,.502,2.8,0.9,27,"$3,000,000",*6,
2015,28,KCR,AL,148,662,612,76,157,20,5,3,47,17,5,26,75,.257,.293,.320,.614,67,196,10,8,11,5,1,*6,"AS,GG",2015,28,KCR,AL,148,662,-28,4,1,2,8,-13,-1.2,23,9,1.0,.490,.491,0.7,1.2,7,"$3,000,000",*6,"AS,GG"
2016,29,KCR,AL,162,682,637,57,166,24,6,7,55,17,4,27,96,.261,.292,.350,.642,72,223,16,3,10,5,2,*6,,2016,29,KCR,AL,162,682,-25,3,1,-4,9,-17,-1.7,24,7,0.7,.489,.489,1.1,0.6,11,"$5,250,000",*6,
2017,30,KCR,AL,162,629,599,71,150,36,5,6,54,4,7,15,102,.250,.272,.357,.629,66,214,14,4,7,4,1,*6,,2017,30,KCR,AL,162,629,-28,0,2,-11,8,-29,-2.8,23,-6,-0.7,.482,.482,0.5,-0.2,5,"$6,500,000",*6,
2018,31,KCR,AL,140,531,485,54,112,22,3,4,34,8,2,29,74,.231,.279,.313,.593,63,152,14,5,8,4,1,65/84,,2018,31,KCR,AL,140,531,-23,2,0,-28,6,-41,-4.0,19,-22,-2.2,.470,.474,0.6,-2.0,6,"$2,500,000",65/84,
2021,34,WSN,NL,75,349,319,53,92,21,2,4,28,3,0,17,56,.288,.340,.404,.744,105,129,2,9,2,2,0,64,,2021,34,WSN,NL,75,349,2,2,1,-2,4,6,0.5,11,17,1.6,.508,.504,1.8,0.2,19,,64,
2022,35,WSN,NL,40,131,124,12,27,4,2,0,8,1,1,5,32,.218,.260,.282,.542,57,35,1,2,0,0,0,6/H41,,2022,35,WSN,NL,40,131,-6,0,1,-5,2,-9,-0.9,4,-4,-0.5,.477,.494,0.0,-0.3,1,"$1,000,000",6/H41,
