Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,20,KCR,AL,19,67,60,9,19,2,2,0,5,1,2,5,6,.317,.379,.417,.795,107,25,0,1,1,0,0,6,,2004,20,KCR,AL,19,67,1,-1,0,4,1,6,0.6,3,8,0.8,.530,.503,0.4,0.5,4,,6,
2005,21,KCR,AL,26,86,79,6,17,0,1,0,5,0,1,0,5,.215,.220,.241,.460,23,19,3,1,4,2,0,4/6H,,2005,21,KCR,AL,26,86,-8,1,0,-1,1,-8,-0.8,3,-5,-0.5,.470,.495,-0.4,0.0,-4,,4/6H,
2006,22,KCR,AL,33,96,87,9,21,4,1,0,9,0,1,5,14,.241,.290,.310,.601,56,27,2,1,3,0,0,6/4HD,,2006,22,KCR,AL,33,96,-5,0,0,3,1,-1,-0.1,4,3,0.3,.497,.499,0.0,0.4,0,,6/4HD,
2009,25,CHC,NL,53,138,123,15,31,8,0,1,12,0,2,8,14,.252,.303,.341,.644,66,42,4,1,6,0,3,46/H,,2009,25,CHC,NL,53,138,-8,0,0,2,2,-4,-0.5,4,0,0.0,.492,.497,-0.2,0.4,-2,,46/H,
2010,26,TEX,AL,68,185,166,17,46,10,1,0,13,0,2,11,24,.277,.330,.349,.679,80,58,0,3,3,2,1,46/5HD,,2010,26,TEX,AL,68,185,-6,-1,0,0,2,-4,-0.4,7,3,0.2,.493,.497,0.2,0.2,3,"$510,000",46/5HD,
2011,27,TEX,AL,36,82,76,9,17,3,0,2,3,0,1,4,14,.224,.263,.342,.605,59,26,1,0,2,0,0,6/54H9,,2011,27,TEX,AL,36,82,-3,0,0,2,1,0,-0.1,3,3,0.2,.499,.500,0.0,0.4,1,"$520,000",6/54H9,
2014,30,PHI,NL,25,53,47,4,13,5,0,1,3,0,0,2,6,.277,.306,.447,.753,108,21,4,0,4,0,1,5/H64,,2014,30,PHI,NL,25,53,1,0,-1,-1,1,-1,-0.1,2,1,0.1,.498,.500,0.2,-0.1,2,,5/H64,
2015,31,PHI,NL,106,261,233,32,68,22,3,7,25,1,1,21,44,.292,.360,.502,.863,137,117,11,4,3,0,0,H546/3,,2015,31,PHI,NL,106,261,12,1,-1,-7,2,6,0.7,8,15,1.5,.507,.504,2.2,-0.6,22,"$850,000",H546/3,
2016,32,PHI,NL,90,209,190,26,48,15,1,4,21,2,3,11,41,.253,.316,.405,.721,92,77,7,7,0,1,0,H5436/7,,2016,32,PHI,NL,90,209,0,0,0,-11,0,-11,-1.2,7,-4,-0.5,.488,.493,0.6,-1.1,7,"$1,450,000",H5436/7,
2017,33,PHI,NL,80,144,130,10,25,4,0,3,13,1,0,12,34,.192,.257,.292,.549,45,38,1,0,0,2,0,H543/6D1,,2017,33,PHI,NL,80,144,-11,0,1,1,0,-8,-0.9,5,-4,-0.5,.489,.495,-0.5,0.1,-5,"$3,000,000",H543/6D1,
