Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1985,24,MON,NL,24,79,75,9,14,1,0,2,4,1,2,3,18,.187,.228,.280,.508,45,21,0,1,0,0,0,3/H,,1985,24,MON,NL,24,79,-3,0,1,3,-1,-1,-0.1,3,2,0.2,.498,.500,-0.2,0.2,-1,,3/H,
1986,25,MON,NL,105,356,321,39,87,13,0,10,42,6,5,30,79,.271,.338,.405,.743,105,130,8,3,1,1,5,3H,,1986,25,MON,NL,105,356,0,-1,0,-4,-5,-10,-1.1,12,3,0.2,.490,.494,0.6,-1.0,7,"$67,500",3H,
1987,26,MON,NL,147,606,551,72,168,40,3,13,90,7,10,41,127,.305,.361,.459,.821,114,253,11,10,0,4,13,*3/H,,1987,26,MON,NL,147,606,10,-6,1,5,-8,2,0.2,21,23,2.2,.501,.501,1.6,-0.3,18,"$90,000",*3/H,
1988,27,MON,NL,157,661,609,99,184,42,8,29,92,13,4,39,153,.302,.352,.540,.893,150,329,12,10,0,3,9,*3/H,"AS,MVP-7,SS",1988,27,MON,NL,157,661,37,-1,1,2,-8,31,3.4,23,53,5.7,.522,.522,5.5,-0.8,52,"$240,000",*3/H,"AS,MVP-7,SS"
1989,28,MON,NL,152,636,572,76,147,30,1,23,85,12,5,48,158,.257,.327,.434,.761,116,248,12,13,0,3,10,*3/H,GG,1989,28,MON,NL,152,636,11,-1,1,-1,-8,1,0.0,20,22,2.0,.501,.501,2.1,-1.1,23,"$865,000",*3/H,GG
1990,29,MON,NL,155,628,579,65,148,29,0,20,87,10,1,40,169,.256,.306,.409,.715,99,237,14,4,0,5,8,*3/H,GG,1990,29,MON,NL,155,628,-2,2,-1,4,-8,-5,-0.5,20,15,1.5,.497,.497,0.8,-0.3,11,"$1,950,000",*3/H,GG
1991,30,MON,NL,107,400,375,34,82,13,2,9,33,5,6,23,86,.219,.268,.336,.604,70,126,6,2,0,0,5,3/H,,1991,30,MON,NL,107,400,-13,-1,0,1,-5,-18,-2.1,13,-5,-0.8,.481,.487,-1.0,-0.5,-6,,3/H,
1992,31,STL,NL,95,347,325,38,79,14,2,10,39,5,4,11,69,.243,.282,.391,.673,92,127,8,8,0,3,0,3/H,,1992,31,STL,NL,95,347,-4,-1,0,-2,-5,-12,-1.4,10,-1,-0.3,.486,.492,-0.1,-0.8,1,"$2,366,667",3/H,
1993,32,COL,NL,120,506,470,71,174,35,4,22,98,2,4,24,73,.370,.403,.602,1.005,150,283,9,6,0,6,12,*3/H,"AS,MVP-10",1993,32,COL,NL,120,506,29,-5,-1,1,-6,19,2.0,16,34,3.5,.516,.512,3.2,-0.5,33,"$850,000",*3/H,"AS,MVP-10"
1994,33,COL,NL,103,449,417,77,133,21,0,31,85,8,3,19,93,.319,.356,.592,.949,127,247,10,8,0,5,8,*3,MVP-10,1994,33,COL,NL,103,449,18,2,-1,-6,-6,7,0.6,14,20,2.0,.506,.504,2.6,-1.2,27,"$3,850,000",*3,MVP-10
