Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,22,FLA,NL,17,38,35,1,4,0,0,0,2,0,0,0,14,.114,.114,.114,.229,-40,4,1,0,3,0,0,1,RoY-9,2006,22,FLA,NL,17,38,-8,0,0,0,6,-2,-0.3,0,-2,-0.3,.486,.499,-0.3,0.0,-2,,1,RoY-9
2007,23,FLA,NL,6,14,11,1,1,0,0,0,0,0,0,2,7,.091,.231,.091,.322,-11,1,0,0,1,0,0,/1,,2007,23,FLA,NL,6,14,-2,0,0,0,2,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,"$381,000",/1,
2008,24,FLA,NL,10,19,17,0,0,0,0,0,0,0,0,1,7,.000,.056,.000,.056,-84,0,0,0,1,0,0,1,,2008,24,FLA,NL,10,19,-5,0,0,0,3,-2,-0.2,0,-2,-0.2,.478,.499,-0.2,0.0,-2,"$390,000",1,
2009,25,FLA,NL,16,31,23,0,0,0,0,0,0,0,0,3,8,.000,.115,.000,.115,-66,0,0,0,5,0,0,1,,2009,25,FLA,NL,16,31,-7,0,0,0,4,-2,-0.2,0,-2,-0.2,.486,.499,-0.2,0.0,-2,"$400,000",1,
2010,26,FLA,NL,31,69,59,3,6,0,0,0,1,0,0,4,28,.102,.159,.102,.260,-28,6,0,0,6,0,0,1/H,,2010,26,FLA,NL,31,69,-12,0,0,0,9,-2,-0.3,0,-2,-0.3,.492,.498,-0.3,0.0,-2,"$1,250,000",1/H,
2011,27,FLA,NL,31,70,57,1,7,0,0,0,3,0,0,4,23,.123,.180,.123,.303,-15,7,0,0,9,0,0,1,,2011,27,FLA,NL,31,70,-9,0,1,0,9,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$3,700,000",1,
2012,28,TOT,MLB,17,35,30,1,3,0,1,0,0,0,0,1,18,.100,.129,.167,.296,-21,5,0,0,4,0,0,1,,2012,28,MIA,NL,17,35,-6,0,0,0,5,-1,-0.1,0,-1,-0.1,.495,.499,-0.1,0.0,-1,"$8,000,000",1,
2013,29,DET,AL,3,7,4,0,0,0,0,0,0,0,0,1,4,.000,.200,.000,.200,-39,0,0,0,2,0,0,1,CYA-4,2013,29,DET,AL,3,7,-1,0,0,0,1,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,"$8,800,000",1,CYA-4
2014,30,DET,AL,2,5,5,0,1,1,0,0,1,0,0,0,3,.200,.200,.400,.600,65,2,0,0,0,0,0,1,,2014,30,DET,AL,2,5,0,0,0,0,1,0,0.1,0,0,0.1,.523,.500,0.1,0.0,0,"$15,800,000",1,
2015,31,DET,AL,2,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2015,31,DET,AL,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.473,.500,-0.1,0.0,-1,"$16,800,000",1,
2016,32,DET,AL,2,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2016,32,DET,AL,2,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.458,.499,-0.1,0.0,-1,"$16,800,000",1,
2017,33,DET,AL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2017,33,DET,AL,2,2,-1,0,0,0,0,0,0.0,0,0,0.0,.487,.500,0.0,0.0,0,"$16,800,000",1,
2018,34,ATL,NL,23,44,41,0,1,0,0,0,0,0,0,1,25,.024,.048,.024,.072,-80,1,2,0,2,0,0,1,,2018,34,ATL,NL,23,44,-10,0,0,0,7,-4,-0.4,0,-4,-0.4,.482,.497,-0.4,0.0,-4,"$1,000,000",1,
2019,35,WSN,NL,27,56,52,1,6,0,0,0,1,0,0,0,24,.115,.115,.115,.231,-40,6,3,0,4,0,0,1,,2019,35,WSN,NL,27,56,-12,0,-1,0,9,-3,-0.4,0,-3,-0.4,.488,.498,-0.4,0.0,-3,"$6,000,000",1,
