Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2007,21,CLE,AL,45,186,159,30,45,9,2,3,22,0,0,17,29,.283,.354,.421,.775,103,67,7,2,5,3,0,4/6H5,,2007,21,CLE,AL,45,186,0,1,0,7,1,9,0.9,7,16,1.6,.520,.506,0.9,0.9,9,,4/6H5,
2008,22,CLE,AL,114,418,352,48,91,20,0,6,47,4,4,46,77,.259,.346,.366,.713,92,129,8,4,11,5,2,46/HD,,2008,22,CLE,AL,114,418,-3,-2,1,13,3,14,1.5,16,29,3.0,.512,.508,1.6,1.8,16,"$393,300",46/HD,
2009,23,CLE,AL,131,581,523,81,161,42,4,6,68,17,4,44,89,.308,.361,.438,.799,114,229,13,1,10,3,1,64/H,,2009,23,CLE,AL,131,581,17,4,0,-4,6,22,2.3,21,43,4.2,.517,.513,4.7,0.3,47,"$416,700",64/H,
2010,24,CLE,AL,97,425,381,39,105,16,1,3,29,6,4,25,60,.276,.326,.346,.673,89,132,10,5,11,3,0,6/HD,,2010,24,CLE,AL,97,425,-5,0,0,-1,5,-2,-0.1,15,14,1.4,.498,.499,1.5,0.5,15,"$444,600",6/HD,
2011,25,CLE,AL,151,667,604,87,165,32,3,25,92,17,5,44,119,.273,.332,.460,.792,121,278,10,11,4,4,5,*6,"AS,MVP-20,SS",2011,25,CLE,AL,151,667,15,0,0,0,8,23,2.4,24,47,4.7,.516,.515,4.8,0.9,47,"$2,025,000",*6,"AS,MVP-20,SS"
2012,26,CLE,AL,143,616,555,70,150,35,1,16,68,9,4,52,99,.270,.338,.423,.762,114,235,18,6,1,2,3,*6/DH,AS,2012,26,CLE,AL,143,616,9,1,-2,-5,7,10,1.1,23,33,3.3,.508,.507,3.9,0.2,38,"$4,550,000",*6/DH,AS
2013,27,CLE,AL,136,562,508,66,123,35,2,14,64,9,3,35,114,.242,.299,.402,.700,96,204,10,8,6,5,1,*6/DH,,2013,27,CLE,AL,136,562,0,-2,1,-14,6,-8,-0.6,20,12,1.3,.494,.495,2.6,-0.6,26,"$6,500,000",*6/DH,
2014,28,TOT,MLB,146,616,553,74,133,31,4,14,61,10,2,49,108,.241,.307,.387,.694,93,214,15,7,1,6,2,64/HD,,2014,28,CLE,AL,97,416,-4,1,-1,-4,5,-3,-0.2,15,12,1.3,.497,.498,1.7,0.2,16,"$10,000,000",6/DH,
2015,29,TBR,AL,143,551,505,66,134,28,5,15,58,6,3,36,107,.265,.315,.430,.744,106,217,14,3,1,6,4,*6/HD,,2014,28,WSN,NL,49,200,0,1,0,-4,1,-1,-0.2,7,5,0.4,.497,.499,0.9,-0.3,9,,4/H6,
2016,30,NYM,NL,141,568,521,65,146,30,1,23,62,5,1,38,103,.280,.336,.474,.810,117,247,14,7,0,2,3,*6/H,,2015,29,TBR,AL,143,551,-1,0,-1,-10,7,-4,-0.3,20,15,1.6,.497,.497,2.7,-0.2,25,"$7,500,000",*6/HD,
2017,31,NYM,NL,135,540,479,66,134,32,0,14,59,3,2,50,83,.280,.351,.434,.785,110,208,19,5,1,5,1,654H/D,,2016,30,NYM,NL,141,568,12,1,-1,-2,7,16,1.6,18,35,3.3,.512,.510,3.6,0.5,37,"$8,250,000",*6/H,
2018,32,TOT,NL,147,592,546,68,143,36,1,23,75,0,0,41,119,.262,.316,.458,.774,111,250,16,3,0,2,1,465H/D,,2017,31,NYM,NL,135,540,11,-4,-2,-13,4,-3,-0.4,18,14,1.3,.498,.498,2.6,-0.9,27,"$8,250,000",654H/D,
2019,33,TOT,MLB,131,514,447,69,116,25,1,18,91,4,0,57,103,.260,.342,.441,.783,98,197,9,3,0,7,2,54/H3,,2018,32,NYM,NL,98,407,13,3,-1,-11,2,6,0.4,13,19,1.7,.506,.504,3.0,-1.0,30,"$8,250,000",4/HD,
2020,34,WSN,NL,52,213,190,23,46,9,3,8,31,0,0,19,40,.242,.305,.447,.753,101,85,6,0,0,4,0,35D/H,,2018,32,PHI,NL,49,185,-5,-1,0,-7,2,-12,-1.3,6,-6,-0.8,.474,.492,0.0,-0.6,1,,65/HD4,
2021,35,TOT,NL,110,352,309,34,71,21,0,7,42,1,0,36,80,.230,.313,.366,.678,83,113,8,3,0,4,1,5H3/D16,,2019,33,TEX,AL,93,368,-9,-1,0,-9,2,-17,-1.5,13,-4,-0.2,.483,.490,0.6,-0.6,5,"$3,500,000",5/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,33,WSN,NL,38,146,9,-1,0,-3,1,5,0.5,5,10,0.9,.513,.503,1.3,-0.3,13,,4/5H3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,34,WSN,NL,52,213,-1,-1,-1,-1,-2,-6,-0.5,7,1,0.2,.489,.496,0.2,-0.3,2,"$2,500,000",35D/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,35,ARI,NL,90,321,-3,-1,1,2,0,-1,-0.2,11,10,0.9,.499,.499,0.7,0.2,8,"$1,750,000",5H3/D16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,35,CIN,NL,20,31,-4,0,0,-1,0,-6,-0.6,1,-5,-0.5,.469,.496,-0.4,-0.1,-4,,H/35,
