Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,21,DET,AL,23,51,47,7,15,0,0,0,3,0,2,3,10,.319,.373,.319,.692,90,15,1,1,0,0,1,9/H87,,2012,21,DET,AL,23,51,-1,-2,0,-1,-1,-4,-0.5,2,-2,-0.3,.481,.497,-0.2,-0.2,-1,,9/H87,
2013,22,TOT,AL,72,256,244,31,69,7,3,7,31,3,3,9,59,.283,.309,.422,.731,97,103,8,1,0,2,0,98H/7,,2013,22,DET,AL,30,88,-2,0,0,-2,0,-4,-0.4,3,-1,-0.1,.486,.497,0.1,-0.2,1,,8/H97,
2014,23,CHW,AL,46,190,172,19,42,8,0,7,29,4,1,14,44,.244,.305,.413,.718,105,71,5,2,0,2,1,9,,2013,22,CHW,AL,42,168,1,-1,-1,-2,-1,-4,-0.4,6,2,0.2,.490,.497,0.4,-0.3,4,"$490,000",9/8H,
2015,24,CHW,AL,148,601,553,66,142,17,2,13,59,7,7,36,141,.257,.309,.365,.675,89,202,13,8,0,4,3,*9D/H,,2014,23,CHW,AL,46,190,0,0,1,-7,-2,-7,-0.7,7,-1,-0.1,.483,.495,0.7,-0.9,6,"$510,000",9,
2016,25,CHW,AL,120,453,413,59,101,18,2,12,51,4,4,34,115,.245,.307,.385,.692,89,159,9,4,0,2,0,D97/H,,2015,24,CHW,AL,148,601,-7,0,1,-5,-7,-18,-1.8,22,4,0.3,.487,.488,0.8,-1.1,8,"$523,000",*9D/H,
2017,26,CHW,AL,136,561,518,75,171,27,5,18,80,5,3,33,111,.330,.380,.506,.885,138,262,14,9,0,1,5,*9/DH,AS,2016,25,CHW,AL,120,453,-2,-1,1,3,-8,-7,-0.7,16,9,0.9,.494,.495,0.6,-0.5,6,"$2,100,000",D97/H,
2018,27,CHW,AL,93,385,356,47,84,11,2,19,49,3,1,20,102,.236,.281,.438,.719,95,156,9,4,0,5,2,9/D,,2017,26,CHW,AL,136,561,28,3,-1,-1,-5,24,2.5,20,44,4.4,.518,.515,4.5,-0.6,45,"$3,000,000",*9/DH,AS
2019,28,TBR,AL,125,530,489,61,138,25,2,20,72,10,4,31,125,.282,.332,.464,.796,112,227,15,7,0,3,2,9D8/H,,2018,27,CHW,AL,93,385,-2,-1,-1,-2,-4,-10,-0.8,14,4,0.5,.489,.494,0.6,-0.5,6,"$6,700,000",9/D,
2020,29,MIL,NL,53,207,181,20,43,10,0,2,15,1,3,20,49,.238,.333,.326,.659,78,59,2,6,0,0,2,*8/9DH,,2019,28,TBR,AL,125,530,8,-2,-1,3,-6,2,0.4,19,21,2.2,.502,.501,1.8,-0.1,18,"$3,500,000",9D8/H,
2021,30,MIL,NL,135,515,461,68,121,18,0,29,86,8,4,38,121,.262,.330,.490,.820,119,226,12,11,0,5,5,*9H/8,,2020,29,MIL,NL,53,207,-5,-2,0,-4,1,-10,-1.0,7,-3,-0.3,.481,.494,0.1,-0.3,1,"$7,250,000",*8/9DH,
2022,31,MIA,NL,98,380,357,31,80,9,0,8,35,4,0,17,109,.224,.266,.317,.582,64,113,12,4,0,2,0,9D/H,,2021,30,MIL,NL,135,515,12,-2,0,8,-4,14,1.3,18,31,3.0,.511,.509,2.3,0.3,23,"$10,750,000",*9H/8,
2023,32,MIA,NL,37,118,108,8,20,3,1,3,12,2,0,6,39,.185,.241,.315,.556,48,34,1,2,0,0,1,97/HD8,,2022,31,MIA,NL,98,380,-15,1,-1,-3,-4,-23,-2.4,13,-10,-1.1,.475,.485,-0.8,-0.7,-7,"$12,000,000",9D/H,
2024,33,MIA,NL,18,51,50,4,12,1,0,2,2,0,0,1,13,.240,.255,.380,.635,76,19,4,0,0,0,0,9/H,,2023,32,MIA,NL,37,118,-9,0,0,1,-1,-9,-0.9,4,-5,-0.5,.475,.494,-0.6,0.0,-6,"$12,000,000",97/HD8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,33,MIA,NL,18,51,-2,0,-1,1,0,-2,-0.2,2,0,-0.1,.488,.499,-0.2,0.1,-1,"$12,000,000",9/H,
