Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1977,24,BOS,AL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,,1977,24,BOS,AL,2,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,/2H,
1978,25,CLE,AL,44,133,127,12,30,4,0,2,11,0,0,4,17,.236,.260,.315,.575,62,40,2,0,2,0,0,2,,1978,25,CLE,AL,44,133,-6,0,0,-1,3,-4,-0.4,5,1,0.0,.490,.497,0.2,0.2,2,,2,
1979,26,CLE,AL,15,35,32,0,5,2,0,0,1,0,0,2,6,.156,.206,.219,.425,15,7,1,0,1,0,0,2,,1979,26,CLE,AL,15,35,-4,0,0,-1,1,-5,-0.5,1,-4,-0.4,.468,.497,-0.3,0.0,-3,,2,
1980,27,CLE,AL,76,222,207,15,47,11,2,3,32,1,0,7,27,.227,.250,.343,.593,61,71,12,0,5,2,3,2H,,1980,27,CLE,AL,76,222,-13,0,-1,-6,4,-17,-1.7,8,-10,-1.0,.477,.489,-0.4,-0.2,-3,,2H,
1981,28,CLE,AL,63,199,182,25,57,19,0,7,38,2,2,13,23,.313,.359,.533,.892,156,97,7,1,1,2,2,2H/D,AS,1981,28,CLE,AL,63,199,12,0,-1,-2,3,13,1.4,7,20,2.0,.522,.509,2.3,0.1,22,,2H/D,AS
1982,29,PHI,NL,144,572,525,69,151,29,1,18,85,3,6,36,87,.288,.333,.450,.782,115,236,20,3,1,7,5,*2/H,,1982,29,PHI,NL,144,572,10,-4,-2,1,9,15,1.7,20,34,3.7,.511,.510,3.4,1.2,33,,*2/H,
1983,30,PHI,NL,136,516,471,49,111,17,0,15,64,1,4,38,57,.236,.295,.367,.662,84,173,10,2,4,1,4,*2/H,,1983,30,PHI,NL,136,516,-5,-3,1,3,8,5,0.4,18,23,2.2,.504,.503,1.9,1.2,20,,*2/H,
1984,31,PHI,NL,27,83,75,5,16,4,0,1,9,0,0,5,13,.213,.256,.307,.563,57,23,4,0,1,2,0,2/H,,1984,31,PHI,NL,27,83,-4,0,-1,0,1,-4,-0.4,3,-1,-0.1,.484,.497,-0.2,0.2,-1,,2/H,
1985,32,TOT,NL,77,263,237,21,58,13,1,5,31,0,0,21,25,.245,.307,.371,.678,86,88,11,1,2,2,0,2/H,,1985,32,PHI,NL,26,82,-1,0,-1,0,1,-1,-0.1,3,2,0.2,.497,.499,0.2,0.1,2,"$620,000",2/H,
1986,33,CIN,NL,134,519,474,50,129,21,0,10,56,1,1,40,52,.272,.327,.380,.707,92,180,11,0,2,3,0,*2/H,,1985,32,CIN,NL,51,181,-2,-1,-1,1,3,1,0.1,6,7,0.7,.502,.501,0.6,0.4,6,,2,
1987,34,CIN,NL,140,530,496,49,134,28,1,15,82,1,0,19,73,.270,.300,.421,.722,86,209,16,5,4,6,1,*2/H,AS,1986,33,CIN,NL,134,519,-5,-3,0,5,8,5,0.5,18,23,2.3,.504,.503,1.7,1.4,18,"$775,000",*2/H,
1988,35,CIN,NL,92,327,315,26,69,9,0,10,35,0,2,7,41,.219,.236,.343,.579,62,108,16,1,1,3,4,2/H,,1987,34,CIN,NL,140,530,-9,-2,-1,11,8,6,0.6,18,24,2.4,.505,.504,1.2,2.0,13,"$825,000",*2/H,AS
1989,36,CIN,NL,43,138,132,6,27,5,0,1,8,0,2,6,7,.205,.239,.265,.504,42,35,3,0,0,0,3,2/H,,1988,35,CIN,NL,92,327,-16,1,-2,6,5,-7,-0.8,11,5,0.3,.492,.495,-0.4,1.3,-1,"$850,000",2/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,36,CIN,NL,43,138,-11,0,0,-2,2,-11,-1.3,4,-6,-0.8,.472,.492,-0.6,0.0,-4,"$900,000",2/H,
