Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1996,22,HOU,NL,15,24,22,1,5,1,0,0,1,0,0,2,3,.227,.292,.273,.564,56,6,1,0,0,0,0,/H79,,1996,22,HOU,NL,15,24,-1,0,0,1,0,-1,-0.1,1,0,0.0,.495,.500,-0.1,0.0,-1,,/H79,
1997,23,HOU,NL,59,210,188,22,47,10,2,3,26,7,2,21,48,.250,.329,.372,.701,87,70,0,1,0,0,0,9H7/8,,1997,23,HOU,NL,59,210,-3,-1,1,4,-2,-2,-0.2,6,5,0.4,.497,.499,0.0,0.1,1,"$150,000",9H7/8,
1998,24,PHI,NL,151,589,497,68,155,29,6,17,74,19,10,84,133,.312,.409,.497,.906,136,247,6,0,4,4,14,*9H,,1998,24,PHI,NL,151,589,23,0,1,28,-5,47,4.6,18,65,6.4,.532,.530,3.6,2.2,37,"$180,000",*9H,
1999,25,PHI,NL,152,662,546,118,183,35,11,20,93,27,9,109,113,.335,.446,.549,.995,147,300,13,3,0,4,8,*9/DH,MVP-23,1999,25,PHI,NL,152,662,43,3,2,5,-6,46,4.1,20,66,6.1,.529,.527,5.7,-0.2,61,"$400,000",*9/DH,MVP-23
2000,26,PHI,NL,154,680,576,103,182,42,10,25,79,28,8,100,116,.316,.416,.554,.970,143,319,12,1,0,3,9,*9/H,,2000,26,PHI,NL,154,680,38,-2,1,15,-6,46,4.2,21,67,6.2,.528,.527,4.9,0.8,52,"$2,933,333",*9/H,
2001,27,PHI,NL,162,704,588,118,170,48,4,31,110,36,14,106,137,.289,.393,.543,.936,142,319,13,1,0,9,11,*9/H,MVP-16,2001,27,PHI,NL,162,704,36,1,1,1,-6,33,3.1,22,55,5.2,.520,.520,5.2,-0.6,54,"$4,983,000",*9/H,MVP-16
2002,28,PHI,NL,157,685,572,102,176,50,6,20,85,31,12,104,117,.308,.413,.521,.934,151,298,11,3,0,6,9,*98/H,,2002,28,PHI,NL,157,685,41,-1,1,2,-5,38,3.8,21,59,5.8,.525,.524,5.7,-0.4,57,"$6,333,333",*98/H,
2003,29,PHI,NL,158,695,577,99,173,35,1,20,101,22,9,109,126,.300,.409,.468,.877,136,270,13,2,0,7,13,*9,MVP-27,2003,29,PHI,NL,158,695,33,2,0,6,-6,35,3.3,21,56,5.4,.522,.522,4.8,-0.1,50,"$9,100,000",*9,MVP-27
2004,30,PHI,NL,159,713,574,118,173,47,1,30,105,40,5,127,116,.301,.428,.544,.971,145,312,5,5,0,7,10,*9/H,"AS,MVP-23,SS",2004,30,PHI,NL,159,713,43,7,2,1,-6,47,4.5,21,68,6.6,.529,.529,6.5,-0.6,67,"$10,600,000",*9/H,"AS,MVP-23,SS"
2005,31,PHI,NL,162,719,588,104,168,37,1,24,102,31,9,117,134,.286,.405,.474,.879,126,279,7,6,0,8,15,*9/DH,"AS,MVP-14,GG",2005,31,PHI,NL,162,719,27,1,3,-8,-6,16,1.5,22,37,3.6,.510,.510,4.4,-1.5,45,"$13,100,000",*9/DH,"AS,MVP-14,GG"
2006,32,TOT,MLB,156,686,548,98,163,41,2,15,107,30,6,124,138,.297,.424,.462,.886,126,253,13,3,2,9,6,*9/8DH,,2006,32,PHI,NL,98,438,13,4,1,-6,-4,8,0.7,13,22,2.0,.508,.505,2.6,-1.0,28,"$13,600,000",9/8DH,
2007,33,NYY,AL,158,699,605,123,171,40,5,16,101,25,8,84,115,.283,.369,.445,.814,113,269,11,3,0,7,0,*9/HD,MVP-17,2006,32,NYY,AL,58,248,13,2,0,-2,-2,10,1.0,9,20,1.9,.517,.506,2.1,-0.4,22,,9/8DH,
2008,34,NYY,AL,156,684,609,100,180,39,4,20,100,22,11,73,109,.296,.371,.471,.843,120,287,14,1,0,1,2,*9/DH,,2007,33,NYY,AL,158,699,10,2,4,-11,-6,-1,0.0,25,25,2.4,.500,.500,3.5,-1.6,36,"$15,000,000",*9/HD,MVP-17
