Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1990,22,PIT,NL,4,4,4,1,2,0,0,0,0,0,0,0,2,.500,.500,.500,1.000,182,2,0,0,0,0,0,/6H,,1990,22,PIT,NL,4,4,0,0,0,0,0,1,0.1,0,1,0.1,.524,.501,0.1,0.1,1,"$100,000",/6H,
1991,23,PIT,NL,12,25,24,2,6,0,2,0,1,0,0,1,8,.250,.280,.417,.697,95,10,1,0,0,0,0,/65H4,,1991,23,PIT,NL,12,25,0,0,0,-2,0,-2,-0.2,1,-1,-0.1,.484,.499,0.1,-0.2,1,,/65H4,
1992,24,PIT,NL,22,42,39,4,8,1,0,0,4,0,0,0,9,.205,.195,.231,.426,21,9,1,0,1,2,0,4/6H,,1992,24,PIT,NL,22,42,-4,0,0,-1,1,-4,-0.5,1,-3,-0.3,.479,.497,-0.2,0.0,-2,"$113,000",4/6H,
1993,25,PIT,NL,141,597,546,77,147,25,5,12,47,18,11,31,67,.269,.316,.399,.716,92,218,9,9,6,5,2,*4/H6,RoY-9,1993,25,PIT,NL,141,597,-8,3,3,-5,4,-4,-0.4,18,15,1.4,.497,.498,1.8,-0.1,20,"$120,000",*4/H6,RoY-9
1994,26,PIT,NL,98,434,412,49,114,15,2,6,28,18,9,16,67,.277,.309,.367,.676,75,151,6,4,1,1,2,*4,AS,1994,26,PIT,NL,98,434,-13,0,0,6,3,-4,-0.5,13,9,0.8,.496,.497,0.2,0.9,3,"$192,500",*4,AS
1995,27,PIT,NL,104,402,367,41,108,24,2,6,50,8,4,25,55,.294,.340,.420,.760,99,154,4,2,5,3,5,46,,1995,27,PIT,NL,104,402,-2,-1,3,-12,3,-9,-0.9,12,4,0.3,.492,.495,1.4,-0.9,16,"$350,000",46,
1996,28,PIT,NL,101,422,390,66,111,18,4,6,44,16,6,23,58,.285,.329,.397,.727,89,155,3,4,3,2,3,465/H,,1996,28,PIT,NL,101,422,-2,1,3,-3,4,2,0.0,13,15,1.3,.502,.501,1.7,0.0,18,"$1,350,000",465/H,
1997,29,TOR,AL,103,381,350,29,77,18,2,3,23,11,3,15,60,.220,.253,.309,.562,47,108,7,2,10,4,0,4/65H,,1997,29,TOR,AL,103,381,-27,0,0,-11,3,-35,-3.3,14,-21,-2.0,.467,.479,-1.0,-0.7,-10,"$2,550,000",4/65H,
1998,30,ANA,AL,19,40,35,4,5,1,0,0,0,2,0,3,11,.143,.231,.171,.402,7,6,0,1,1,0,0,4/H6D,,1998,30,ANA,AL,19,40,-4,1,0,-1,0,-4,-0.4,2,-3,-0.3,.479,.497,-0.2,-0.1,-2,"$182,500",4/H6D,
1999,31,SDP,NL,6,12,11,1,2,0,0,0,0,0,0,1,3,.182,.250,.182,.432,16,2,2,0,0,0,0,/53H,,1999,31,SDP,NL,6,12,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.465,.499,-0.1,-0.1,-1,"$265,000",/53H,
