Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1998,22,SEA,AL,10,42,39,9,13,1,1,0,5,2,0,3,9,.333,.381,.410,.791,108,16,0,0,0,0,0,4,,1998,22,SEA,AL,10,42,0,0,0,2,0,4,0.4,2,5,0.5,.535,.502,0.3,0.3,3,"$170,000",4,
1999,23,SEA,AL,5,21,19,2,3,0,0,1,3,0,0,1,6,.158,.200,.316,.516,28,6,1,0,1,0,0,/64,,1999,23,SEA,AL,5,21,-3,-1,0,1,0,-2,-0.2,1,-2,-0.2,.454,.499,-0.2,0.1,-2,"$200,000",/64,
2000,24,SEA,AL,90,328,288,45,74,15,2,7,42,1,3,28,53,.257,.324,.396,.720,87,114,6,2,7,3,0,56/H,,2000,24,SEA,AL,90,328,-7,0,1,-2,3,-5,-0.4,12,8,0.7,.495,.497,0.9,0.1,10,"$205,000",56/H,
2001,25,SEA,AL,140,523,456,72,118,21,4,5,53,4,1,53,89,.259,.333,.355,.689,87,162,9,1,7,6,0,*6/HD,,2001,25,SEA,AL,140,523,-6,2,1,10,7,14,1.4,20,34,3.3,.510,.508,2.3,1.7,24,"$285,000",*6/HD,
2002,26,SEA,AL,134,528,475,73,124,24,6,9,56,4,5,46,91,.261,.326,.394,.719,93,187,8,1,3,3,4,*6/DH,,2002,26,SEA,AL,134,528,-2,1,2,-5,7,3,0.4,20,23,2.2,.503,.502,2.7,0.3,28,"$1,400,000",*6/DH,
2003,27,SEA,AL,109,451,388,63,107,19,3,7,52,4,4,52,64,.276,.359,.394,.753,104,153,12,1,5,5,2,65/D,,2003,27,SEA,AL,109,451,6,-1,-1,0,5,9,0.9,17,25,2.5,.508,.505,2.5,0.5,25,"$2,500,000",65/D,
2004,28,DET,AL,136,583,522,97,166,37,10,20,97,12,5,52,87,.318,.379,.542,.921,143,283,12,2,3,4,3,*6/H,"AS,MVP-24",2004,28,DET,AL,136,583,33,0,0,-14,7,26,2.6,22,48,4.6,.518,.515,5.9,-0.5,62,"$2,500,000",*6/H,"AS,MVP-24"
2005,29,DET,AL,87,361,334,48,107,15,4,5,23,2,3,24,45,.320,.368,.434,.803,116,145,9,2,0,1,3,6D/H,,2005,29,DET,AL,87,361,10,-1,0,-1,3,12,1.2,14,26,2.5,.514,.507,2.6,0.2,27,"$4,000,000",6D/H,
2006,30,DET,AL,153,622,543,100,174,41,5,19,85,20,9,71,87,.320,.400,.519,.920,136,282,16,4,0,4,10,*6/3DH,MVP-10,2006,30,DET,AL,153,622,32,2,-1,-2,7,38,3.8,23,62,6.0,.524,.523,6.2,0.5,64,"$5,000,000",*6/3DH,MVP-10
2007,31,DET,AL,151,630,564,86,167,35,9,21,102,13,8,55,93,.296,.357,.502,.859,122,283,14,3,0,8,10,*63/HD,AS,2007,31,DET,AL,151,630,13,-1,-1,-8,5,8,0.9,24,32,3.1,.505,.505,3.9,-0.3,40,"$5,000,000",*63/HD,AS
2008,32,DET,AL,113,489,420,68,120,29,2,10,54,9,3,60,67,.286,.376,.436,.811,114,183,11,3,2,4,3,53/D7H,AS,2008,32,DET,AL,113,489,11,4,0,-11,0,4,0.5,18,21,2.2,.503,.502,3.3,-1.0,32,"$12,000,000",53/D7H,AS
2009,33,DET,AL,81,322,277,36,67,10,3,11,41,1,3,39,56,.242,.339,.419,.757,97,116,7,3,0,3,2,7D/H3,,2009,33,DET,AL,81,322,-1,-2,0,-4,-5,-12,-1.2,12,0,0.0,.485,.493,0.4,-0.9,4,"$10,000,000",7D/H3,
2010,34,DET,AL,68,275,253,26,69,17,1,6,34,1,2,21,41,.273,.327,.419,.746,101,106,10,0,0,1,2,4D/7H,,2010,34,DET,AL,68,275,-1,-2,-1,-2,0,-5,-0.5,10,5,0.5,.492,.497,0.7,-0.2,7,"$13,000,000",4D/7H,
2011,35,DET,AL,28,102,95,8,22,2,1,3,13,1,1,5,16,.232,.265,.368,.633,71,35,4,0,0,2,0,4/H3D,,2011,35,DET,AL,28,102,-4,0,0,-2,1,-6,-0.6,4,-2,-0.3,.477,.496,-0.1,-0.2,0,"$12,922,231",4/H3D,
