Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,20,CHC,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,,2001,20,CHC,NL,6,2,-1,0,0,0,0,0,0.0,0,0,0.0,.495,.500,0.0,0.0,0,,/1,
2002,21,CHC,NL,31,32,30,0,1,1,0,0,0,0,0,0,15,.033,.033,.067,.100,-74,2,0,0,2,0,0,1,,2002,21,CHC,NL,31,32,-7,0,0,0,4,-3,-0.3,0,-3,-0.3,.491,.498,-0.3,0.0,-3,,1,
2003,22,CHC,NL,30,80,75,9,18,5,0,2,6,0,0,1,26,.240,.250,.387,.637,62,29,2,0,4,0,0,1,,2003,22,CHC,NL,30,80,-5,0,0,0,11,6,0.6,0,6,0.6,.521,.504,0.6,0.0,6,"$340,000",1,
2004,23,CHC,NL,30,82,70,8,16,1,0,1,5,0,0,3,29,.229,.257,.286,.542,39,20,2,0,8,1,0,1,"AS,CYA-5,MVP-28",2004,23,CHC,NL,30,82,-6,0,0,0,12,6,0.6,0,6,0.6,.521,.504,0.6,0.0,6,"$450,000",1,"AS,CYA-5,MVP-28"
2005,24,CHC,NL,33,84,80,8,24,6,2,1,6,0,0,0,25,.300,.300,.463,.763,93,37,2,0,4,0,0,1/H,,2005,24,CHC,NL,33,84,-2,0,0,0,11,9,0.9,0,9,0.9,.528,.506,0.9,0.0,9,"$3,760,000",1/H,
2006,25,CHC,NL,35,80,73,9,11,0,0,6,11,1,0,1,27,.151,.160,.397,.557,35,29,2,0,5,1,0,1/H,"AS,CYA-5,SS",2006,25,CHC,NL,35,80,-8,0,0,0,11,4,0.4,0,4,0.4,.511,.502,0.4,0.0,4,"$6,500,000",1/H,"AS,CYA-5,SS"
2007,26,CHC,NL,36,86,81,9,20,2,0,2,5,0,0,0,29,.247,.247,.346,.593,48,28,0,0,5,0,0,1/H,CYA-5,2007,26,CHC,NL,36,86,-6,-1,0,0,12,5,0.4,0,5,0.5,.513,.503,0.5,0.0,5,"$12,400,000",1/H,CYA-5
2008,27,CHC,NL,37,85,83,9,28,4,1,4,14,0,0,0,24,.337,.337,.554,.892,123,46,4,0,2,0,0,1/H,"AS,SS",2008,27,CHC,NL,37,85,2,0,0,0,10,11,1.1,1,12,1.2,.531,.507,1.2,0.0,12,"$16,000,000",1/H,"AS,SS"
2009,28,CHC,NL,33,72,69,7,15,5,0,4,11,0,0,1,28,.217,.225,.464,.689,71,32,0,0,1,1,0,1/H,SS,2009,28,CHC,NL,33,72,-4,0,0,0,8,5,0.5,0,6,0.6,.516,.503,0.6,0.0,6,"$18,750,000",1/H,SS
2010,29,CHC,NL,40,57,52,5,12,0,0,1,6,0,0,2,15,.231,.255,.288,.543,44,15,0,0,2,1,0,1/H,,2010,29,CHC,NL,40,57,-5,0,1,0,7,3,0.3,0,3,0.3,.507,.502,0.3,0.0,3,"$18,875,000",1/H,
2011,30,CHC,NL,22,48,44,8,14,2,0,2,5,0,0,2,14,.318,.348,.500,.848,130,22,0,0,2,0,0,1/H,,2011,30,CHC,NL,22,48,1,0,0,0,6,7,0.8,0,7,0.8,.535,.505,0.8,0.0,7,"$18,875,000",1/H,
2012,31,MIA,NL,32,36,34,3,6,0,0,1,2,0,0,0,8,.176,.176,.265,.441,17,9,2,0,2,0,0,1,,2012,31,MIA,NL,32,36,-4,0,0,0,5,1,0.1,0,1,0.1,.502,.500,0.0,0.0,1,"$18,000,000",1,
