Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1950,24,CHW,AL,141,603,524,72,148,21,5,4,46,0,2,66,46,.282,.368,.365,.733,90,191,16,5,8,,1,*6,"MVP-12,RoY-3",1950,24,CHW,AL,141,602,-4,0,-1,5,9,10,1.0,18,28,2.8,.507,.506,2.2,1.4,23,"$5,000",*6,"MVP-12,RoY-3"
1951,25,CHW,AL,147,597,538,41,142,22,4,2,58,14,4,46,39,.264,.325,.331,.656,80,178,13,3,8,,3,*6,AS,1951,25,CHW,AL,147,597,-14,0,1,18,10,15,1.5,18,33,3.3,.510,.509,1.3,2.8,15,"$10,000",*6,AS
1952,26,CHW,AL,100,397,359,36,89,7,4,1,42,2,2,33,27,.248,.315,.298,.613,70,107,5,2,3,,1,6/H,,1952,26,CHW,AL,100,397,-12,-1,0,0,6,-7,-0.7,12,6,0.5,.493,.496,0.5,0.7,6,"$15,000",6/H,
1953,27,CHW,AL,149,604,552,72,154,30,4,2,47,5,3,38,47,.279,.330,.359,.689,84,198,15,4,10,,7,*6,"AS,MVP-26",1953,27,CHW,AL,149,603,-9,2,0,19,9,21,2.1,18,39,4.0,.515,.513,2.0,2.9,20,"$15,000",*6,"AS,MVP-26"
1954,28,CHW,AL,155,718,620,106,158,28,3,12,62,7,6,85,67,.255,.348,.368,.716,94,228,9,5,6,2,0,*6,AS,1954,28,CHW,AL,155,718,1,1,1,20,9,32,3.4,20,52,5.5,.522,.521,3.3,3.2,32,,*6,AS
1955,29,CHW,AL,145,598,523,83,134,11,2,11,52,1,1,61,59,.256,.335,.348,.683,83,182,10,4,4,6,0,*6/H,AS,1955,29,CHW,AL,145,597,-4,3,-1,10,8,15,1.6,18,33,3.5,.511,.510,2.4,1.9,24,,*6/H,AS
1956,30,CLE,AL,141,544,474,60,115,15,1,7,48,0,4,52,61,.243,.323,.323,.646,70,153,9,6,9,3,0,*6/5,,1956,30,CLE,AL,141,544,-15,0,1,4,8,-2,-0.2,17,15,1.5,.499,.499,1.0,1.3,11,,*6/5,
1957,31,CLE,AL,125,456,392,37,108,14,1,8,57,0,2,41,53,.276,.351,.378,.729,100,148,15,8,7,6,2,*6/H,,1957,31,CLE,AL,125,456,3,-2,-1,0,7,7,0.7,14,21,2.1,.506,.505,2.2,0.7,21,,*6/H,
1958,32,TOT,AL,108,356,316,33,74,11,1,4,34,0,1,35,27,.234,.311,.313,.624,72,99,7,0,4,0,1,65H,,1958,32,CLE,AL,49,174,-5,0,-1,-11,2,-15,-1.6,5,-10,-1.1,.467,.490,0.1,-1.0,2,,65/H,
1959,33,BAL,AL,114,391,346,28,77,13,0,4,28,2,3,34,41,.223,.292,.295,.587,64,102,10,1,8,2,1,64/H53,,1958,32,KCA,AL,59,182,-8,-1,-1,0,2,-8,-1.0,6,-3,-0.4,.484,.494,-0.3,0.1,-2,,56H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,33,BAL,AL,114,390,-15,-2,-1,0,6,-12,-1.4,12,0,-0.2,.489,.492,-0.1,0.5,0,,64/H53,
