Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,23,PHI,NL,34,131,121,17,35,5,0,0,10,0,3,9,26,.289,.344,.331,.674,89,40,2,1,0,0,0,84/H,,2013,23,PHI,NL,34,131,-2,-1,0,-5,1,-8,-0.9,4,-3,-0.4,.476,.495,0.1,-0.5,2,,84/H,
2014,24,PHI,NL,66,125,114,13,27,2,0,1,4,1,1,9,33,.237,.290,.281,.571,61,32,1,0,1,1,1,H54/6,,2014,24,PHI,NL,66,125,-5,1,1,-6,1,-9,-1.1,4,-5,-0.7,.485,.494,0.0,-0.6,1,"$500,000",H54/6,
2015,25,PHI,NL,127,452,405,57,110,20,4,1,35,19,5,40,86,.272,.339,.348,.687,92,141,6,2,4,1,1,4H65,,2015,25,PHI,NL,127,452,0,1,1,-5,3,0,0.0,15,15,1.4,.500,.500,1.9,-0.2,20,"$510,000",4H65,
2016,26,PHI,NL,155,622,547,67,161,14,11,6,39,17,13,66,116,.294,.371,.393,.764,106,215,6,2,5,2,4,*4/H6,,2016,26,PHI,NL,155,622,6,-2,1,2,4,12,1.1,20,32,3.0,.508,.507,2.8,0.6,30,"$525,000",*4/H6,
2017,27,PHI,NL,128,577,511,85,150,26,6,9,34,15,5,61,104,.294,.373,.421,.793,110,215,8,4,0,1,1,*4/H6,,2017,27,PHI,NL,128,577,12,0,-1,-2,4,13,1.2,17,30,2.8,.510,.508,3.1,0.1,32,"$2,550,000",*4/H6,
2018,28,PHI,NL,161,708,605,91,153,15,3,15,60,19,6,95,155,.253,.356,.362,.718,94,219,12,4,1,3,4,*4/HD,,2018,28,PHI,NL,161,708,0,4,0,-5,4,2,-0.1,22,24,2.1,.502,.501,2.8,-0.2,29,"$5,100,000",*4/HD,
2019,29,PHI,NL,161,667,612,77,171,31,3,14,71,9,2,45,100,.279,.333,.408,.741,92,250,9,6,0,4,4,*4/H,,2019,29,PHI,NL,161,667,-8,2,3,0,4,1,-0.2,22,23,1.9,.501,.501,2.2,0.3,23,"$7,750,000",*4/H,
2020,30,CLE,AL,58,261,233,35,66,20,0,3,20,0,0,24,57,.283,.355,.408,.763,109,95,3,2,1,0,0,*4/H,GG,2020,30,CLE,AL,58,261,3,0,0,6,2,10,1.0,8,19,1.8,.518,.506,1.3,0.8,13,"$6,250,000",*4/H,GG
2021,31,TOT,AL,149,637,570,84,132,21,2,21,62,1,1,59,135,.232,.308,.386,.694,90,220,11,5,0,3,2,*4/D6,,2021,31,CLE,AL,96,420,1,0,0,-6,2,-3,-0.2,14,11,1.2,.497,.498,1.8,-0.4,17,"$5,000,000",4/D,
2022,32,WSN,NL,147,617,560,64,139,28,4,1,34,10,4,45,114,.248,.311,.318,.629,83,178,9,7,3,2,0,*47/5H,,2021,31,CHW,AL,53,217,-10,-1,0,-5,1,-14,-1.4,7,-7,-0.7,.472,.491,-0.2,-0.3,-2,,4/6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,32,WSN,NL,147,617,-13,0,0,-4,4,-13,-1.3,21,8,0.7,.491,.491,1.1,0.1,12,"$4,000,000",*47/5H,
