Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,21,TOR,AL,46,140,134,19,36,6,2,2,9,8,1,2,15,.269,.279,.388,.667,73,52,0,0,4,0,0,4/6H,,2001,21,TOR,AL,46,140,-6,2,2,-1,1,-2,-0.2,5,4,0.4,.496,.499,0.4,0.1,4,,4/6H,
2002,22,LAD,NL,135,468,439,43,102,24,2,1,31,7,7,14,39,.232,.253,.303,.556,51,133,12,0,10,5,1,*6H/4D,,2002,22,LAD,NL,135,468,-28,-3,2,1,6,-22,-2.4,15,-7,-1.0,.483,.486,-1.0,0.7,-8,"$215,000",*6H/4D,
2003,23,LAD,NL,158,593,558,47,140,21,6,1,40,10,5,25,70,.251,.282,.315,.597,60,176,8,0,7,3,8,*6/H,,2003,23,LAD,NL,158,593,-33,-1,3,8,8,-14,-1.6,18,4,0.2,.491,.491,-0.6,1.6,-4,"$335,000",*6/H,
2004,24,LAD,NL,159,728,670,90,193,32,9,4,62,25,9,43,70,.288,.330,.381,.710,88,255,6,0,12,3,2,*6,GG,2004,24,LAD,NL,159,728,-9,2,2,15,8,19,1.7,21,40,3.8,.512,.512,2.4,2.3,25,"$358,500",*6,GG
2005,25,LAD,NL,106,478,444,48,114,19,2,2,31,8,8,25,51,.257,.302,.322,.624,66,143,11,4,4,1,1,6,AS,2005,25,LAD,NL,106,478,-21,-2,0,4,6,-14,-1.6,14,0,-0.2,.486,.491,-0.6,0.9,-4,"$2,150,000",6,AS
2006,26,TOT,NL,54,208,192,14,47,9,1,1,18,1,4,12,14,.245,.295,.318,.612,57,61,4,2,1,1,3,56/H4,,2006,26,LAD,NL,32,129,-4,-1,1,7,1,5,0.5,4,9,0.9,.515,.503,0.2,0.8,2,"$3,200,000",5/64H,
2007,27,TOT,NL,110,337,314,31,81,14,2,0,16,3,3,19,19,.258,.302,.315,.618,59,99,7,1,3,0,2,6H5,,2006,26,CHC,NL,22,79,-7,0,0,-4,1,-11,-1.1,2,-8,-0.8,.452,.494,-0.4,-0.3,-4,,6/H,
2008,28,STL,NL,135,454,414,50,109,10,3,1,24,24,6,29,26,.263,.319,.309,.628,68,128,6,6,3,2,1,*6/5H,,2007,27,CHC,NL,65,207,-8,1,0,0,3,-6,-0.6,6,1,0.0,.492,.497,0.1,0.2,1,"$4,150,000",6/H,
2009,29,BAL,AL,114,412,387,34,99,14,4,2,30,12,4,18,38,.256,.294,.328,.622,63,127,11,3,4,0,0,*6/HD,,2007,27,PIT,NL,45,130,-4,-2,0,-1,2,-5,-0.6,4,-1,-0.2,.488,.497,-0.1,0.1,0,,65H,
2010,30,BAL,AL,150,513,473,42,109,13,1,1,28,11,5,25,53,.230,.277,.268,.545,51,127,11,6,7,2,1,*6/H,,2008,28,STL,NL,135,454,-17,2,2,12,6,5,0.3,14,19,1.7,.504,.503,0.5,1.8,7,"$2,850,000",*6/5H,
2011,31,BAL,AL,18,33,30,4,6,0,0,0,1,0,0,2,10,.200,.250,.200,.450,25,6,0,0,1,0,0,6/4H5D,,2009,29,BAL,AL,114,412,-20,-2,1,14,5,-2,-0.1,15,14,1.3,.498,.499,-0.1,2.0,0,"$2,400,000",*6/HD,
2012,32,TOT,NL,62,173,166,13,40,7,2,2,11,1,1,3,13,.241,.254,.343,.598,58,57,7,0,4,0,0,6H/543,,2010,30,BAL,AL,150,513,-30,-1,1,7,7,-16,-1.6,19,3,0.3,.489,.490,-0.5,1.6,-4,"$2,600,000",*6/H,
2013,33,CIN,NL,63,142,129,6,27,8,0,0,11,0,0,9,13,.209,.259,.271,.530,47,35,5,0,3,1,2,6H4/5,,2011,31,BAL,AL,18,33,-3,0,0,2,1,0,0.0,1,1,0.1,.498,.500,-0.1,0.3,-1,"$1,500,000",6/4H5D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,32,MIL,NL,57,169,-11,-2,0,1,2,-10,-1.1,5,-5,-0.6,.481,.493,-0.7,0.4,-6,"$875,000",6H/534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,32,WSN,NL,5,4,1,0,0,-1,0,0,0.0,0,0,0.0,.503,.500,0.1,-0.1,1,,/H456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,33,CIN,NL,63,142,-9,-1,1,5,2,-2,-0.3,5,3,0.2,.496,.499,-0.4,0.8,-2,"$800,000",6H4/5,
