Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1965,24,MIN,AL,18,27,25,3,5,1,0,0,2,2,0,2,3,.200,.259,.240,.499,40,6,0,0,0,0,0,H/4586,,1965,24,MIN,AL,18,27,-1,0,0,1,0,-1,-0.1,1,0,0.0,.496,.500,0.0,0.1,0,"$6,000",H/4586,
1966,25,MIN,AL,134,527,465,57,121,19,5,2,41,16,6,44,50,.260,.325,.335,.660,85,156,7,4,7,7,1,468/H7,,1966,25,MIN,AL,134,527,-7,3,1,14,4,15,1.5,17,32,3.3,.513,.511,1.9,1.9,19,,468/H7,
1967,26,MIN,AL,164,726,649,98,173,32,7,6,47,19,11,46,51,.267,.325,.365,.691,97,237,8,13,13,5,0,5847/69H,MVP-7,1967,26,MIN,AL,164,726,4,3,0,-5,2,4,0.1,22,26,2.4,.503,.503,3.3,-0.6,31,,5847/69H,MVP-7
1968,27,MIN,AL,157,673,613,89,167,31,6,6,47,35,13,34,41,.272,.326,.372,.698,107,228,2,17,5,4,0,578649/H321,MVP-23,1968,27,MIN,AL,157,673,7,6,2,6,2,23,2.5,22,45,4.8,.518,.518,4.2,0.9,38,"$17,000",578649/H321,MVP-23
1969,28,MIN,AL,158,591,535,99,154,25,5,11,52,45,12,37,37,.288,.342,.415,.757,108,222,7,9,7,3,3,*847H5/9,MVP-17,1969,28,MIN,AL,158,591,8,5,3,10,-1,25,2.6,20,45,4.7,.517,.517,3.7,0.9,35,"$30,000",*847H5/9,MVP-17
1970,29,MIN,AL,161,726,650,120,195,36,13,10,54,30,15,52,47,.300,.356,.442,.798,117,287,9,8,10,6,5,*87/45H9,MVP-18,1970,29,MIN,AL,161,726,14,3,0,-1,-3,13,1.2,23,36,3.6,.509,.509,3.9,-0.5,37,"$40,000",*87/45H9,MVP-18
1971,30,MIN,AL,157,718,657,94,204,29,3,1,45,18,14,45,39,.311,.356,.368,.725,104,242,5,3,11,2,5,*798/54H,MVP-24,1971,30,MIN,AL,157,718,10,1,3,8,-8,14,1.5,23,37,3.8,.510,.510,3.0,0.0,29,"$50,000",*798/54H,MVP-24
1972,31,MIN,AL,141,607,548,86,145,20,6,2,31,21,10,39,39,.265,.329,.334,.663,94,183,6,14,5,1,6,*97/8H,,1972,31,MIN,AL,141,607,-3,5,0,14,-7,10,1.1,21,31,3.4,.509,.508,1.8,0.8,17,"$55,000",*97/8H,
1973,32,PHI,NL,97,364,328,49,88,18,4,1,21,6,4,29,35,.268,.335,.357,.692,91,117,3,5,0,2,2,54H9/78,,1973,32,PHI,NL,97,364,1,2,0,-6,1,-1,-0.3,12,10,0.9,.498,.499,1.6,-0.6,16,"$55,000",54H9/78,
1974,33,TEX,AL,138,629,562,78,164,24,6,4,58,13,9,47,33,.292,.354,.377,.731,114,212,3,9,8,3,0,*879/DH,,1974,33,TEX,AL,138,629,10,2,2,-8,-4,3,0.4,21,24,2.4,.502,.502,3.4,-1.3,32,"$59,000",*879/DH,
1975,34,TOT,AL,121,492,453,58,116,17,0,3,31,20,11,30,28,.256,.306,.313,.619,77,142,8,3,5,1,0,D7H/84596,,1975,34,TEX,AL,102,463,-10,2,2,-5,-7,-19,-2.0,16,-4,-0.5,.480,.487,0.1,-1.3,1,,D7/8H49,
1976,35,TOT,AL,42,97,84,3,14,1,0,0,6,1,3,8,7,.167,.263,.179,.442,33,15,0,3,2,0,1,D7H/948,,1975,34,OAK,AL,19,29,-1,1,0,-1,0,0,0.0,1,1,0.1,.500,.500,0.2,-0.1,1,,H/D456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,35,OAK,AL,29,52,-3,-1,0,0,-1,-5,-0.6,2,-3,-0.4,.480,.496,-0.4,-0.1,-3,,7H/D98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,35,NYY,AL,13,45,-4,0,0,2,-1,-3,-0.4,2,-2,-0.2,.470,.498,-0.4,0.1,-3,,D/4H,
