Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2014,26,ARI,NL,88,348,329,40,94,12,9,8,36,6,3,16,60,.286,.320,.450,.770,112,148,9,1,1,1,0,978/H,,2014,26,ARI,NL,88,348,4,1,0,-1,-3,2,0.1,11,13,1.2,.503,.501,1.4,-0.5,14,,978/H,
2015,27,ARI,NL,149,517,462,61,144,26,10,17,78,9,4,44,107,.312,.371,.522,.893,137,241,7,4,0,7,2,*7H/98,,2015,27,ARI,NL,149,517,23,2,1,-3,-5,19,1.9,17,35,3.6,.513,.512,3.9,-0.9,38,"$1,024,000",*7H/98,
2016,28,ARI,NL,48,183,171,23,43,9,5,4,15,2,0,8,42,.251,.295,.433,.728,86,74,3,3,0,1,1,9/8H,,2016,28,ARI,NL,48,183,-3,1,1,2,-2,-1,-0.1,6,5,0.5,.498,.499,0.3,0.0,3,"$529,600",9/8H,
2017,29,ARI,NL,140,577,525,82,154,31,3,14,57,8,4,43,94,.293,.352,.444,.796,100,233,7,6,0,3,1,*97H/D,,2017,29,ARI,NL,140,577,3,3,3,4,-5,7,0.6,19,25,2.4,.505,.504,2.0,-0.2,21,"$572,200",*97H/D,
2018,30,ARI,NL,146,614,560,75,164,25,5,30,87,4,0,48,124,.293,.352,.516,.868,127,289,14,4,0,2,4,*7/H9,SS,2018,30,ARI,NL,146,614,20,1,1,0,-5,17,1.5,20,36,3.4,.512,.511,3.6,-0.7,36,"$3,300,000",*7/H9,SS
2019,31,ARI,NL,99,423,382,48,105,29,3,12,57,0,0,35,87,.275,.343,.461,.804,106,176,9,5,0,1,3,7/HD,GG,2019,31,ARI,NL,99,423,4,-2,0,7,-4,5,0.3,13,18,1.6,.505,.503,1.0,0.3,11,"$7,000,000",7/HD,GG
2020,32,ARI,NL,54,218,203,19,61,10,1,5,34,1,0,13,45,.300,.339,.433,.773,108,88,4,0,0,2,0,*7/DH,,2020,32,ARI,NL,54,218,1,1,1,-1,-2,-1,0.0,7,7,0.7,.499,.500,0.8,-0.3,8,"$7,000,000",*7/DH,
2021,33,ARI,NL,150,538,487,57,126,30,8,8,63,2,1,46,92,.259,.325,.402,.728,96,196,9,3,0,2,3,*7H/D1,,2021,33,ARI,NL,150,538,-4,2,1,0,-5,-6,-0.7,18,13,1.1,.496,.496,1.1,-0.6,12,"$7,500,000",*7H/D1,
2022,34,TOT,MLB,134,490,439,39,110,30,3,12,59,1,3,41,114,.251,.316,.415,.731,108,182,8,4,0,6,5,*7HD,,2022,34,ARI,NL,87,310,4,-2,1,-1,-3,-1,-0.1,11,9,0.9,.498,.499,1.0,-0.4,10,"$7,500,000",7H/D,
2023,35,LAD,NL,133,422,394,47,102,25,1,7,55,4,1,20,72,.259,.294,.381,.675,80,150,8,2,0,6,1,*7H9/D,,2022,34,TBR,AL,47,180,-3,0,1,-4,-2,-8,-0.9,6,-2,-0.3,.482,.495,0.2,-0.7,2,,7/DH,
2024,36,SDP,NL,10,21,20,1,3,0,0,0,1,0,0,1,7,.150,.190,.150,.340,1,3,0,0,0,0,0,/DH79,,2023,35,LAD,NL,133,422,-10,-2,2,8,-4,-7,-0.7,14,8,0.6,.495,.496,-0.1,0.3,0,"$6,500,000",*7H9/D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,36,SDP,NL,10,21,-2,0,0,0,-1,-3,-0.3,1,-2,-0.3,.468,.498,-0.3,-0.1,-2,,/DH79,
