Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,20,NYY,AL,5,7,7,2,3,0,0,0,1,0,0,0,0,.429,.429,.429,.857,127,3,1,0,0,0,0,/2H,,2004,20,NYY,AL,5,7,0,0,0,0,0,0,0.0,0,1,0.1,.504,.500,0.1,0.0,0,,/2H,
2005,21,LAD,NL,50,199,176,21,48,9,0,3,14,0,0,20,21,.273,.354,.375,.729,94,66,3,2,1,0,1,2,,2005,21,LAD,NL,50,199,1,-1,0,-2,3,2,0.1,6,8,0.7,.503,.501,0.9,0.1,10,,2,
2006,22,TOT,MLB,81,302,268,28,68,9,0,6,28,2,1,31,51,.254,.332,.354,.687,79,95,7,1,1,1,6,2/H,,2006,22,LAD,NL,25,86,-2,1,0,-2,1,-2,-0.2,3,1,0.1,.494,.499,0.3,-0.1,3,"$332,000",2/H,
2007,23,TBD,AL,119,434,388,46,88,19,2,9,44,3,1,33,67,.227,.286,.356,.641,70,138,11,1,7,5,3,*2/H,,2006,22,TBD,AL,56,216,-9,0,-1,-3,3,-9,-0.9,8,-1,-0.1,.484,.494,0.2,0.1,2,,2/H,
2008,24,TBR,AL,120,470,427,43,126,27,0,7,54,0,4,34,49,.295,.349,.407,.757,100,174,16,3,3,3,1,*2/H,AS,2007,23,TBD,AL,119,434,-19,1,1,-2,7,-13,-1.2,16,4,0.3,.489,.492,0.5,0.6,6,"$399,800",*2/H,
2009,25,TBR,AL,115,410,376,38,82,15,0,8,32,5,2,18,51,.218,.261,.322,.583,54,121,14,5,8,3,1,*2/H,,2008,24,TBR,AL,120,470,3,-5,-2,-2,8,2,0.3,18,20,2.0,.502,.501,2.2,0.7,21,"$412,500",*2/H,AS
2010,26,TBR,AL,48,142,124,11,24,5,0,1,7,0,1,12,20,.194,.270,.258,.528,49,32,3,1,5,0,0,2/HD,,2009,25,TBR,AL,115,410,-24,2,-2,-2,7,-19,-1.8,15,-4,-0.4,.484,.488,-0.2,0.5,-2,"$2,100,000",*2/H,
2011,27,LAD,NL,64,202,176,13,34,6,1,5,17,0,0,20,35,.193,.276,.324,.600,68,57,3,1,3,2,4,2H/D,,2010,26,TBR,AL,48,142,-8,-2,0,3,2,-5,-0.5,5,1,0.0,.490,.497,-0.3,0.6,-2,"$2,100,000",2/HD,
2012,28,CIN,NL,24,73,69,6,20,3,1,2,12,0,0,2,12,.290,.306,.449,.755,99,31,1,0,1,1,1,2/H,,2011,27,LAD,NL,64,202,-9,-1,0,1,3,-6,-0.7,6,0,-0.1,.489,.496,-0.2,0.4,-1,"$1,000,000",2H/D,
2013,29,CHC,NL,89,266,240,31,72,7,0,13,34,0,1,23,36,.300,.365,.492,.856,134,118,4,2,0,1,1,2H/D,,2012,28,CIN,NL,24,73,-1,0,0,0,1,0,0.0,2,3,0.3,.501,.500,0.2,0.1,2,,2/H,
2014,30,TOR,AL,139,520,481,40,132,22,0,12,69,3,0,32,76,.274,.317,.395,.712,101,190,12,1,0,6,1,*2DH,,2013,29,CHC,NL,89,266,10,-3,0,-1,3,10,1.0,9,18,1.9,.512,.507,2.0,0.2,19,"$1,750,000",2H/D,
2015,31,TOR,AL,54,192,171,17,42,7,0,5,20,0,0,17,29,.246,.307,.374,.682,85,64,0,0,0,4,1,2D/H,,2014,30,TOR,AL,139,520,0,-2,-1,1,6,4,0.6,19,23,2.5,.503,.503,2.3,0.9,22,"$3,000,000",*2DH,
2016,32,TOT,AL,101,334,304,26,63,13,2,6,35,1,2,23,71,.207,.265,.322,.587,61,98,5,2,2,3,0,2H/D,,2015,31,TOR,AL,54,192,-4,-1,1,3,2,0,0.1,7,7,0.8,.501,.500,0.4,0.5,4,"$5,000,000",2D/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,32,CHW,AL,85,298,-14,-4,0,-5,5,-18,-1.8,11,-7,-0.8,.478,.488,-0.3,0.1,-2,,2/HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,32,TOR,AL,16,36,-2,0,0,-1,0,-3,-0.3,1,-2,-0.2,.481,.498,-0.1,-0.1,-1,"$4,000,000",/H2D,
