Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1995,27,ATL,NL,7,13,13,1,4,1,0,1,4,0,0,0,2,.308,.308,.615,.923,134,8,0,0,0,0,0,/2H3,,1995,27,ATL,NL,7,13,0,0,0,0,0,1,0.1,0,1,0.1,.508,.500,0.1,0.0,1,"$109,000",/2H3,
1996,28,ATL,NL,68,167,156,19,40,9,1,4,17,0,0,8,19,.256,.293,.404,.697,79,63,6,1,0,2,0,2/H3,,1996,28,ATL,NL,68,167,-5,-1,0,2,2,-2,-0.3,5,3,0.2,.496,.498,0.0,0.3,1,"$111,500",2/H3,
1997,29,ATL,NL,73,206,191,20,41,5,0,6,18,0,1,10,35,.215,.259,.335,.594,53,64,8,2,1,2,0,2/3H,,1997,29,ATL,NL,73,206,-11,-1,-1,-1,3,-12,-1.3,6,-6,-0.7,.483,.492,-0.5,0.1,-4,"$172,500",2/3H,
1998,30,ATL,NL,61,167,149,18,50,12,0,6,32,1,1,15,28,.336,.404,.537,.941,145,80,3,2,1,0,0,2H/3D,,1998,30,ATL,NL,61,167,12,-1,0,2,2,15,1.4,5,20,1.9,.524,.509,1.7,0.4,18,"$225,000",2H/3D,
1999,31,ATL,NL,104,339,309,30,77,17,0,7,30,0,1,17,40,.249,.299,.372,.671,70,115,9,6,4,3,4,2/H3,,1999,31,ATL,NL,104,339,-17,0,-1,4,5,-8,-0.9,11,3,0.1,.492,.495,-0.3,0.9,-2,"$630,000",2/H3,
2000,32,ATL,NL,7,22,22,0,4,1,0,0,3,0,0,0,2,.182,.182,.227,.409,3,5,0,0,0,0,0,/2,,2000,32,ATL,NL,7,22,-3,0,0,0,0,-2,-0.2,1,-1,-0.1,.472,.499,-0.1,0.0,-1,"$650,000",/2,
2001,33,ATL,NL,5,10,10,0,3,0,0,0,0,0,0,0,2,.300,.300,.300,.600,55,3,0,0,0,0,0,/2H,,2001,33,ATL,NL,5,10,-1,0,0,0,0,-1,-0.1,0,0,0.0,.489,.500,0.0,0.0,0,"$650,000",/2H,
2002,34,CLE,AL,42,125,117,6,25,9,0,0,4,0,0,5,25,.214,.252,.291,.543,46,34,6,1,2,0,0,2/H,,2002,34,CLE,AL,42,125,-10,0,-1,1,2,-8,-0.8,5,-3,-0.4,.481,.495,-0.5,0.3,-4,"$500,000",2/H,
2003,35,MIL,NL,107,375,350,26,95,17,1,11,45,0,1,17,47,.271,.304,.420,.724,88,147,16,0,6,2,3,2/H,,2003,35,MIL,NL,107,375,-4,-3,-1,-5,6,-7,-0.8,12,5,0.3,.493,.495,0.9,0.1,9,"$500,000",2/H,
2004,36,ATL,NL,74,188,170,14,39,12,0,3,13,0,0,11,29,.229,.286,.353,.639,64,60,5,3,3,1,1,2H/3,,2004,36,ATL,NL,74,188,-9,-1,-1,6,3,-1,-0.2,6,4,0.4,.498,.499,-0.2,0.9,-2,"$625,000",2H/3,
2005,37,ATL,NL,16,39,38,3,8,2,0,2,6,0,0,1,5,.211,.231,.421,.652,66,16,1,0,0,0,0,2/H,,2005,37,ATL,NL,16,39,-1,0,0,0,1,-1,-0.1,1,0,0.0,.494,.499,0.0,0.1,0,"$625,000",2/H,
