Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1995,21,NYM,NL,101,356,335,26,93,13,5,4,41,1,1,12,37,.278,.301,.382,.683,82,128,7,1,4,4,1,54H/6,,1995,21,NYM,NL,101,356,-6,-2,2,1,2,-3,-0.4,11,8,0.7,.497,.498,0.6,0.3,7,"$109,000",54H/6,
1996,22,NYM,NL,123,407,368,36,96,15,2,4,40,2,0,25,56,.261,.304,.345,.649,75,127,8,0,9,5,2,45H6,,1996,22,NYM,NL,123,407,-11,-1,0,8,3,0,-0.2,13,13,1.0,.500,.500,0.3,1.0,5,"$180,000",45H6,
1997,23,NYM,NL,151,599,518,84,163,27,2,10,72,11,6,63,56,.315,.391,.432,.823,119,224,4,5,8,5,0,*56/H4,MVP-13,1997,23,NYM,NL,151,599,22,1,2,18,3,46,4.4,18,64,6.2,.531,.529,4.4,2.1,46,"$215,000",*56/H4,MVP-13
1998,24,NYM,NL,144,630,557,94,155,28,2,17,78,8,3,65,77,.278,.355,.427,.782,106,238,11,3,2,3,1,*5/H6,,1998,24,NYM,NL,144,630,7,1,0,0,3,10,0.8,19,29,2.7,.507,.506,2.8,0.2,29,"$1,750,000",*5/H6,
1999,25,NYM,NL,158,726,628,123,191,41,1,27,108,9,2,85,85,.304,.385,.502,.886,125,315,14,3,1,9,2,*4,"MVP-8,SS",1999,25,NYM,NL,158,726,27,5,-1,9,4,44,4.0,21,65,6.0,.527,.526,5.3,1.2,57,"$2,800,000",*4,"MVP-8,SS"
2000,26,NYM,NL,150,650,544,109,176,40,2,25,94,3,2,95,70,.324,.425,.542,.967,147,295,12,5,0,6,1,*4/DH,"AS,MVP-15",2000,26,NYM,NL,150,650,46,1,-1,1,4,50,4.5,20,70,6.4,.531,.529,6.4,0.4,69,"$4,225,000",*4/DH,"AS,MVP-15"
2001,27,NYM,NL,124,519,457,64,111,22,0,17,49,5,0,51,62,.243,.322,.403,.725,90,184,7,5,1,5,0,*4/H,,2001,27,NYM,NL,124,519,-5,3,0,1,3,1,0.0,16,17,1.6,.501,.501,1.6,0.3,17,"$5,750,000",*4/H,
2002,28,NYM,NL,135,562,490,78,151,26,0,16,56,6,0,62,55,.308,.391,.459,.851,128,225,5,7,0,3,8,*5/H,,2002,28,NYM,NL,135,562,19,3,1,8,3,33,3.3,18,50,5.0,.525,.521,4.2,1.0,42,"$6,200,000",*5/H,
2003,29,SFG,NL,142,586,514,56,133,25,2,13,81,5,2,58,41,.259,.334,.391,.726,90,201,14,4,3,7,4,*5/4H,,2003,29,SFG,NL,142,586,-6,-1,-1,-8,3,-13,-1.5,18,5,0.3,.491,.492,1.1,-0.6,13,"$4,000,000",*5/4H,
2004,30,SFG,NL,139,576,519,66,150,26,1,11,77,1,1,46,40,.289,.350,.407,.757,95,211,15,5,2,4,2,*5/H4,,2004,30,SFG,NL,139,576,0,-2,0,-12,3,-11,-1.2,18,7,0.6,.492,.493,1.8,-1.0,19,"$6,500,000",*5/H4,
2005,31,SFG,NL,109,402,368,36,102,17,1,2,43,2,0,27,34,.277,.327,.345,.672,76,127,11,2,1,4,1,5H/4,,2005,31,SFG,NL,109,402,-13,0,-1,-8,2,-21,-2.2,13,-8,-1.0,.480,.487,-0.2,-0.7,0,"$7,500,000",5H/4,
2006,32,TOT,AL,30,95,87,5,11,2,0,0,5,0,0,7,4,.126,.200,.149,.349,-7,13,2,1,0,0,0,54/3DH,,2006,32,LAA,AL,18,52,-8,0,0,-1,0,-8,-0.8,2,-6,-0.6,.454,.495,-0.5,-0.1,-5,"$8,000,000",5/3DH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,32,TOR,AL,12,43,-4,0,0,1,0,-2,-0.2,2,-1,-0.1,.481,.499,-0.2,0.1,-2,,4,
