Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2011,22,CHW,AL,9,7,7,0,2,0,0,0,0,0,0,0,1,.286,.286,.286,.571,54,2,0,0,0,0,0,/H64D,,2011,22,CHW,AL,9,7,-1,0,0,1,0,1,0.1,0,1,0.1,.508,.500,0.0,0.1,0,,/H64D,
2012,23,TOT,AL,50,146,131,18,28,4,1,0,9,3,0,11,31,.214,.278,.260,.537,48,34,0,1,2,1,0,54H6/D7,,2012,23,CHW,AL,36,97,-6,1,1,2,0,-2,-0.2,4,2,0.1,.494,.499,0.0,0.3,0,"$480,000",5H/46D7,
2013,24,MIN,AL,66,179,165,23,39,5,2,3,10,0,2,11,34,.236,.282,.345,.628,72,57,0,0,2,1,0,65H/4D7,,2012,23,MIN,AL,14,49,-4,0,0,3,1,0,0.0,2,2,0.2,.501,.500,-0.1,0.4,-1,,/465,
2014,25,MIN,AL,133,465,433,52,119,35,2,6,37,1,1,24,93,.275,.315,.406,.721,102,176,6,2,4,2,1,65/4H78D,,2013,24,MIN,AL,66,179,-6,0,1,-4,2,-6,-0.6,6,0,0.0,.490,.496,0.4,-0.1,4,"$520,000",65H/4D7,
2015,26,MIN,AL,127,446,409,48,107,31,4,12,58,2,3,28,86,.262,.309,.445,.754,105,182,7,2,2,5,1,674/DH59,,2014,25,MIN,AL,133,465,0,-2,0,-12,6,-8,-0.7,17,9,0.9,.493,.495,2.2,-0.5,21,"$507,500",65/4H78D,
2016,27,MIN,AL,105,377,352,32,83,14,2,6,37,1,3,21,72,.236,.280,.338,.618,67,119,7,1,2,1,1,65H/4D71,,2015,26,MIN,AL,127,446,3,-4,0,-3,2,-3,-0.1,16,13,1.4,.498,.498,1.7,0.0,16,"$532,500",674/DH59,
2017,28,MIN,AL,129,499,457,62,116,16,5,21,73,5,1,33,98,.254,.309,.449,.758,100,205,5,5,1,3,3,5D6H/472,,2016,27,MIN,AL,105,377,-17,-1,0,-6,4,-20,-2.0,14,-6,-0.7,.480,.487,-0.1,-0.1,0,"$2,150,000",65H/4D71,
2018,29,TOT,MLB,151,631,566,75,154,48,3,23,84,2,4,52,126,.272,.334,.489,.824,119,277,12,5,0,8,8,*56/H4,,2017,28,MIN,AL,129,499,-2,3,1,-8,1,-5,-0.5,18,13,1.3,.496,.497,2.1,-0.7,21,"$2,600,000",5D6H/472,
2019,30,ARI,NL,158,699,636,94,171,29,10,35,118,5,1,50,130,.269,.320,.511,.831,111,325,8,3,0,10,3,*54/HD,,2018,29,MIN,AL,97,408,11,-1,0,-3,3,10,1.2,15,25,2.6,.511,.506,2.8,0.1,28,"$4,850,000",56/H4,
2020,31,ARI,NL,54,222,203,22,43,7,3,4,20,1,0,15,41,.212,.270,.335,.605,63,68,5,2,0,2,4,*5/D4,,2018,29,ARI,NL,54,223,0,-1,-1,-1,1,-1,-0.2,7,6,0.5,.498,.499,0.7,0.0,7,,5/H,
2021,32,TOT,NL,146,599,549,77,139,26,5,28,90,1,0,48,124,.253,.314,.472,.786,109,259,3,1,0,1,1,543/H6,AS,2019,30,ARI,NL,158,699,9,2,3,-1,4,16,1.2,22,37,3.3,.510,.510,3.7,0.1,38,"$6,166,666",*54/HD,
2022,33,NYM,NL,136,542,495,58,119,26,4,20,69,0,2,40,129,.240,.295,.430,.726,106,213,4,1,0,6,3,*5/DH4,,2020,31,ARI,NL,54,222,-14,0,0,0,1,-12,-1.2,8,-4,-0.4,.478,.493,-0.4,0.1,-4,"$7,166,667",*5/D4,
2023,34,TOT,MLB,99,309,288,32,65,6,5,6,31,2,1,18,78,.226,.269,.344,.613,67,99,7,0,1,2,0,54H/D316,,2021,32,ARI,NL,98,400,3,0,2,1,3,9,0.8,14,22,2.1,.509,.505,2.1,0.3,21,"$7,666,667",54/H6,AS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,32,MIL,NL,48,199,4,-1,0,-6,0,-3,-0.3,7,4,0.4,.494,.498,1.0,-0.7,10,,53/H,AS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,33,NYM,NL,136,542,0,0,1,-11,3,-6,-0.6,19,12,1.2,.495,.496,2.3,-0.8,23,"$10,000,000",*5/DH4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,34,NYM,NL,40,120,-2,0,0,-2,1,-3,-0.3,4,1,0.1,.493,.498,0.3,-0.2,3,,5/4HD6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,34,LAA,AL,59,189,-11,-2,1,-6,1,-17,-1.8,6,-11,-1.2,.470,.489,-0.6,-0.5,-5,"$9,500,000",5H4/31D,
