Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,23,SFG,NL,9,20,18,3,4,1,0,1,3,0,0,1,5,.222,.263,.444,.708,98,8,1,0,1,0,0,/6H,,2013,23,SFG,NL,9,20,0,0,0,0,0,0,0.0,1,1,0.1,.503,.500,0.1,0.0,1,,/6H,
2014,24,SFG,NL,53,106,97,10,23,6,0,0,5,1,1,5,22,.237,.279,.299,.578,66,29,2,1,2,1,1,4H/65,,2014,24,SFG,NL,53,106,-4,-1,0,-3,1,-7,-0.8,3,-3,-0.5,.486,.495,-0.1,-0.3,0,"$500,500",4H/65,
2015,25,SFG,NL,52,134,113,11,21,7,1,0,11,3,2,15,20,.186,.303,.265,.569,59,30,2,4,2,0,0,46H/35,,2015,25,SFG,NL,52,134,-6,0,0,3,2,-2,-0.3,4,2,0.2,.495,.499,-0.2,0.5,-1,,46H/35,
2016,26,SFG,NL,40,71,63,3,16,2,0,2,7,0,1,2,13,.254,.299,.381,.679,83,24,0,2,4,0,0,H6/45,,2016,26,SFG,NL,40,71,-2,-1,0,-1,1,-3,-0.3,2,0,-0.1,.493,.498,0.0,0.0,1,"$512,500",H6/45,
2017,27,MIN,AL,70,186,162,30,43,9,2,2,24,8,1,16,25,.265,.324,.383,.707,89,62,0,1,1,6,1,6H7/453D,,2017,27,MIN,AL,70,186,-4,1,1,-1,1,-2,-0.2,7,4,0.4,.497,.499,0.5,0.0,5,,6H7/453D,
2018,28,MIN,AL,114,366,335,42,84,23,1,6,39,5,1,24,82,.251,.301,.379,.680,85,127,4,1,4,2,2,65H3/47D,,2018,28,MIN,AL,114,366,-9,0,-1,-7,3,-14,-1.2,13,-1,0.0,.488,.491,0.6,-0.2,7,"$1,000,000",65H3/47D,
2019,29,MIN,AL,83,236,202,34,55,8,3,5,22,0,2,20,40,.272,.349,.416,.765,103,84,2,6,2,4,1,563H/4971,,2019,29,MIN,AL,83,236,3,0,1,-4,0,0,0.1,8,8,0.9,.500,.500,1.2,-0.2,12,"$1,300,000",563H/4971,
2020,30,MIN,AL,44,101,89,10,17,7,0,0,3,1,0,11,23,.191,.287,.270,.557,57,24,3,1,0,0,0,5H/64D1,,2020,30,MIN,AL,44,101,-6,1,0,2,1,-2,-0.2,3,2,0.1,.496,.499,-0.1,0.3,0,"$1,600,000",5H/64D1,
2021,31,ATL,NL,109,209,182,32,45,9,2,5,28,0,0,21,42,.247,.327,.401,.728,92,73,4,2,1,3,0,H59/4768D,,2021,31,ATL,NL,109,209,-1,1,0,-2,0,-3,-0.3,7,4,0.4,.497,.498,0.6,-0.3,6,"$1,500,000",H59/4768D,
2022,32,TOT,NL,37,110,97,8,17,3,0,0,7,1,0,11,25,.175,.264,.206,.470,38,20,2,1,0,1,0,5/74H6D1,,2022,32,WSN,NL,31,94,-7,0,1,-2,0,-8,-0.8,3,-5,-0.5,.473,.495,-0.3,-0.2,-3,"$1,500,000",5/7H46D1,
2023,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,.000,.091,.000,.091,-72,0,0,0,0,0,0,/H6,,2022,32,ATL,NL,6,16,-1,-1,0,1,0,0,0.0,1,1,0.1,.501,.500,-0.1,0.1,0,,/456,
2024,34,LAA,AL,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,67,9,1,0,0,0,0,/54H,,2023,33,ATL,NL,5,11,-2,0,0,-1,0,-3,-0.3,0,-3,-0.3,.432,.498,-0.2,-0.1,-2,"$1,000,000",/H6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,34,LAA,AL,8,28,-1,0,0,1,0,0,0.0,1,1,0.1,.499,.500,0.0,0.1,0,,/54H,
