Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,24,PIT,NL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,,2015,24,PIT,NL,2,2,-1,0,0,0,0,-1,-0.1,0,-1,,.471,.500,,0.0,0,,/H,
2016,25,PIT,NL,1,4,4,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,,2016,25,PIT,NL,1,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.385,.499,-0.1,0.0,-1,"$510,000",/2,
2017,26,PIT,NL,64,200,188,18,42,14,0,1,19,1,0,11,38,.223,.265,.314,.579,53,59,8,0,0,1,0,2H,,2017,26,PIT,NL,64,200,-13,0,-1,4,3,-7,-0.7,7,0,-0.1,.489,.496,-0.5,0.7,-4,,2H,
2018,27,PIT,NL,82,277,252,33,72,12,0,10,34,0,1,21,40,.286,.339,.452,.792,116,114,4,1,0,3,1,2H/D,,2018,27,PIT,NL,82,277,5,-1,0,1,4,9,0.8,9,18,1.7,.511,.506,1.7,0.5,17,"$559,000",2H/D,
2019,28,PIT,NL,101,332,303,31,73,14,0,2,28,0,0,23,56,.241,.296,.307,.603,60,93,11,2,1,3,0,2H,,2019,28,PIT,NL,101,332,-14,1,0,-12,5,-20,-2.2,11,-9,-1.1,.480,.488,0.2,-0.8,3,"$578,500",2H,
2020,29,COL,NL,26,73,68,4,16,2,0,2,9,0,0,5,15,.235,.288,.353,.641,63,24,4,0,0,0,0,2/HD,,2020,29,COL,NL,26,73,-3,0,-1,0,1,-3,-0.2,2,0,0.0,.490,.498,0.0,0.1,0,,2/HD,
2021,30,COL,NL,106,371,338,52,83,18,1,18,44,0,0,30,60,.246,.310,.464,.774,95,157,15,2,0,1,1,2H,,2021,30,COL,NL,106,371,-4,-1,-1,11,6,10,1.0,13,23,2.2,.510,.506,1.1,1.7,12,"$1,200,000",2H,
2022,31,COL,NL,105,381,351,29,80,18,2,9,51,0,1,25,82,.228,.281,.368,.648,73,129,8,2,0,3,0,2/H,,2022,31,COL,NL,105,381,-11,-2,0,-2,7,-8,-0.8,13,5,0.4,.492,.495,0.6,0.5,7,"$3,000,000",2/H,
2023,32,COL,NL,141,526,486,48,130,25,1,14,72,1,0,34,118,.267,.316,.409,.725,87,199,12,2,0,4,0,*2H/D,AS,2023,32,COL,NL,141,526,-9,-1,-1,0,8,-3,-0.3,18,15,1.4,.498,.498,1.4,0.8,15,"$5,500,000",*2H/D,AS
2024,33,COL,NL,51,202,186,20,57,12,0,5,27,0,0,11,34,.306,.351,.452,.803,120,84,5,3,0,2,2,2D/H,,2024,33,COL,NL,51,202,5,0,0,1,2,7,0.8,7,14,1.4,.515,.505,1.3,0.4,13,"$6,000,000",2D/H,
