Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,23,KCR,AL,29,80,77,4,16,2,0,0,5,0,2,3,8,.208,.238,.234,.471,23,18,3,0,0,0,0,7/8H9,,2001,23,KCR,AL,29,80,-9,-1,0,-1,-1,-11,-1.1,3,-8,-0.8,.461,.493,-0.8,-0.1,-8,,7/8H9,
2002,24,MON,NL,36,138,125,20,37,8,5,1,9,3,5,5,16,.296,.321,.464,.785,102,58,0,0,7,1,0,8/H,,2002,24,MON,NL,36,138,1,-1,1,7,1,9,0.9,4,13,1.3,.525,.506,0.6,0.8,6,,8/H,
2003,25,MON,NL,141,526,483,66,121,25,5,5,47,18,7,31,59,.251,.294,.354,.648,65,171,7,0,9,3,3,*8H,,2003,25,MON,NL,141,526,-25,1,2,1,3,-18,-1.9,16,-1,-0.3,.487,.489,-0.4,0.3,-2,"$300,000",*8H,
2004,26,MON,NL,132,547,502,65,139,20,6,5,34,32,7,30,40,.277,.318,.371,.688,75,186,6,1,12,2,0,*8/H,,2004,26,MON,NL,132,547,-17,3,2,12,3,3,0.2,17,20,1.8,.502,.502,0.7,1.5,8,,*8/H,
2005,27,TOT,NL,98,130,116,19,25,4,3,0,11,2,2,7,14,.216,.260,.302,.562,45,35,3,0,7,0,0,H87/9,,2005,27,WSN,NL,7,12,0,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,,/8H,
2006,28,NYM,NL,133,390,353,48,108,22,5,4,42,12,3,24,44,.306,.348,.431,.779,101,152,7,0,11,2,3,*978H,,2005,27,PHI,NL,91,118,-8,0,0,2,-1,-7,-0.8,4,-4,-0.4,.492,.495,-0.6,0.1,-6,,H87/9,
2007,29,NYM,NL,71,165,150,20,43,7,2,1,17,5,2,9,16,.287,.325,.380,.705,84,57,5,0,5,1,0,79H8,,2006,28,NYM,NL,133,390,1,2,1,6,-3,7,0.6,12,19,1.8,.505,.504,1.2,0.3,13,"$500,000",*978H,
2008,30,NYM,NL,133,298,270,30,72,10,2,1,12,6,1,17,22,.267,.308,.330,.638,70,89,6,0,9,2,3,*97H8,,2007,29,NYM,NL,71,165,-4,1,0,6,-2,1,0.1,5,6,0.6,.501,.501,-0.1,0.3,0,"$1,725,000",79H8,
2009,31,SEA,AL,54,182,161,17,44,3,1,2,13,9,1,14,22,.273,.328,.342,.669,82,55,4,0,5,2,1,7/H8D9,,2008,30,NYM,NL,133,298,-13,1,1,16,-5,0,-0.1,9,9,0.8,.500,.500,-0.8,1.1,-7,"$1,800,000",*97H8,
2011,33,TEX,AL,83,274,256,37,77,11,3,5,27,10,5,10,30,.301,.323,.426,.749,97,109,7,0,5,3,0,8H7/9D,,2009,31,SEA,AL,54,182,-6,1,0,2,-2,-5,-0.5,7,2,0.2,.491,.497,0.0,0.0,0,"$2,050,000",7/H8D9,
2012,34,BAL,AL,64,169,158,15,32,6,0,2,12,3,2,6,24,.203,.236,.278,.515,40,44,2,1,4,0,1,79H/8,,2011,33,TEX,AL,83,274,-1,1,1,-1,1,0,0.0,10,10,1.0,.500,.500,1.1,0.0,11,,8H7/9D,
2013,35,SEA,AL,97,279,266,22,71,10,0,2,14,1,3,9,31,.267,.290,.327,.617,77,87,9,0,3,1,1,98H7/D,,2012,34,BAL,AL,64,169,-12,0,1,1,-2,-13,-1.4,6,-7,-0.8,.479,.492,-0.8,-0.2,-7,"$1,500,000",79H/8,
2014,36,SEA,AL,80,258,232,22,64,12,2,2,23,5,2,15,30,.276,.317,.371,.688,99,86,2,0,9,2,0,9HD7/8,,2013,35,SEA,AL,97,279,-7,-1,-1,-3,-2,-14,-1.4,10,-4,-0.5,.484,.491,-0.2,-0.4,-1,,98H7/D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,36,SEA,AL,80,258,1,-1,0,-2,-3,-5,-0.5,9,4,0.4,.493,.497,0.6,-0.5,6,,9HD7/8,
