Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2014,22,DET,AL,85,277,244,33,59,9,1,4,23,3,2,22,67,.242,.316,.336,.652,85,82,3,5,5,1,1,6/H5D,,2014,22,DET,AL,85,277,-4,-1,0,-1,4,-2,-0.1,10,8,0.8,.497,.499,0.9,0.4,9,,6/H5D,
2015,23,CIN,NL,97,398,372,42,104,19,2,13,48,4,1,17,94,.280,.315,.446,.761,106,166,7,3,4,2,0,6/H5,,2015,23,CIN,NL,97,398,6,-2,0,-12,5,-3,-0.4,13,10,0.9,.497,.498,2.1,-0.8,22,,6/H5,
2016,24,CIN,NL,159,627,565,78,140,25,2,21,70,11,5,51,155,.248,.317,.411,.728,92,232,10,8,0,3,0,*5/H6D,,2016,24,CIN,NL,159,627,-5,-1,-1,1,3,-3,-0.4,20,18,1.6,.498,.498,1.5,0.4,17,"$545,000",*5/H6D,
2017,25,CIN,NL,156,632,534,87,139,25,2,26,82,4,5,84,147,.260,.367,.461,.828,115,246,16,9,0,5,1,*5/H6,,2017,25,CIN,NL,156,632,16,-4,-2,4,3,17,1.5,21,37,3.5,.511,.510,3.2,0.7,33,"$595,000",*5/H6,
2018,26,CIN,NL,143,606,527,79,149,22,2,34,104,1,1,64,142,.283,.366,.526,.892,136,277,20,9,0,6,7,*5/6H,"AS,MVP-18",2018,26,CIN,NL,143,606,26,-4,-2,-1,3,22,2.0,19,41,4.0,.516,.514,4.2,0.1,42,"$2,535,714",*5/6H,"AS,MVP-18"
2019,27,CIN,NL,159,662,575,87,156,22,2,49,103,3,2,70,189,.271,.358,.572,.930,131,329,12,11,0,6,4,*5/HD,MVP-15,2019,27,CIN,NL,159,662,25,-4,-2,-6,3,17,1.3,22,38,3.4,.510,.510,4.2,-0.5,44,"$7,285,714",*5/HD,MVP-15
2020,28,CIN,NL,57,231,198,29,40,8,0,15,38,2,0,30,67,.202,.312,.470,.781,100,93,5,2,0,1,1,*5,,2020,28,CIN,NL,57,231,0,1,-1,-4,2,-2,-0.2,8,6,0.6,.496,.499,0.9,-0.2,10,"$9,535,714",*5,
2021,29,CIN,NL,145,574,505,71,100,23,0,31,79,0,1,56,171,.198,.286,.428,.713,82,216,14,8,0,5,0,56H,,2021,29,CIN,NL,145,574,-15,-3,0,-9,4,-23,-2.5,20,-3,-0.5,.484,.486,0.4,-0.6,6,"$10,785,714",56H,
2022,30,SEA,AL,150,629,543,76,128,24,2,31,87,0,0,73,196,.236,.332,.459,.791,129,249,12,8,0,5,0,*5D/H,,2022,30,SEA,AL,150,629,21,-1,-2,-2,2,17,1.8,21,39,3.9,.512,.511,4.2,-0.1,41,,*5D/H,
2023,31,SEA,AL,162,694,598,68,139,29,0,22,96,2,1,70,214,.232,.323,.391,.714,101,234,10,15,0,11,0,*5/D,,2023,31,SEA,AL,162,694,2,-3,-1,-2,4,0,0.1,23,24,2.3,.500,.500,2.5,0.3,25,"$11,285,715",*5/D,
2024,32,ARI,NL,61,240,214,23,43,10,1,4,27,2,0,16,70,.201,.267,.313,.580,67,67,3,5,0,5,0,*5/D,,2024,32,ARI,NL,61,240,-10,0,0,-2,2,-10,-1.0,8,-2,-0.2,.483,.494,-0.1,0.0,0,"$11,285,715",*5/D,
