Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2008,22,NYY,AL,3,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,1,0,0,0,0,/2,,2008,22,NYY,AL,3,5,-1,0,0,0,0,-2,-0.2,0,-1,-0.1,.445,.499,-0.1,0.0,-1,,/2,
2009,23,NYY,AL,42,101,94,13,28,4,0,1,11,0,3,2,11,.298,.309,.372,.682,75,35,1,0,4,1,0,2/H,,2009,23,NYY,AL,42,101,-3,-1,1,4,2,2,0.2,4,6,0.6,.506,.501,0.2,0.6,2,"$400,700",2/H,
2010,24,NYY,AL,93,317,266,27,72,11,3,0,38,1,1,33,42,.271,.359,.335,.694,87,89,7,6,8,4,1,2/H5,,2010,24,NYY,AL,93,317,-5,-1,0,-3,5,-3,-0.3,12,9,0.9,.496,.498,1.2,0.3,12,"$410,800",2/H5,
2011,25,NYY,AL,43,137,124,17,33,4,0,4,22,4,1,9,29,.266,.324,.395,.719,92,49,4,2,1,1,0,2/H54,,2011,25,NYY,AL,43,137,0,1,0,-1,2,3,0.3,5,8,0.8,.506,.502,0.9,0.2,9,"$455,700",2/H54,
2012,26,NYY,AL,3,2,1,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,54,0,0,0,0,0,0,/2,,2012,26,NYY,AL,3,2,0,0,0,0,0,0,0.0,0,0,0.0,.505,.500,0.0,0.0,0,,/2,
2013,27,NYY,AL,17,61,52,12,14,3,0,3,8,0,0,8,9,.269,.377,.500,.877,141,26,1,1,0,0,0,2/4,,2013,27,NYY,AL,17,61,4,0,0,2,1,7,0.7,2,9,1.0,.543,.504,0.7,0.4,7,"$515,350",2/4,
2014,28,NYY,AL,49,162,146,18,44,11,1,2,13,1,0,11,41,.301,.370,.432,.802,127,63,5,5,0,0,0,2/3HD,,2014,28,NYY,AL,49,162,5,0,-1,-1,2,5,0.6,6,11,1.2,.512,.504,1.3,0.2,12,"$700,000",2/3HD,
2015,29,PIT,NL,130,510,451,56,133,17,5,7,43,1,1,46,94,.295,.370,.401,.771,113,181,12,8,4,1,1,*2/HD,,2015,29,PIT,NL,130,510,10,0,0,-1,8,17,1.7,17,34,3.4,.514,.511,3.5,0.8,35,"$987,500",*2/HD,
2016,30,PIT,NL,101,393,326,42,86,14,1,1,33,6,2,56,72,.264,.377,.322,.699,91,105,14,6,0,5,1,2/H3D,,2016,30,PIT,NL,101,393,0,-1,-1,0,6,4,0.3,13,17,1.5,.504,.502,1.6,0.6,16,"$3,500,000",2/H3D,
2017,31,PIT,NL,81,304,265,31,66,13,2,5,31,0,2,32,65,.249,.342,.370,.712,90,98,7,6,0,1,0,2/H,,2017,31,PIT,NL,81,304,-1,-2,0,-3,5,-2,-0.2,10,8,0.7,.498,.499,1.1,0.2,11,"$9,000,000",2/H,
2018,32,PIT,NL,104,404,332,39,86,15,3,12,57,2,3,51,84,.259,.378,.431,.809,123,143,7,15,2,4,1,2/3HD,,2018,32,PIT,NL,104,404,12,-1,0,1,6,17,1.7,13,31,2.9,.518,.511,2.9,0.6,29,"$10,500,000",2/3HD,
2019,33,TOT,NL,48,160,141,15,30,8,1,3,12,1,0,13,41,.213,.302,.348,.649,70,49,7,5,1,0,0,2/H3D,,2019,33,PIT,NL,34,123,-8,0,0,3,2,-4,-0.5,4,0,-0.1,.488,.497,-0.4,0.5,-3,"$11,500,000",2/H3,
2020,34,MIA,NL,16,62,53,10,13,2,0,3,7,1,0,8,14,.245,.355,.453,.808,117,24,3,1,0,0,0,2,,2019,33,ATL,NL,14,37,3,0,-1,-1,0,2,0.2,1,3,0.3,.514,.501,0.4,-0.1,4,,/23HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,34,MIA,NL,16,62,4,0,-1,2,1,6,0.6,2,8,0.8,.535,.503,0.6,0.3,6,"$2,000,000",2,
