Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2005,22,CLE,AL,7,2,1,2,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,54,0,0,0,0,0,0,/HD8,,2005,22,CLE,AL,7,2,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,,/HD8,
2006,23,CLE,AL,43,141,136,21,37,9,0,1,8,0,0,3,28,.272,.288,.360,.648,68,49,4,0,2,0,0,97/8H,,2006,23,CLE,AL,43,141,-7,1,0,7,-1,0,0.0,5,5,0.5,.499,.500,-0.2,0.6,-2,,97/8H,
2007,24,CLE,AL,100,301,271,41,72,13,2,13,36,8,3,21,77,.266,.318,.472,.790,104,128,7,1,5,3,1,9H/78D,,2007,24,CLE,AL,100,301,3,1,0,10,-3,10,1.0,11,21,2.1,.510,.506,1.1,0.7,11,"$381,900",9H/78D,
2008,25,CLE,AL,134,440,399,54,99,26,2,8,41,9,3,27,87,.248,.307,.383,.691,84,153,10,8,4,2,1,*9H87/D,,2008,25,CLE,AL,134,440,-6,0,0,23,-5,11,1.3,17,28,2.9,.509,.507,0.5,2.0,5,"$404,400",*9H87/D,
2009,26,SEA,AL,153,629,565,85,160,24,1,18,70,16,5,46,122,.283,.339,.425,.764,105,240,14,3,13,2,3,*8,,2009,26,SEA,AL,153,629,6,1,0,32,4,42,4.3,24,66,6.6,.528,.526,3.4,3.7,34,"$455,000",*8,
2010,27,SEA,AL,152,629,568,61,139,25,3,12,64,25,3,50,137,.245,.303,.363,.666,87,206,10,1,2,8,5,*8/DH,GG,2010,27,SEA,AL,152,629,-9,4,0,0,3,-2,-0.1,24,22,2.2,.499,.499,2.2,0.4,21,"$2,312,500",*8/DH,GG
2011,28,SEA,AL,92,344,322,26,72,13,0,1,19,13,2,16,56,.224,.261,.273,.534,54,88,6,1,3,2,1,8/H,,2011,28,SEA,AL,92,344,-18,1,0,8,2,-7,-0.7,13,6,0.5,.492,.495,-0.3,1.1,-2,"$4,312,500",8/H,
2012,29,SEA,AL,40,163,150,18,39,10,1,4,17,3,1,9,31,.260,.309,.420,.729,105,63,5,2,1,1,0,8/HD,,2012,29,SEA,AL,40,163,2,-1,-1,-5,1,-4,-0.4,6,3,0.2,.491,.498,0.8,-0.5,8,"$5,500,000",8/HD,
2013,30,SEA,AL,41,151,145,18,36,7,0,10,24,3,1,5,43,.248,.273,.503,.777,117,73,2,0,1,0,0,98/H,,2013,30,SEA,AL,41,151,4,1,0,-6,0,-2,-0.1,5,4,0.4,.495,.499,1.0,-0.6,10,"$7,000,000",98/H,
2015,32,SEA,AL,59,189,171,27,50,11,0,15,35,0,0,14,54,.292,.354,.620,.974,167,106,5,3,0,1,1,7H/D9,,2015,32,SEA,AL,59,189,15,1,0,5,-2,18,2.0,7,25,2.6,.532,.512,2.1,0.4,20,,7H/D9,
2016,33,SEA,AL,98,283,248,33,61,9,0,14,39,1,0,29,85,.246,.329,.452,.780,112,112,6,3,0,3,0,9HD/7,,2016,33,SEA,AL,98,283,5,2,-1,-8,-4,-7,-0.7,10,3,0.3,.493,.496,1.2,-1.2,11,"$1,500,000",9HD/7,
2017,34,LAD,NL,35,63,56,8,13,3,0,1,8,0,1,7,16,.232,.317,.339,.657,76,19,2,0,0,0,0,H7,,2017,34,LAD,NL,35,63,-2,0,0,-1,0,-3,-0.3,2,-1,-0.1,.491,.498,0.0,-0.2,0,"$2,600,000",H7,
