Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2007,21,COL,NL,8,15,13,1,4,0,0,0,1,0,0,1,5,.308,.357,.308,.665,70,4,0,0,1,0,0,/1,,2007,21,COL,NL,8,15,-1,0,0,0,2,2,0.2,0,2,0.2,.518,.501,0.2,0.0,2,,/1,
2008,22,COL,NL,5,11,10,1,1,0,0,0,0,0,0,0,2,.100,.100,.100,.200,-49,1,1,0,1,0,0,/1,,2008,22,COL,NL,5,11,-2,0,0,0,2,-1,-0.1,0,-1,-0.1,.479,.499,-0.1,0.0,-1,"$391,000",/1,
2009,23,COL,NL,40,5,5,0,2,0,0,0,1,0,0,0,2,.400,.400,.400,.800,103,2,0,0,0,0,0,1,,2009,23,COL,NL,40,5,0,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,"$402,000",1,
2010,24,COL,NL,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2010,24,COL,NL,33,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$406,000",1,
2011,25,TOT,MLB,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2011,25,COL,NL,14,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$424,000",1,
2012,26,BOS,AL,2,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,173,1,0,0,0,0,0,1,,2011,25,BOS,AL,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,1,
2013,27,BOS,AL,4,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2012,26,BOS,AL,2,2,0,0,0,0,0,1,0.1,0,1,0.1,.525,.500,0.1,0.0,1,"$850,000",1,
2014,28,COL,NL,34,39,30,2,3,0,0,0,0,0,0,3,15,.100,.182,.100,.282,-23,3,0,0,6,0,0,1,,2013,27,BOS,AL,4,2,-1,0,0,0,0,0,0.0,0,0,0.0,.493,.500,0.0,0.0,0,"$1,487,500",1,
2015,29,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2014,28,COL,NL,34,39,-5,0,0,0,5,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,"$1,712,500",1,
2016,30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,,2015,29,KCR,AL,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$1,850,000",1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,30,TOR,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,000,000",/1,
