Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1981,19,TOR,AL,14,29,28,1,4,0,0,0,1,0,1,0,12,.143,.172,.143,.315,-10,4,0,1,0,0,0,6/H5D,,1981,19,TOR,AL,14,29,-4,-1,0,1,0,-3,-0.3,1,-2,-0.2,.477,.498,-0.4,0.2,-3,,6/H5D,
1984,22,TOR,AL,10,9,9,0,3,0,0,0,1,0,0,0,1,.333,.333,.333,.667,83,3,1,0,0,0,0,/4DH,,1984,22,TOR,AL,10,9,0,0,0,0,0,-1,-0.1,0,0,0.0,.494,.500,0.0,0.0,0,,/4DH,
1985,23,MON,NL,9,14,13,5,4,1,1,1,1,0,0,1,3,.308,.357,.769,1.126,214,10,0,0,0,0,0,/H465,,1985,23,MON,NL,9,14,2,0,0,0,0,3,0.3,0,3,0.3,.531,.502,0.3,0.1,3,,/H465,
1986,24,STL,NL,13,18,17,2,3,0,0,1,1,1,0,1,1,.176,.222,.353,.575,57,6,1,0,0,0,0,/H54,,1986,24,STL,NL,13,18,-1,0,0,0,0,-1,-0.2,1,-1,-0.1,.488,.499,-0.1,0.0,0,,/H54,
1987,25,CHW,AL,115,330,298,30,77,13,3,4,29,5,3,19,69,.258,.302,.362,.665,74,108,4,1,9,3,1,46/HD,,1987,25,CHW,AL,115,330,-11,-1,0,10,4,2,0.2,11,13,1.2,.501,.501,0.3,1.4,3,"$62,500",46/HD,
1988,26,CHW,AL,140,387,345,43,81,10,6,5,37,6,5,21,54,.235,.283,.342,.625,75,118,7,3,16,2,1,*4H6/D,,1988,26,CHW,AL,140,387,-11,1,1,-3,4,-7,-0.7,13,6,0.6,.495,.495,0.8,0.2,9,"$97,500",*4H6/D,
1989,27,TOT,AL,119,412,378,46,111,25,1,4,52,4,5,17,63,.294,.326,.397,.723,104,150,9,2,13,2,1,46H/5D,,1989,27,CHW,AL,65,202,1,-1,0,-9,2,-8,-0.7,7,0,-0.1,.488,.495,0.9,-0.8,9,"$192,500",4H/65D,
1990,28,MIN,AL,69,237,228,22,54,10,0,5,29,2,0,4,35,.237,.254,.346,.601,63,79,8,2,1,2,0,4/HD,,1989,27,TEX,AL,54,210,0,2,0,0,3,4,0.5,8,12,1.2,.509,.503,1.3,0.3,12,,64/5H,
1991,29,OAK,AL,9,23,21,2,3,0,0,0,0,0,0,2,1,.143,.217,.143,.360,5,3,1,0,0,0,0,/64H,,1990,28,MIN,AL,69,237,-12,2,0,-1,2,-10,-1.1,8,-1,-0.2,.485,.494,-0.1,0.0,0,,4/HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,29,OAK,AL,9,23,-3,0,0,1,0,-2,-0.2,1,-1,-0.1,.482,.499,-0.2,0.1,-1,,/64H,
