Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,22,PHI,NL,58,200,190,14,43,15,1,3,24,0,0,7,29,.226,.254,.363,.617,64,69,6,0,3,0,0,4/6H,,2012,22,PHI,NL,58,200,-10,0,0,9,2,0,0.1,6,7,0.7,.501,.500,-0.4,1.2,-2,"$480,000",4/6H,
2013,23,PHI,NL,70,222,205,13,48,5,4,6,19,1,0,13,45,.234,.283,.385,.668,84,79,5,1,3,0,2,45H67,,2013,23,PHI,NL,70,222,-4,0,0,-6,1,-9,-1.0,7,-1,-0.3,.486,.494,0.4,-0.6,5,"$490,000",45H67,
2014,24,PHI,NL,43,128,119,14,21,3,1,4,12,1,0,8,30,.176,.227,.319,.546,51,38,0,0,0,1,0,65/4H,,2014,24,PHI,NL,43,128,-7,0,1,-3,2,-8,-1.0,4,-4,-0.6,.479,.494,-0.2,-0.2,-1,"$500,000",65/4H,
2015,25,PHI,NL,151,603,559,63,147,14,5,7,50,10,1,30,103,.263,.302,.343,.645,79,192,11,3,7,4,1,*6/4H,,2015,25,PHI,NL,151,603,-15,3,1,-13,8,-16,-1.9,20,3,0.1,.488,.489,1.4,-0.6,16,"$513,500",*6/4H,
2016,26,PHI,NL,158,624,584,61,141,26,3,20,67,17,6,25,136,.241,.274,.399,.673,78,233,16,3,8,4,6,*6/H,,2016,26,PHI,NL,158,624,-21,1,1,4,8,-7,-0.9,20,13,1.1,.495,.495,0.7,1.2,9,"$2,000,000",*6/H,
2017,27,PHI,NL,162,663,608,71,155,29,6,12,61,14,5,45,111,.255,.309,.382,.690,81,232,12,4,2,4,2,*6/H87,,2017,27,PHI,NL,162,663,-12,1,0,5,8,2,0.0,22,23,2.1,.501,.501,1.7,1.3,18,"$4,350,000",*6/H87,
2018,28,SDP,NL,162,656,602,62,149,31,5,13,67,8,6,45,147,.248,.299,.380,.680,88,229,8,2,1,6,2,*6/4,,2018,28,SDP,NL,162,656,-9,-2,1,2,9,1,-0.3,21,22,1.9,.500,.500,1.8,1.0,20,"$6,825,000",*6/4,
2019,29,TOT,MLB,147,589,557,67,145,28,1,23,70,4,2,28,145,.260,.296,.438,.734,91,244,14,1,1,2,1,*64/HD,,2019,29,TOR,AL,115,473,-2,0,-1,9,5,12,1.3,17,29,3.0,.510,.507,2.0,1.5,20,"$4,000,000",6/4DH,
2020,30,CIN,NL,47,159,141,18,31,5,0,7,16,1,1,13,30,.220,.308,.404,.712,84,57,5,5,0,0,0,64/H,,2019,29,CIN,NL,32,116,-4,-1,0,3,1,-1,-0.2,4,2,0.2,.496,.499,-0.1,0.4,-1,,4/6H,
2021,31,TOT,MLB,104,394,356,53,86,15,1,14,40,1,0,27,77,.242,.302,.407,.709,92,145,6,5,2,3,1,65/H43,,2020,30,CIN,NL,47,159,-4,-1,-1,0,2,-3,-0.3,5,2,0.2,.493,.498,0.2,0.3,2,,64/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,31,BAL,AL,72,274,-3,1,-1,-1,3,0,0.0,9,9,1.0,.500,.500,1.1,0.3,10,"$1,500,000",6/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,31,PHI,NL,32,120,-2,0,0,0,1,-1,-0.1,4,4,0.3,.498,.500,0.3,0.1,4,,56/H43,
