Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1999,22,SEA,AL,3,6,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,28,1,0,0,2,0,0,1/H,"CYA-9,RoY-2",1999,22,SEA,AL,3,6,-1,0,0,0,1,0,0.0,0,0,0.0,.505,.500,0.0,0.0,0,"$200,000",1/H,"CYA-9,RoY-2"
2000,23,SEA,AL,2,6,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,250,2,0,0,3,0,0,1,,2000,23,SEA,AL,2,6,1,0,0,0,1,2,0.2,0,2,0.2,.597,.501,0.2,0.0,2,"$325,000",1,
2001,24,SEA,AL,2,9,7,0,1,0,0,0,0,0,0,0,4,.143,.143,.143,.286,-22,1,0,0,2,0,0,1,"AS,CYA-3",2001,24,SEA,AL,2,9,-2,0,0,0,1,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,"$425,000",1,"AS,CYA-3"
2002,25,SEA,AL,2,7,6,0,2,1,0,0,0,0,0,0,1,.333,.333,.500,.833,121,3,0,0,1,0,0,1,AS,2002,25,SEA,AL,2,7,0,0,0,0,1,1,0.1,0,1,0.1,.552,.501,0.1,0.0,1,"$3,800,000",1,AS
2003,26,SEA,AL,1,5,5,0,1,0,0,0,1,0,0,0,0,.200,.200,.200,.400,9,1,1,0,0,0,0,1,,2003,26,SEA,AL,1,5,-1,0,0,0,1,0,0.0,0,0,0.0,.482,.500,0.0,0.0,0,"$6,875,000",1,
2004,27,TOT,AL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2004,27,SEA,AL,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.471,.500,-0.1,0.0,-1,"$6,875,000",1,
2005,28,CHW,AL,3,9,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0,1,,2005,28,CHW,AL,3,9,-3,0,0,0,1,-1,-0.1,0,-1,-0.1,.454,.499,-0.1,0.0,-1,"$8,000,000",1,
2006,29,CHW,AL,2,6,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,3,1,0,0,1,0,0,1,,2006,29,CHW,AL,2,6,-1,0,0,0,1,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,"$9,000,000",1,
2007,30,PHI,NL,10,22,17,1,4,1,0,0,2,0,0,2,7,.235,.300,.294,.594,53,5,1,0,2,1,0,1,,2007,30,PHI,NL,10,22,-2,-1,0,0,3,1,0.1,0,1,0.1,.510,.501,0.1,0.0,1,"$10,000,000",1,
2010,33,CHW,AL,2,6,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,1,0,0,1,,2010,33,CHW,AL,2,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.454,.499,-0.1,0.0,-1,"$1,000,000",1,
2011,34,NYY,AL,3,8,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,3,0,0,1,,2011,34,NYY,AL,3,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.457,.499,-0.1,0.0,-1,"$1,500,000",1,
2012,35,NYY,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2012,35,NYY,AL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,"$4,000,000",1,
2013,36,TOT,MLB,6,10,8,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,2,0,0,1,,2013,36,ATL,NL,6,10,-3,0,0,0,1,-1,-0.1,0,-1,-0.1,.476,.499,-0.1,0.0,-1,,/1,
