Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,20,SEA,AL,2,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,,2006,20,SEA,AL,2,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.465,.500,-0.1,0.0,-1,"$340,000",1,
2007,21,SEA,AL,2,4,4,0,1,0,0,0,1,0,0,0,3,.250,.250,.250,.500,35,1,0,0,0,0,0,1,,2007,21,SEA,AL,2,4,0,0,0,0,1,0,0.0,0,0,0.0,.507,.500,0.0,0.0,0,"$420,000",1,
2008,22,SEA,AL,1,2,1,1,1,0,0,1,4,0,0,0,0,1.000,1.000,4.000,5.000,1168,4,0,0,1,0,0,1,,2008,22,SEA,AL,1,2,3,0,0,0,0,3,0.2,0,3,0.2,.738,.501,0.2,0.0,3,"$540,000",1,
2009,23,SEA,AL,2,7,6,1,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-56,0,0,0,0,0,0,1,"AS,CYA-2,MVP-26",2009,23,SEA,AL,2,7,-1,0,0,0,1,0,0.0,0,0,0.0,.480,.500,0.0,0.0,0,"$3,800,000",1,"AS,CYA-2,MVP-26"
2010,24,SEA,AL,1,4,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0,1,"CYA-1,MVP-16",2010,24,SEA,AL,1,4,-1,0,0,0,1,0,0.0,0,0,0.0,.467,.500,0.0,0.0,0,"$7,200,000",1,"CYA-1,MVP-16"
2011,25,SEA,AL,2,7,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-17,1,0,0,0,0,0,1,AS,2011,25,SEA,AL,2,7,-1,0,0,0,1,0,0.0,0,0,0.0,.492,.500,0.0,0.0,0,"$11,700,000",1,AS
2012,26,SEA,AL,1,3,3,0,1,1,0,0,2,0,0,0,1,.333,.333,.667,1.000,176,2,0,0,0,0,0,1,"AS,CYA-4,MVP-22",2012,26,SEA,AL,1,3,0,0,0,0,0,1,0.1,0,1,0.1,.567,.500,0.1,0.0,1,"$18,500,000",1,"AS,CYA-4,MVP-22"
2013,27,SEA,AL,2,6,5,1,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,-46,0,0,0,0,0,0,1,"AS,CYA-8,MVP-22",2013,27,SEA,AL,2,6,-1,0,0,0,1,0,0.0,0,0,0.0,.491,.500,0.0,0.0,0,"$19,857,000",1,"AS,CYA-8,MVP-22"
2014,28,SEA,AL,1,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,"AS,CYA-2,MVP-10",2014,28,SEA,AL,1,3,-1,0,0,0,0,0,0.0,0,0,0.0,.464,.500,0.0,0.0,0,"$22,857,000",1,"AS,CYA-2,MVP-10"
2015,29,SEA,AL,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,"AS,CYA-7",2015,29,SEA,AL,1,3,-1,0,0,0,0,0,0.0,0,0,0.0,.460,.500,0.0,0.0,0,"$24,857,000",1,"AS,CYA-7"
2016,30,SEA,AL,3,8,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,2,0,0,1,,2016,30,SEA,AL,3,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.465,.499,-0.1,0.0,-1,"$25,857,000",1,
2018,32,SEA,AL,2,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,2,0,0,0,0,1,,2018,32,SEA,AL,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.454,.499,-0.1,0.0,-1,"$26,857,000",1,
2019,33,SEA,AL,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2019,33,SEA,AL,2,3,-1,0,0,0,0,0,0.0,0,0,0.0,.482,.500,0.0,0.0,0,"$27,858,000",1,
