Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2009,22,ARI,NL,120,491,455,59,132,21,8,5,60,5,7,25,89,.290,.324,.404,.729,88,184,18,1,4,6,1,*78H/9,RoY-8,2009,22,ARI,NL,120,491,-8,0,0,0,-2,-11,-1.3,15,4,0.2,.490,.493,0.2,-0.3,4,,*78H/9,RoY-8
2010,23,ARI,NL,133,393,364,31,95,19,6,3,30,1,0,23,76,.261,.308,.371,.679,79,135,8,2,3,1,10,*79H/8,,2010,23,ARI,NL,133,393,-13,-1,0,13,-4,-6,-0.7,12,7,0.5,.496,.496,-0.9,0.9,-6,"$405,500",*79H/8,
2011,24,ARI,NL,141,493,445,55,130,20,8,8,46,15,1,43,82,.292,.357,.427,.784,113,190,8,3,0,2,16,*79H/8,GG,2011,24,ARI,NL,141,493,3,2,0,14,-5,14,1.5,15,29,3.0,.511,.510,1.4,0.9,15,"$426,000",*79H/8,GG
2012,25,ARI,NL,133,430,385,58,105,21,2,7,36,15,9,33,77,.273,.335,.392,.727,95,151,4,4,6,2,4,*87H9,,2012,25,ARI,NL,133,430,-3,0,2,9,-1,6,0.7,13,20,2.0,.505,.504,0.9,0.9,11,"$502,000",*87H9,
2013,26,ARI,NL,156,663,601,79,161,43,4,10,48,10,10,48,100,.268,.323,.403,.726,99,242,12,3,7,4,3,*98/7H,GG,2013,26,ARI,NL,156,663,-2,1,2,33,-4,29,3.2,21,51,5.3,.522,.521,1.6,3.2,18,"$2,350,000",*98/7H,GG
2014,27,TOT,NL,150,574,529,64,138,22,4,9,40,9,7,32,100,.261,.308,.369,.677,88,195,10,5,6,2,5,*978H,,2014,27,ARI,NL,104,440,-7,-2,1,-1,-4,-14,-1.7,14,1,-0.3,.485,.490,-0.1,-0.6,2,"$4,850,000",9/8H,
2015,28,TOT,MLB,155,589,547,83,159,36,5,14,51,14,4,28,92,.291,.328,.452,.780,111,247,8,5,4,5,3,*978H,,2014,27,MIL,NL,46,134,-2,0,0,-2,-1,-5,-0.6,4,-1,-0.2,.488,.496,0.1,-0.4,1,,7/8H9,
2016,29,COL,NL,102,381,368,45,93,27,3,7,39,6,4,9,73,.253,.271,.399,.671,65,147,16,1,1,2,1,7398/H,,2015,28,MIL,NL,100,351,16,-1,0,-5,-2,8,0.8,11,20,2.0,.509,.505,2.5,-0.8,25,"$6,237,500",78H9,
2017,30,COL,NL,115,425,392,56,121,24,1,10,71,2,5,20,67,.309,.341,.452,.793,93,177,13,4,0,9,0,79H/38D,,2015,28,BAL,AL,55,238,-11,0,2,-4,-2,-15,-1.5,8,-7,-0.7,.471,.490,-0.3,-0.6,-3,,98/7H,
2018,31,COL,NL,142,443,401,52,114,17,0,6,53,11,4,32,75,.284,.342,.372,.714,82,149,6,5,2,3,3,*7H9,,2016,29,COL,NL,102,381,-18,-2,-1,-8,-4,-34,-3.6,12,-21,-2.4,.466,.478,-1.6,-1.3,-13,"$8,000,000",7398/H,
2019,32,TOT,NL,119,301,274,38,64,14,1,9,48,8,3,19,59,.234,.293,.391,.684,77,107,7,5,1,2,3,H9738/451,,2017,30,COL,NL,115,425,-4,0,-1,5,-5,-6,-0.7,14,8,0.7,.495,.497,0.2,0.0,3,"$8,000,000",79H/38D,
2021,34,WSN,NL,53,107,97,13,23,5,0,2,10,1,1,6,30,.237,.292,.351,.643,77,34,3,2,1,1,0,H7/89,,2018,31,COL,NL,142,443,-10,0,0,6,-4,-8,-1.1,14,7,0.4,.494,.495,-0.2,0.0,1,"$10,000,000",*7H9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,32,SFG,NL,30,97,-5,1,1,5,-1,0,0.0,3,3,0.3,.501,.500,-0.2,0.4,-2,"$100,000",79/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,32,WSN,NL,89,204,-2,1,-1,3,-2,0,-0.1,7,7,0.5,.500,.500,0.3,0.1,3,,H938/7451,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,34,WSN,NL,53,107,-3,-1,0,-3,-1,-8,-0.8,4,-4,-0.5,.485,.495,-0.1,-0.4,-1,"$1,000,000",H7/89,
