Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2008,24,ATL,NL,144,519,430,52,108,14,4,1,38,13,5,74,99,.251,.366,.309,.676,82,133,3,6,6,3,2,*78H/9,,2008,24,ATL,NL,144,519,-6,-1,3,1,-2,-5,-0.7,16,11,0.9,.497,.497,0.9,-0.2,10,"$390,000",*78H/9,
2009,25,ATL,NL,24,48,43,5,8,0,1,0,1,2,0,4,9,.186,.255,.233,.488,31,10,1,0,1,0,0,H/879,,2009,25,ATL,NL,24,48,-3,1,0,0,0,-2,-0.2,2,-1,-0.1,.491,.499,-0.1,0.0,-1,"$415,000",H/879,
2010,26,TOT,MLB,85,269,237,31,67,9,4,1,14,11,4,29,50,.283,.360,.367,.727,100,87,5,0,2,1,1,8H/79D,,2010,26,ATL,NL,36,66,1,0,0,1,0,1,0.1,2,4,0.3,.504,.501,0.2,0.1,2,,8/7H,
2012,28,SFG,NL,141,453,393,56,96,14,5,5,34,26,6,51,104,.244,.333,.344,.676,94,135,0,2,5,2,2,*978H/D,,2010,26,KCR,AL,49,203,0,1,0,-2,1,-1,0.0,8,7,0.7,.499,.500,0.9,-0.1,9,,8/H9D7,
2013,29,SFG,NL,141,511,452,50,120,17,6,3,41,14,9,52,95,.265,.341,.350,.690,99,158,10,1,3,3,4,*87H/9,,2012,28,SFG,NL,141,453,-2,4,1,7,-4,6,0.7,14,20,2.1,.505,.504,1.3,0.4,13,"$516,000",*978H/D,
2014,30,SFG,NL,146,444,393,51,102,18,6,5,38,16,5,41,77,.260,.333,.374,.707,103,147,4,3,6,1,1,*87H/9,,2013,29,SFG,NL,141,511,0,-1,0,11,-1,9,0.9,17,26,2.6,.507,.506,1.4,1.0,15,"$1,350,000",*87H/9,
2015,31,SFG,NL,115,372,327,59,95,19,3,5,26,13,5,40,59,.291,.368,.413,.781,115,135,3,2,0,3,7,87H9,,2014,30,SFG,NL,146,444,3,0,0,2,-1,5,0.4,14,19,1.8,.504,.503,1.7,0.0,17,"$2,525,000",*87H/9,
2016,32,SFG,NL,106,274,241,28,54,10,4,1,18,6,3,29,51,.224,.309,.311,.620,70,75,5,1,1,1,4,H978,,2015,31,SFG,NL,115,372,5,1,1,-6,-1,-1,-0.1,12,11,1.0,.499,.500,1.7,-0.8,17,"$3,600,000",87H9,
2017,33,ARI,NL,90,256,224,43,55,10,3,3,13,15,1,31,59,.246,.337,.357,.694,77,80,2,0,1,0,0,78H/9,,2016,32,SFG,NL,106,274,-8,0,0,-7,-2,-17,-1.9,9,-8,-1.0,.483,.489,-0.3,-1.0,-1,"$3,900,000",H978,
2018,34,SFG,NL,68,203,189,19,41,7,3,2,12,6,2,12,58,.217,.262,.317,.580,61,60,2,0,1,1,0,78H9,,2017,33,ARI,NL,90,256,-7,3,1,-4,-1,-9,-1.0,8,-1,-0.2,.490,.494,0.3,-0.6,3,"$1,000,000",78H/9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,34,SFG,NL,68,203,-10,0,0,-2,-1,-13,-1.5,7,-6,-0.8,.480,.492,-0.5,-0.4,-4,"$1,000,000",78H9,
