Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,22,TOR,AL,17,57,52,2,11,2,0,0,6,1,0,2,8,.212,.263,.250,.513,33,13,1,2,0,1,0,2/DH,,2004,22,TOR,AL,17,57,-5,0,0,-3,1,-8,-0.7,2,-6,-0.5,.457,.495,-0.3,-0.2,-2,,2/DH,
2005,23,TOR,AL,12,39,36,3,7,2,0,0,4,0,0,2,13,.194,.256,.250,.506,35,9,0,1,0,0,0,2/D,,2005,23,TOR,AL,12,39,-4,0,0,0,0,-3,-0.3,1,-2,-0.2,.473,.498,-0.2,0.1,-2,,2/D,
2006,24,SEA,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,,2006,24,SEA,AL,1,2,-1,0,0,0,0,-1,-0.1,0,-1,0.0,.445,.500,0.0,0.0,0,"$327,500",/2,
2007,25,TEX,AL,9,11,10,1,4,1,0,0,2,0,0,1,2,.400,.455,.500,.955,151,5,0,0,0,0,0,/2H,,2007,25,TEX,AL,9,11,1,0,0,-1,0,0,0.0,0,1,0.1,.501,.500,0.2,-0.1,2,,/2H,
2008,26,BAL,AL,56,149,134,12,25,5,0,2,14,0,0,12,34,.187,.259,.269,.527,40,36,3,1,1,0,0,2/HD,,2008,26,BAL,AL,56,149,-12,-1,0,-2,3,-13,-1.2,6,-7,-0.7,.477,.492,-0.5,0.1,-5,"$400,000",2/HD,
2009,27,SEA,AL,4,15,14,0,4,0,0,0,2,0,0,0,3,.286,.286,.286,.571,56,4,0,0,1,0,0,/2,,2009,27,SEA,AL,4,15,-1,0,0,0,0,-1,-0.1,1,0,0.0,.480,.500,0.0,0.0,0,,/2,
2010,28,SEA,AL,2,7,7,1,2,1,0,0,0,0,0,0,1,.286,.286,.429,.714,98,3,0,0,0,0,0,/2,,2010,28,SEA,AL,2,7,0,0,0,0,0,0,0.0,0,0,0.0,.504,.500,0.0,0.0,0,,/2,
2012,30,BOS,AL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,,2012,30,BOS,AL,2,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.471,.500,-0.1,0.0,0,,/2H,
2013,31,SFG,NL,43,95,86,5,16,7,0,1,6,0,0,5,21,.186,.237,.302,.539,53,26,4,1,2,1,1,2H,,2013,31,SFG,NL,43,95,-6,0,0,-1,1,-6,-0.7,3,-3,-0.4,.485,.496,-0.3,0.0,-2,"$575,000",2H,
2014,32,SFG,NL,2,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,,2014,32,SFG,NL,2,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.460,.500,-0.1,0.0,-1,,/2,
