Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,25,LAD,NL,3,5,5,1,2,0,0,1,1,0,0,0,1,.400,.400,1.000,1.400,263,5,0,0,0,0,0,/H35,,1997,25,LAD,NL,3,5,1,0,0,0,0,1,0.1,0,1,0.1,.530,.501,0.1,0.0,1,,/H35,
1999,27,COL,NL,88,303,263,30,61,12,3,6,28,1,1,34,38,.232,.320,.369,.689,59,97,4,1,3,2,1,2/H7,,1999,27,COL,NL,88,303,-20,-2,0,9,5,-9,-1.0,9,1,0.0,.490,.495,-0.9,1.3,-8,"$215,000",2/H7,
2000,28,MIL,NL,93,324,284,29,67,24,0,7,31,0,3,36,60,.236,.318,.394,.712,81,112,9,0,0,4,6,2/H,,2000,28,MIL,NL,93,324,-11,-3,-2,13,5,2,0.1,10,12,1.1,.502,.501,-0.1,1.7,-1,"$235,000",2/H,
2001,29,MIL,NL,104,357,314,33,66,18,3,6,31,3,1,34,72,.210,.290,.344,.634,66,108,10,2,5,2,6,2/H,,2001,29,MIL,NL,104,357,-18,-1,-1,5,6,-10,-1.1,11,1,0.0,.490,.494,-0.5,1.0,-4,"$712,500",2/H,
2002,30,ATL,NL,81,249,221,17,45,9,1,6,22,0,2,20,51,.204,.267,.335,.602,57,74,5,1,2,5,5,2/H,,2002,30,ATL,NL,81,249,-16,-2,0,3,4,-11,-1.2,8,-3,-0.4,.486,.493,-0.7,0.7,-6,"$1,512,500",2/H,
2003,31,ATL,NL,55,166,151,11,30,8,0,1,13,0,0,10,21,.199,.252,.272,.523,36,41,3,1,3,1,2,2/H,,2003,31,ATL,NL,55,166,-15,-1,0,-2,3,-16,-1.7,5,-11,-1.2,.471,.490,-1.0,0.1,-9,"$1,300,000",2/H,
2004,32,MIN,AL,114,353,315,36,65,19,1,10,37,0,3,21,56,.206,.260,.368,.628,60,116,8,3,11,3,0,*2/H,,2004,32,MIN,AL,114,353,-20,-2,1,-2,6,-17,-1.6,13,-4,-0.4,.485,.490,-0.2,0.5,-2,"$750,000",*2/H,
2005,33,CHC,NL,54,178,161,16,39,6,0,6,25,0,0,11,24,.242,.287,.391,.679,73,63,6,0,4,2,1,2/H,,2005,33,CHC,NL,54,178,-5,1,-1,5,3,3,0.2,6,8,0.8,.505,.502,0.3,0.8,3,"$1,200,000",2/H,
2006,34,CHC,NL,74,261,241,23,64,15,2,6,37,0,0,14,38,.266,.304,.419,.723,81,101,8,0,4,2,1,2/3H,,2006,34,CHC,NL,74,261,-6,-1,-1,1,4,-3,-0.3,8,6,0.5,.497,.498,0.4,0.5,5,"$1,500,000",2/3H,
2007,35,CHC,NL,22,58,54,3,9,3,0,0,4,0,0,2,12,.167,.193,.222,.415,5,12,0,0,1,1,0,2/H3,,2007,35,CHC,NL,22,58,-7,0,0,-1,1,-7,-0.7,2,-5,-0.5,.469,.496,-0.4,0.0,-4,"$1,775,000",2/H3,
2008,36,CHC,NL,58,128,120,15,35,3,0,3,12,0,0,6,22,.292,.325,.392,.717,83,47,4,0,2,0,1,2H/3,,2008,36,CHC,NL,58,128,-4,-1,0,1,2,-3,-0.3,4,2,0.1,.496,.498,0.0,0.3,0,"$3,175,000",2H/3,
2009,37,SDP,NL,67,232,204,21,48,12,0,6,16,0,0,26,50,.235,.320,.382,.703,94,78,5,0,1,1,2,2/H5,,2009,37,SDP,NL,67,232,-2,-1,-1,-3,4,-4,-0.4,7,4,0.3,.495,.498,0.6,0.1,7,"$750,000",2/H5,
2010,38,NYM,NL,50,144,130,10,28,5,0,2,8,1,0,11,26,.215,.271,.300,.571,56,39,1,0,0,3,2,2/H,,2010,38,NYM,NL,50,144,-8,0,0,2,3,-4,-0.5,4,1,0.0,.492,.497,-0.2,0.5,-1,"$750,000",2/H,
2011,39,ARI,NL,37,112,100,12,25,3,1,8,12,0,1,12,21,.250,.330,.540,.870,132,54,2,0,0,0,1,2/H,,2011,39,ARI,NL,37,112,4,-1,0,1,2,6,0.6,3,9,0.9,.516,.504,0.8,0.3,8,"$1,000,000",2/H,
2012,40,ARI,NL,21,67,64,6,12,3,0,1,7,1,0,3,18,.188,.224,.281,.505,35,18,1,0,0,0,0,2/H,,2012,40,ARI,NL,21,67,-5,0,0,0,1,-3,-0.4,2,-1,-0.2,.482,.498,-0.2,0.1,-1,"$1,200,000",2/H,
2013,41,TOT,AL,50,150,134,11,19,5,0,3,14,0,0,14,36,.142,.228,.246,.474,35,33,5,1,1,0,0,2/H,,2013,41,TOR,AL,15,43,-3,0,-1,-3,1,-6,-0.6,2,-4,-0.5,.459,.496,-0.1,-0.2,-1,"$750,000",2/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,41,SEA,AL,35,107,-9,0,0,-3,2,-10,-1.0,4,-6,-0.7,.470,.493,-0.4,-0.1,-3,,2/H,
