Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,21,DET,AL,2,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,172,1,0,0,0,0,0,/H4,,2012,21,DET,AL,2,2,0,0,0,0,0,0,0.0,0,0,0.0,.505,.500,0.0,0.0,0,,/H4,
2013,22,DET,AL,34,71,66,13,13,0,1,0,5,1,0,2,15,.197,.217,.227,.445,22,15,2,0,2,1,0,4/HD56,,2013,22,DET,AL,34,71,-6,0,0,2,0,-4,-0.4,3,-2,-0.2,.487,.497,-0.4,0.3,-4,,4/HD56,
2014,23,DET,AL,8,6,5,1,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,56,1,0,0,0,0,0,/45H6,,2014,23,DET,AL,8,6,0,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,,/45H6,
2015,24,TOT,MLB,112,272,263,14,64,15,2,1,21,5,1,5,59,.243,.257,.327,.584,59,86,6,0,3,1,1,5H4/36D,,2015,24,DET,AL,22,34,-7,1,0,-1,0,-8,-0.9,1,-7,-0.7,.461,.495,-0.6,-0.1,-6,"$508,500",/5H436D,
2016,25,MIL,NL,123,430,404,50,110,18,3,13,56,34,7,18,94,.272,.302,.428,.730,91,173,6,1,3,4,0,59H4/8367,,2015,24,MIL,NL,90,238,-8,0,0,2,1,-4,-0.5,8,3,0.2,.495,.497,0.0,0.4,1,,5H4/36,
2017,26,MIL,NL,136,458,432,47,112,19,3,14,51,13,4,20,79,.259,.289,.414,.704,81,179,8,0,2,4,1,759H84/631,,2016,25,MIL,NL,123,430,-3,6,2,-2,0,2,0.1,14,16,1.5,.502,.501,1.7,-0.3,18,,59H4/8367,
2018,27,MIL,NL,132,334,316,36,80,11,2,9,29,11,3,17,71,.253,.290,.386,.676,80,122,6,0,0,1,1,4H9567/381D,,2017,26,MIL,NL,136,458,-13,1,2,7,-2,-6,-0.7,15,9,0.7,.495,.496,0.0,0.5,2,"$545,700",759H84/631,
2019,28,MIL,NL,91,246,232,29,53,11,0,8,18,5,1,11,66,.228,.262,.379,.642,64,88,9,0,2,1,0,4H65/9371,,2018,27,MIL,NL,132,334,-5,1,1,10,0,7,0.6,11,18,1.7,.506,.505,0.7,1.0,8,"$1,975,000",4H9567/381D,
2020,29,CHC,NL,3,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-9,1,0,0,0,0,0,/34D7H,,2019,28,MIL,NL,91,246,-11,-1,-1,0,2,-10,-1.2,8,-2,-0.4,.489,.494,-0.3,0.1,-2,"$2,500,000",4H65/9371,
2021,30,WSN,NL,10,21,19,1,1,0,0,0,0,0,0,2,10,.053,.143,.053,.195,-42,1,0,0,0,0,0,/4H3179,,2020,29,CHC,NL,3,6,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.459,.499,-0.1,0.0,-1,"$100,000",/34D7H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,30,WSN,NL,10,21,-4,0,0,0,0,-4,-0.4,1,-3,-0.4,.459,.497,-0.4,0.0,-3,"$100,000",/4H3179,
