Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2003,23,SDP,NL,12,24,23,1,5,0,0,0,2,0,0,1,6,.217,.250,.217,.467,29,5,0,0,0,0,1,2/H,,2003,23,SDP,NL,12,24,-3,0,0,0,0,-2,-0.2,1,-2,-0.2,.481,.499,-0.2,0.0,-1,,2/H,
2004,24,SDP,NL,23,78,72,7,18,3,0,2,10,0,2,5,16,.250,.295,.375,.670,80,27,5,0,0,1,0,2/H,,2004,24,SDP,NL,23,78,-1,-1,-1,1,1,0,-0.1,2,2,0.2,.499,.500,0.1,0.2,1,,2/H,
2005,25,HOU,NL,18,57,54,6,10,1,0,1,8,0,0,1,10,.185,.200,.259,.459,19,14,3,0,2,0,1,2/H3,,2005,25,HOU,NL,18,57,-7,0,0,0,1,-7,-0.7,2,-5,-0.5,.462,.496,-0.5,0.1,-5,,2/H3,
2006,26,HOU,NL,11,22,21,2,7,2,0,0,2,0,0,1,3,.333,.364,.429,.792,103,9,2,0,0,0,0,2/H,,2006,26,HOU,NL,11,22,0,0,0,2,0,2,0.2,1,3,0.3,.521,.501,0.1,0.2,1,,2/H,
2007,27,HOU,NL,29,57,53,2,12,2,0,0,1,0,0,2,13,.226,.281,.264,.545,43,14,2,2,0,0,1,2/H,,2007,27,HOU,NL,29,57,-5,0,0,2,1,-2,-0.2,2,0,0.0,.494,.499,-0.2,0.3,-2,"$385,000",2/H,
2008,28,HOU,NL,59,183,168,16,38,6,0,2,12,0,0,6,34,.226,.270,.298,.567,51,50,5,4,5,0,0,2/H,,2008,28,HOU,NL,59,183,-9,-1,0,3,3,-4,-0.5,6,2,0.1,.493,.497,-0.2,0.6,-1,"$405,000",2/H,
2009,29,HOU,NL,60,168,157,11,37,8,1,4,14,0,0,7,41,.236,.286,.376,.662,75,59,8,4,0,0,1,2/H,,2009,29,HOU,NL,60,168,-6,-1,-1,4,3,0,-0.1,5,5,0.5,.500,.500,0.0,0.7,1,"$610,000",2/H,
2010,30,HOU,NL,88,276,265,13,62,10,0,4,20,0,0,8,59,.234,.262,.317,.579,58,84,5,2,1,0,2,2/H,,2010,30,HOU,NL,88,276,-15,-1,0,7,5,-5,-0.6,9,4,0.3,.494,.497,-0.5,1.2,-3,"$750,000",2/H,
2011,31,HOU,NL,79,272,262,22,63,12,1,2,25,1,0,6,53,.240,.258,.317,.575,59,83,10,1,1,2,2,2/H,,2011,31,HOU,NL,79,272,-13,0,-1,6,5,-4,-0.4,8,5,0.4,.495,.498,-0.3,1.2,-1,"$1,000,000",2/H,
2012,32,KCR,AL,43,144,138,7,32,12,0,1,19,0,1,4,28,.232,.257,.341,.598,61,47,1,1,0,1,0,2/H,,2012,32,KCR,AL,43,144,-8,-1,1,4,3,-2,-0.2,5,4,0.3,.496,.499,-0.1,0.7,0,"$1,000,000",2/H,
2013,33,TOT,MLB,46,140,131,8,31,5,0,4,13,0,0,6,30,.237,.275,.366,.642,80,48,6,1,2,0,1,2/H,,2013,33,PHI,NL,24,68,-1,0,0,0,1,0,0.0,2,2,0.2,.499,.500,0.2,0.1,2,"$900,000",2/H,
2014,34,SEA,AL,3,2,2,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,,2013,33,SEA,AL,22,72,-3,0,0,2,1,0,0.1,3,3,0.3,.502,.500,0.1,0.4,1,,2/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,34,SEA,AL,3,2,0,0,0,0,0,0,-0.1,0,0,0.0,.484,.500,0.0,0.0,0,,/2,
