Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2017,25,ARI,NL,12,13,13,4,4,1,0,0,4,0,0,0,3,.308,.308,.385,.692,74,5,1,0,0,0,0,/H45,,2017,25,ARI,NL,12,13,-1,0,0,0,0,-1,-0.1,0,0,0.0,.496,.500,0.0,0.0,0,,/H45,
2018,26,ARI,NL,14,20,19,2,4,0,0,1,4,1,0,1,4,.211,.250,.368,.618,61,7,1,0,0,0,0,H/546,,2018,26,ARI,NL,14,20,0,0,0,0,0,0,0.0,1,1,0.1,.501,.500,0.1,0.0,1,,H/546,
2019,27,ARI,NL,92,211,201,25,54,9,1,6,24,1,0,9,24,.269,.299,.413,.712,82,83,6,0,0,1,0,4H5/679,,2019,27,ARI,NL,92,211,-5,0,1,2,2,0,-0.1,7,7,0.6,.500,.500,0.4,0.3,5,"$557,000",4H5/679,
2020,28,TOT,MLB,24,54,51,6,10,1,1,1,3,0,0,2,10,.196,.222,.314,.536,45,16,2,0,0,1,0,4/H35,,2020,28,ARI,NL,8,21,-3,0,0,-1,0,-4,-0.4,1,-4,-0.4,.447,.497,-0.3,-0.1,-2,,/34H5,
2021,29,TOT,NL,34,83,77,7,12,3,1,0,7,1,0,6,17,.156,.217,.221,.438,20,17,2,0,0,0,1,H5/467D,,2020,28,MIN,AL,10,24,-1,-1,0,-1,0,-3,-0.3,1,-2,-0.2,.471,.498,-0.1,-0.1,-1,,/4H5,
2022,30,TOT,NL,63,222,209,19,55,13,1,4,23,3,1,8,23,.263,.299,.392,.691,97,82,6,3,1,1,0,56/4H1,,2020,28,CHC,NL,6,9,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,/4H5,
2023,31,WSN,NL,86,286,262,32,66,13,2,4,31,1,1,19,20,.252,.304,.363,.666,84,95,10,1,3,1,0,54H67/19,,2021,29,CHC,NL,9,24,-2,0,0,2,0,0,0.0,1,1,0.1,.503,.500,-0.1,0.2,-1,,/4H6D,
2024,32,WSN,NL,40,132,116,13,32,10,0,0,9,5,3,13,13,.276,.349,.362,.711,109,42,3,0,3,0,0,45/76H,,2021,29,PIT,NL,7,13,-3,0,0,-1,0,-4,-0.4,0,-3,-0.4,.443,.498,-0.3,-0.1,-2,,/H57,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,29,ARI,NL,18,46,-2,0,0,-1,0,-2,-0.3,2,-1,-0.1,.486,.498,0.0,-0.1,0,,/54H6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,30,CHC,NL,10,26,-1,1,0,-2,0,-2,-0.2,1,-1,-0.1,.483,.499,0.1,-0.2,1,"$100,000",/64H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,30,WSN,NL,53,196,0,0,0,7,2,8,0.9,7,15,1.5,.516,.505,0.7,1.0,8,,5/641H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,31,WSN,NL,86,286,-5,0,0,2,2,-2,-0.2,10,8,0.7,.498,.499,0.6,0.4,6,"$975,000",54H67/19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,32,WSN,NL,40,132,2,-2,1,2,1,4,0.4,5,8,0.8,.509,.502,0.6,0.3,6,"$1,100,000",45/76H,
