Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2014,24,CLE,AL,19,38,33,2,4,0,0,0,3,0,0,4,13,.121,.211,.121,.332,-4,4,1,0,0,1,0,3/DH5,,2014,24,CLE,AL,19,38,-4,0,0,0,-1,-6,-0.6,1,-4,-0.5,.467,.496,-0.5,-0.1,-4,,3/DH5,
2015,25,CLE,AL,7,20,19,0,6,1,0,0,2,0,0,0,7,.316,.350,.368,.718,94,7,0,1,0,0,0,/3DH,,2015,25,CLE,AL,7,20,0,0,0,-2,-1,-3,-0.3,1,-2,-0.2,.458,.498,0.0,-0.3,0,,/3DH,
2016,26,CLE,AL,9,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/3HD,,2016,26,CLE,AL,9,6,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.475,.499,-0.2,0.0,-2,,/3HD,
2017,27,MIL,NL,133,311,279,40,74,15,2,16,52,0,0,25,94,.265,.331,.505,.837,114,141,8,4,0,3,1,3H/D5,,2017,27,MIL,NL,133,311,5,0,0,-1,-3,0,0.0,10,10,0.9,.500,.500,1.1,-0.5,11,"$536,000",3H/D5,
2018,28,MIL,NL,149,566,492,80,135,25,0,35,108,0,0,58,143,.274,.352,.539,.890,135,265,19,6,0,10,3,*3H/5D,"AS,MVP-16",2018,28,MIL,NL,149,566,20,-3,-2,8,-7,17,1.6,18,36,3.4,.512,.511,2.7,0.0,28,"$557,200",*3H/5D,"AS,MVP-16"
2019,29,TOT,MLB,131,369,314,39,74,12,0,12,50,0,0,43,81,.236,.325,.389,.714,87,122,12,2,0,7,0,3HD/5,,2019,29,MIL,NL,94,262,-7,-1,-2,0,-3,-13,-1.4,9,-4,-0.6,.486,.492,-0.5,-0.4,-4,"$637,500",3H/5,
2020,30,MIA,NL,51,216,188,31,52,10,0,8,34,0,1,23,40,.277,.352,.457,.809,117,86,5,1,0,4,0,3D/5H,,2019,29,TBR,AL,37,107,1,-1,0,0,-2,-2,-0.1,4,2,0.2,.496,.499,0.2,-0.2,2,,3D/H,
2021,31,MIA,NL,131,510,449,49,117,23,0,22,93,0,0,46,93,.261,.329,.459,.788,111,206,11,3,0,7,4,*3H/D5,,2020,30,MIA,NL,51,216,4,-2,-1,0,-3,-2,-0.1,7,6,0.6,.497,.499,0.6,-0.3,6,"$2,575,000",3D/5H,
2022,32,TOT,MLB,129,507,464,39,109,19,0,16,51,1,0,28,119,.235,.281,.379,.661,85,176,8,4,0,5,1,3DH/5,,2021,31,MIA,NL,131,510,4,-2,-1,3,-6,-2,-0.4,17,15,1.4,.498,.499,1.1,-0.4,12,"$4,300,000",*3H/D5,
2023,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,.221,.281,.385,.665,86,40,3,1,0,1,2,3/DH,,2022,32,MIA,NL,113,456,-7,-2,-2,-4,-7,-21,-2.2,16,-6,-0.7,.480,.486,-0.3,-1.2,-2,"$7,300,000",3D/H5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,32,BAL,AL,16,51,-3,0,0,0,-1,-4,-0.4,2,-2,-0.3,.473,.497,-0.3,-0.1,-2,,/D3H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,33,OAK,AL,36,115,-3,-1,-1,-3,-2,-9,-0.9,4,-5,-0.6,.474,.494,-0.3,-0.5,-2,"$3,000,000",3/DH,
