Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2009,21,COL,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,,2009,21,COL,NL,9,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$400,000",/1,
2010,22,COL,NL,26,45,40,0,3,0,0,0,1,0,0,1,9,.075,.098,.075,.173,-55,3,0,0,4,0,0,1,,2010,22,COL,NL,26,45,-10,0,0,0,6,-4,-0.4,0,-4,-0.4,.485,.498,-0.4,0.0,-4,,1,
2011,23,COL,NL,32,68,61,3,10,1,0,0,4,0,0,1,12,.164,.190,.180,.371,-4,11,0,1,5,0,0,1/H,,2011,23,COL,NL,32,68,-10,0,0,0,8,-1,-0.2,0,-1,-0.1,.496,.499,-0.1,0.0,-1,"$419,000",1/H,
2012,24,COL,NL,14,26,24,4,7,2,0,0,3,0,0,1,3,.292,.320,.375,.695,77,9,0,0,1,0,0,1,,2012,24,COL,NL,14,26,0,0,0,0,4,3,0.4,0,3,0.4,.526,.502,0.4,0.0,3,"$482,000",1,
2013,25,COL,NL,30,70,63,2,12,1,0,1,7,0,0,3,15,.190,.221,.254,.475,23,16,1,0,2,2,0,1/H,,2013,25,COL,NL,30,70,-7,0,0,0,9,2,0.2,0,2,0.2,.508,.501,0.2,0.0,2,"$1,650,000",1/H,
2014,26,COL,NL,10,17,15,2,5,1,0,0,0,0,0,1,4,.333,.375,.400,.775,105,6,0,0,1,0,0,1/H,,2014,26,COL,NL,10,17,0,0,0,0,2,3,0.3,0,3,0.3,.529,.502,0.3,0.0,3,"$4,850,000",1/H,
2015,27,ARI,NL,5,9,8,0,1,0,0,0,0,0,0,0,4,.125,.125,.125,.250,-32,1,0,0,1,0,0,/1,,2015,27,ARI,NL,5,9,-2,0,0,0,1,0,0.0,0,0,0.0,.492,.500,0.0,0.0,0,,/1,
2016,28,TOT,MLB,5,10,10,1,3,0,0,0,1,0,0,0,1,.300,.300,.300,.600,64,3,0,0,0,0,0,1,,2016,28,ATL,NL,4,8,-1,0,0,0,1,1,0.1,0,1,0.1,.512,.500,0.1,0.0,1,,/1,
2017,29,SDP,NL,33,61,54,0,12,2,0,0,4,1,0,0,11,.222,.222,.259,.481,29,14,2,0,7,0,0,1/H,,2016,28,LAA,AL,1,2,0,0,0,0,0,1,0.1,0,1,0.1,.549,.500,0.1,0.0,1,,1,
2018,30,MIL,NL,34,68,56,2,9,1,0,0,1,0,0,3,17,.161,.203,.179,.382,4,10,0,0,9,0,0,1/H,,2017,29,SDP,NL,33,61,-5,0,0,0,9,3,0.3,0,3,0.3,.509,.502,0.3,0.0,3,"$1,750,000",1/H,
2019,31,TOT,MLB,18,25,24,2,3,0,0,1,1,0,0,1,10,.125,.160,.250,.410,4,6,0,0,0,0,0,1,,2018,30,MIL,NL,34,68,-8,0,0,0,10,2,0.2,0,2,0.2,.507,.501,0.2,0.0,2,"$8,750,000",1/H,
2021,33,COL,NL,44,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,,2019,31,MIL,NL,18,25,-3,0,0,0,4,1,0.0,0,1,0.0,.503,.500,0.1,0.0,1,"$6,750,000",1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,33,COL,NL,44,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.499,-0.1,0.0,-1,"$800,000",1,
