Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2000,21,MIN,AL,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2000,21,MIN,AL,2,1,0,0,0,0,0,0,0.0,0,0,0.0,.492,.500,0.0,0.0,0,"$200,000",1,
2001,22,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2001,22,MIN,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$212,500",1,
2002,23,MIN,AL,2,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,34,1,0,0,0,0,0,1,,2002,23,MIN,AL,2,4,0,0,0,0,1,0,0.0,0,0,0.0,.507,.500,0.0,0.0,0,,1,
2003,24,MIN,AL,4,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,77,1,0,0,0,0,0,1,CYA-7,2003,24,MIN,AL,4,3,0,0,0,0,0,0,0.0,0,0,0.0,.506,.500,0.0,0.0,0,"$335,000",1,CYA-7
2004,25,MIN,AL,2,8,8,0,3,0,0,0,2,0,0,0,1,.375,.375,.375,.750,96,3,0,0,0,0,0,1,"CYA-1,MVP-6",2004,25,MIN,AL,2,8,0,0,0,0,1,1,0.1,0,1,0.1,.550,.501,0.1,0.0,1,"$1,600,000",1,"CYA-1,MVP-6"
2005,26,MIN,AL,2,6,6,1,1,0,0,0,0,0,0,0,0,.167,.167,.167,.333,-11,1,1,0,0,0,0,1,"AS,CYA-3",2005,26,MIN,AL,2,6,-1,0,0,0,1,0,0.0,0,0,0.0,.479,.500,0.0,0.0,0,"$4,750,000",1,"AS,CYA-3"
2006,27,MIN,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,"AS,CYA-1,MVP-7",2006,27,MIN,AL,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.471,.500,0.0,0.0,0,"$8,750,000",1,"AS,CYA-1,MVP-7"
2007,28,MIN,AL,2,8,7,2,2,1,1,0,1,0,0,1,0,.286,.375,.714,1.089,186,5,0,0,0,0,0,1,"AS,CYA-5,GG",2007,28,MIN,AL,2,8,2,-1,0,0,1,2,0.2,0,2,0.2,.600,.501,0.2,0.0,2,"$13,000,000",1,"AS,CYA-5,GG"
2008,29,NYM,NL,32,83,78,5,11,5,0,0,1,0,0,3,24,.141,.173,.205,.378,0,16,0,0,2,0,0,1,"CYA-3,MVP-14",2008,29,NYM,NL,32,83,-12,0,1,0,12,1,0.0,0,1,0.0,.502,.500,0.0,0.0,1,"$16,984,216",1,"CYA-3,MVP-14"
2009,30,NYM,NL,23,57,42,1,7,3,0,0,4,0,0,5,14,.167,.255,.238,.493,33,10,0,0,10,0,0,1,AS,2009,30,NYM,NL,23,57,-4,-1,0,0,8,4,0.4,0,4,0.4,.516,.502,0.4,0.0,4,"$18,876,139",1,AS
2010,31,NYM,NL,27,67,62,2,11,3,0,1,1,0,0,0,22,.177,.177,.274,.452,21,17,0,0,5,0,0,1,,2010,31,NYM,NL,27,67,-7,0,0,0,9,2,0.2,0,2,0.2,.509,.502,0.2,0.0,2,"$20,144,707",1,
2012,33,NYM,NL,19,40,35,0,3,0,0,0,0,0,0,0,14,.086,.086,.086,.171,-52,3,0,0,5,0,0,1,,2012,33,NYM,NL,19,40,-8,0,0,0,6,-2,-0.3,0,-2,-0.3,.486,.498,-0.3,0.0,-2,"$24,000,000",1,
