Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,22,SDP,NL,14,30,29,0,3,2,0,0,0,0,0,1,7,.103,.133,.172,.306,-18,5,0,0,0,0,0,/645H,,1997,22,SDP,NL,14,30,-5,0,0,-3,1,-7,-0.8,1,-7,-0.7,.446,.495,-0.4,-0.3,-3,,/645H,
1998,23,OAK,AL,8,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,34,1,0,0,0,0,0,/64H,,1998,23,OAK,AL,8,4,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,/64H,
1999,24,OAK,AL,63,51,48,4,9,1,0,0,2,2,0,2,13,.188,.235,.208,.444,18,10,0,1,0,0,0,4H/65D,,1999,24,OAK,AL,63,51,-6,1,0,2,1,-3,-0.2,2,-1,-0.1,.496,.499,-0.2,0.3,-2,"$201,000",4H/65D,
2000,25,TOT,MLB,33,34,31,2,3,1,0,0,2,0,0,2,8,.097,.176,.129,.306,-19,4,0,1,0,0,0,46/H5,,2000,25,OAK,AL,18,25,-4,0,0,-1,0,-4,-0.4,1,-3,-0.3,.478,.498,-0.2,-0.1,-2,"$219,500",4/H6,
2001,26,NYM,NL,9,11,9,1,0,0,0,0,0,0,0,2,1,.000,.182,.000,.182,-45,0,0,0,0,0,0,/65,,2000,25,NYM,NL,15,9,-1,0,0,-1,0,-1,-0.1,0,-1,-0.1,.494,.499,0.0,-0.1,0,,/465H,
2003,28,NYM,NL,23,72,58,6,11,3,1,0,8,0,0,10,15,.190,.304,.276,.580,55,16,1,0,3,1,1,6/H,,2001,26,NYM,NL,9,11,-2,0,0,0,0,-1,-0.1,0,-1,-0.1,.487,.499,-0.1,0.1,-1,,/65,
2007,32,TBD,AL,14,60,50,7,16,4,0,2,11,0,0,8,17,.320,.424,.520,.944,150,26,0,1,1,0,0,4/6,,2003,28,NYM,NL,23,72,-5,1,0,2,1,-1,-0.1,2,2,0.2,.498,.500,0.0,0.3,0,,6/H,
2008,33,TOT,AL,10,16,15,1,3,1,0,0,0,0,0,1,4,.200,.250,.267,.517,39,4,0,0,0,0,0,/H64D,,2007,32,TBD,AL,14,60,4,0,0,3,1,8,0.8,2,10,1.0,.554,.505,0.7,0.4,7,,4/6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,33,TOR,AL,3,7,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.435,.499,-0.2,0.0,-2,,/64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,33,CLE,AL,7,9,1,-1,0,1,0,2,0.2,0,2,0.2,.524,.501,0.1,0.1,1,,/HD64,
