Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2009,24,SDP,NL,7,17,17,0,3,0,0,0,0,0,0,0,5,.176,.176,.176,.353,-2,3,1,0,0,0,0,/24,,2009,24,SDP,NL,7,17,-2,0,0,0,0,-2,-0.2,1,-2,-0.2,.466,.499,-0.2,0.0,-2,,/24,
2011,26,TBR,AL,15,39,34,2,4,1,0,0,0,0,0,4,8,.118,.231,.147,.378,11,5,2,1,0,0,0,2/H,,2011,26,TBR,AL,15,39,-4,0,0,1,1,-3,-0.3,1,-1,-0.1,.482,.498,-0.2,0.2,-2,,2/H,
2012,27,TBR,AL,69,197,167,16,37,10,0,2,20,0,1,24,46,.222,.323,.317,.640,82,53,6,2,2,2,1,2/HD,,2012,27,TBR,AL,69,197,-5,-3,-1,-3,3,-8,-0.9,7,-1,-0.1,.488,.495,0.2,0.0,2,"$481,500",2/HD,
2013,28,TBR,AL,100,311,277,38,69,15,2,7,32,0,1,30,65,.249,.320,.394,.714,99,109,5,0,2,2,0,2H/D,,2013,28,TBR,AL,100,311,2,-1,0,-3,5,3,0.4,11,14,1.5,.503,.502,1.7,0.4,17,"$496,500",2H/D,
2014,29,WSN,NL,66,230,214,18,50,9,0,2,12,0,0,15,61,.234,.287,.304,.591,64,65,5,1,0,0,1,2/H,,2014,29,WSN,NL,66,230,-9,-1,0,6,4,1,0.0,7,8,0.7,.501,.500,0.1,1.1,2,"$900,000",2/H,
2015,30,WSN,NL,44,155,136,11,27,4,0,3,20,0,0,15,40,.199,.279,.294,.573,57,40,5,1,1,2,1,2/H,,2015,30,WSN,NL,44,155,-7,-1,-1,-4,3,-10,-1.1,5,-5,-0.6,.476,.493,-0.2,-0.2,-1,"$1,200,000",2/H,
2016,31,WSN,NL,39,114,99,10,23,3,1,3,8,0,0,12,18,.232,.319,.374,.692,82,37,4,1,1,1,1,2/H,,2016,31,WSN,NL,39,114,-2,-1,-1,1,2,-1,-0.1,4,3,0.3,.498,.500,0.2,0.3,2,"$1,387,500",2/H,
2017,32,WSN,NL,51,158,141,11,24,3,0,4,11,0,0,14,35,.170,.248,.277,.525,35,39,5,1,1,1,1,2/H,,2017,32,WSN,NL,51,158,-13,0,0,-3,3,-14,-1.4,5,-9,-0.9,.473,.491,-0.6,0.0,-5,"$1,575,000",2/H,
2018,33,NYM,NL,22,57,49,3,7,2,1,0,4,0,0,7,15,.143,.246,.224,.470,34,11,2,0,0,1,0,2/H,,2018,33,NYM,NL,22,57,-4,0,0,-3,1,-6,-0.7,2,-5,-0.5,.469,.496,-0.2,-0.2,-2,,2/H,
2021,36,CHC,NL,6,13,11,1,0,0,0,0,0,0,0,2,5,.000,.154,.000,.154,-53,0,0,0,0,0,0,/2H,,2021,36,CHC,NL,6,13,-2,0,0,-1,0,-3,-0.3,0,-3,-0.3,.448,.498,-0.2,-0.1,-2,"$570,500",/2H,
