Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,20,SEA,AL,57,218,207,28,48,13,0,5,22,0,1,8,31,.232,.263,.367,.630,64,76,1,1,1,1,0,6/5H,,2004,20,SEA,AL,57,218,-6,0,1,-3,3,-5,-0.4,8,3,0.3,.492,.497,0.6,0.1,6,,6/5H,
2005,21,SEA,AL,54,203,190,18,47,19,0,2,25,4,2,6,25,.247,.282,.379,.661,78,72,5,4,1,2,0,4/H5,,2005,21,SEA,AL,54,203,-5,-1,0,-1,1,-6,-0.6,8,2,0.2,.489,.496,0.3,0.1,3,,4/H5,
2006,22,SEA,AL,151,655,603,78,170,28,8,10,79,5,2,26,80,.282,.319,.405,.723,89,244,17,9,12,5,1,*4/H,AS,2006,22,SEA,AL,151,655,-9,-1,1,9,4,4,0.5,24,28,2.8,.503,.503,1.9,1.4,19,"$335,000",*4/H,AS
2007,23,SEA,AL,149,561,524,58,132,17,2,11,62,2,3,20,64,.252,.284,.355,.639,71,186,16,5,9,3,0,*4/H5,,2007,23,SEA,AL,149,561,-21,-3,-1,4,4,-17,-1.6,21,4,0.4,.489,.490,0.0,0.8,0,"$420,000",*4/H5,
2008,24,SEA,AL,159,687,644,80,191,41,1,17,89,6,3,27,67,.297,.322,.443,.764,104,285,14,1,6,9,5,*43/DH,,2008,24,SEA,AL,159,687,4,-1,1,4,2,11,1.3,25,36,3.7,.507,.507,3.2,0.8,32,"$1,750,000",*43/DH,
2009,25,SEA,AL,153,653,613,69,167,42,0,25,96,3,3,24,69,.272,.303,.463,.766,103,284,25,6,3,7,5,*43/H,,2009,25,SEA,AL,153,653,1,-1,-3,-3,3,-3,-0.2,24,22,2.1,.498,.498,2.5,0.1,25,"$2,250,000",*43/H,
2010,26,SEA,AL,150,622,593,49,142,29,0,10,58,3,2,23,66,.239,.270,.339,.609,71,201,20,3,0,3,1,*5/DH,,2010,26,SEA,AL,150,622,-22,-3,-2,10,2,-15,-1.5,23,8,0.8,.489,.490,-0.3,1.4,-2,"$3,000,000",*5/DH,
2011,27,TOT,NL,82,242,231,23,50,12,0,8,21,2,0,7,28,.216,.245,.372,.617,60,86,6,2,1,1,1,5H4/3D,,2011,27,COL,NL,38,129,-9,0,0,1,1,-7,-0.8,4,-3,-0.4,.479,.495,-0.6,0.2,-4,"$3,600,000",54/H,
2012,28,TOT,AL,81,248,236,18,58,14,0,4,28,0,1,9,41,.246,.270,.356,.626,74,84,9,0,0,3,0,53DH/49,,2011,27,FLA,NL,44,113,0,1,0,-3,0,-3,-0.3,4,1,0.0,.492,.498,0.3,-0.4,3,,H5/43D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,28,CLE,AL,66,224,-3,-1,-1,-1,-1,-7,-0.7,8,2,0.1,.489,.496,0.3,-0.2,3,"$800,000",5D3/H49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,28,CHW,AL,15,24,-2,0,0,2,0,0,0.0,1,1,0.1,.500,.500,-0.1,0.2,-1,,5/H3D,
