Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,22,NYY,AL,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/98,,2001,22,NYY,AL,3,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.459,.499,-0.1,0.0,-1,,/98,
2002,23,NYY,AL,28,91,83,9,22,5,0,1,6,1,1,6,10,.265,.311,.361,.673,79,30,4,0,1,1,0,79/H,,2002,23,NYY,AL,28,91,-2,-1,0,0,-1,-4,-0.3,3,0,0.0,.488,.498,-0.1,-0.1,0,,79/H,
2003,24,NYY,AL,57,185,173,22,46,14,0,7,26,0,0,10,27,.266,.304,.468,.773,102,81,8,0,1,1,1,79/H,,2003,24,NYY,AL,57,185,0,0,-1,4,-2,1,0.1,7,8,0.7,.501,.500,0.4,0.2,4,,79/H,
2004,25,MON,NL,134,426,391,48,120,24,1,12,49,6,2,34,45,.307,.364,.465,.829,110,182,11,1,0,0,7,*9H87/D,,2004,25,MON,NL,134,426,4,-2,-1,10,-4,8,0.7,13,21,2.0,.506,.505,1.0,0.5,11,"$312,000",*9H87/D,
2005,26,LAA,AL,106,376,350,46,95,17,1,15,59,1,9,23,44,.271,.316,.454,.770,104,159,15,0,2,1,0,97DH/8,,2005,26,LAA,AL,106,376,3,-4,-1,7,-5,-1,-0.1,14,13,1.2,.499,.499,0.5,0.2,6,"$390,000",97DH/8,
2006,27,LAA,AL,124,494,448,65,139,27,0,23,85,0,4,33,59,.310,.362,.525,.887,126,235,14,7,0,6,0,798D/H,,2006,27,LAA,AL,124,494,19,-3,-2,6,-5,16,1.6,19,35,3.4,.513,.510,2.8,0.2,29,"$1,250,000",798D/H,
2007,28,LAA,AL,14,44,43,3,12,1,0,2,8,0,0,1,4,.279,.295,.442,.737,91,19,5,0,0,0,0,/9D7H,,2007,28,LAA,AL,14,44,0,0,-1,-1,-1,-3,-0.3,2,-1,-0.1,.480,.498,0.0,-0.2,0,"$2,025,000",/9D7H,
2008,29,LAA,AL,89,280,256,31,63,13,0,12,45,1,1,16,33,.246,.282,.438,.720,86,112,10,0,0,8,0,79DH/348,,2008,29,LAA,AL,89,280,-7,-1,-1,-6,-4,-19,-1.8,11,-9,-0.8,.478,.488,-0.3,-0.9,-3,"$2,025,000",79DH/348,
2009,30,LAA,AL,138,572,529,72,152,24,1,25,88,0,1,36,57,.287,.332,.478,.810,111,253,19,2,0,5,1,*7D/9,,2009,30,LAA,AL,138,572,11,-2,-2,16,-6,17,1.8,21,38,3.8,.512,.510,2.2,1.1,22,"$3,250,000",*7D/9,
2010,31,LAA,AL,124,455,416,53,105,20,0,15,52,2,2,33,58,.252,.312,.409,.721,99,170,10,4,0,2,4,793H/D8,,2010,31,LAA,AL,124,455,0,-2,0,-12,-5,-19,-1.9,17,-2,-0.2,.484,.488,1.0,-1.7,10,"$4,250,000",793H/D8,
2011,32,TOT,MLB,132,521,466,46,120,23,1,11,74,5,3,43,76,.258,.319,.382,.701,92,178,16,3,0,9,1,73D9H,,2011,32,TOR,AL,70,275,-7,0,-2,2,-4,-12,-1.2,10,-1,-0.2,.482,.492,-0.4,-0.2,-3,"$5,250,000",73D/H9,
2012,33,LAD,NL,109,339,312,30,76,14,0,9,47,1,3,18,35,.244,.286,.375,.661,81,117,15,3,0,6,1,37H9/D,,2011,32,LAD,NL,62,246,3,0,0,-1,-3,-1,-0.1,8,7,0.7,.498,.499,0.7,-0.4,8,,739/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,33,LAD,NL,109,339,-8,-2,-2,-3,-5,-19,-2.1,11,-9,-1.0,.481,.487,-0.8,-0.9,-6,"$4,000,000",37H9/D,
