Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,21,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,1997,21,TOR,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$150,000",1,
1999,23,TOR,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,1999,23,TOR,AL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.484,.500,0.0,0.0,0,"$350,000",1,
2000,24,TOR,AL,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2000,24,TOR,AL,2,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.443,.499,-0.1,0.0,-1,"$500,000",1,
2001,25,TOR,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2001,25,TOR,AL,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$1,500,000",1,
2002,26,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2002,26,TOR,AL,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,300,000",1,
2003,27,TOR,AL,2,6,6,1,1,0,0,0,1,0,0,0,3,.167,.167,.167,.333,-13,1,0,0,0,0,0,1,,2003,27,TOR,AL,2,6,-1,0,0,0,1,0,0.0,0,0,0.0,.492,.500,0.0,0.0,0,"$3,900,000",1,
2004,28,ANA,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2004,28,ANA,AL,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.471,.500,0.0,0.0,0,"$5,750,000",1,
2005,29,LAA,AL,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,,2005,29,LAA,AL,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.470,.500,0.0,0.0,0,"$6,250,000",1,
2006,30,LAA,AL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2006,30,LAA,AL,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.472,.500,-0.1,0.0,-1,"$6,750,000",1,
2007,31,LAA,AL,2,7,6,0,2,0,0,0,0,0,0,0,2,.333,.333,.333,.667,76,2,0,0,1,0,0,1,,2007,31,LAA,AL,2,7,0,0,0,0,1,1,0.1,0,1,0.1,.531,.500,0.1,0.0,1,"$9,000,000",1,
