Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1980,24,SDP,NL,44,183,169,28,57,4,7,1,25,11,2,9,25,.337,.372,.462,.834,138,78,4,1,3,1,1,5/8H9,,1980,24,SDP,NL,44,183,9,2,0,-1,1,12,1.2,6,18,1.9,.529,.508,2.0,0.0,19,,5/8H9,
1981,25,SDP,NL,109,424,400,37,121,19,6,3,38,11,8,16,72,.303,.329,.403,.732,113,161,7,1,5,2,2,*598/H7,,1981,25,SDP,NL,109,424,9,-2,0,-9,1,1,0.1,14,15,1.6,.501,.500,2.4,-0.8,24,,*598/H7,
1982,26,SDP,NL,145,559,524,55,127,15,5,8,62,32,9,23,80,.242,.274,.336,.610,73,176,10,2,5,5,10,*56/H8,,1982,26,SDP,NL,145,559,-15,3,1,2,4,-6,-0.7,19,13,1.2,.495,.496,0.9,0.6,11,,*56/H8,
1983,27,SDP,NL,134,510,481,52,124,16,2,14,45,24,9,17,80,.258,.285,.387,.672,87,186,4,2,8,2,8,*56H,,1983,27,SDP,NL,134,510,-8,1,2,2,3,0,-0.1,17,17,1.6,.500,.500,1.4,0.5,15,,*56H,
1984,28,SDP,NL,93,236,228,20,55,7,2,3,17,11,7,6,38,.241,.261,.329,.590,65,75,5,0,2,0,1,5H8/769,,1984,28,SDP,NL,93,236,-11,-2,0,5,1,-7,-0.8,8,1,0.0,.491,.495,-0.6,0.7,-4,,5H8/769,
1985,29,CHW,AL,122,353,327,39,80,18,2,10,45,14,4,12,60,.245,.267,.404,.671,78,132,5,0,9,5,2,857H/D39,,1985,29,CHW,AL,122,353,-10,0,1,-9,-1,-20,-2.0,12,-8,-0.9,.483,.487,0.1,-1.1,1,"$325,000",857H/D39,
1986,30,CHW,AL,4,8,7,1,1,0,0,0,0,0,0,1,3,.143,.250,.143,.393,9,1,0,0,0,0,0,/DH,,1986,30,CHW,AL,4,8,0,0,0,0,0,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,,/DH,
1987,31,SDP,NL,84,206,189,13,48,5,0,3,17,3,3,14,30,.254,.302,.328,.630,70,62,2,0,1,2,2,5H6/87193,,1987,31,SDP,NL,84,206,-8,-1,1,-7,2,-13,-1.4,7,-6,-0.7,.484,.492,0.0,-0.5,1,"$75,000",5H6/87193,
1988,32,DET,AL,130,489,452,61,122,14,1,12,62,6,0,21,70,.270,.305,.385,.690,96,174,13,3,10,3,2,765H/4893,,1988,32,DET,AL,130,489,-2,2,-1,6,0,6,0.7,17,22,2.2,.505,.504,1.6,0.7,17,"$150,000",765H/4893,
1989,33,TOT,NL,121,349,326,34,92,12,2,9,34,1,4,15,57,.282,.316,.414,.730,105,135,6,1,7,0,3,5H9/6738,,1989,33,SDP,NL,95,265,3,-2,0,1,1,3,0.3,9,12,1.2,.504,.502,1.1,0.1,11,"$400,000",5H9/6387,
1990,34,CHC,NL,115,434,410,44,104,13,3,12,47,3,1,19,59,.254,.293,.388,.680,80,159,4,4,0,1,3,57/H,,1989,33,CHC,NL,26,84,2,-1,0,-4,0,-3,-0.3,3,0,0.0,.489,.498,0.4,-0.4,4,,5/7H,
1991,35,CHC,NL,103,351,333,34,86,14,1,14,38,0,3,15,45,.258,.292,.432,.725,99,144,8,1,2,0,1,5H/37,,1990,34,CHC,NL,115,434,-8,-1,1,-2,0,-10,-1.0,14,4,0.4,.491,.494,0.5,-0.2,7,"$550,000",57/H,
1992,36,CHC,NL,98,273,255,20,53,7,2,5,25,1,1,11,34,.208,.237,.310,.547,52,79,10,0,3,4,2,57H6/39,,1991,35,CHC,NL,103,351,-2,-1,0,2,1,0,0.0,11,12,1.1,.500,.500,0.8,0.4,9,"$575,000",5H/37,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,36,CHC,NL,98,273,-14,-1,-1,5,0,-11,-1.3,8,-3,-0.5,.487,.492,-1.1,0.5,-8,"$600,000",57H6/39,
