Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1990,25,TOR,AL,33,85,80,14,18,3,0,1,9,1,1,5,5,.225,.271,.300,.571,56,24,1,0,0,0,0,4/H765D,,1990,25,TOR,AL,33,85,-3,0,1,0,0,-2,-0.2,3,1,0.1,.495,.499,0.1,0.0,1,"$100,000",4/H765D,
1991,26,CAL,AL,113,402,364,38,94,14,1,3,20,4,2,14,26,.258,.295,.327,.622,73,119,12,5,19,0,0,4/H65D7,,1991,26,CAL,AL,113,402,-10,-1,-1,2,3,-7,-0.7,14,7,0.7,.493,.495,0.5,0.6,5,"$110,000",4/H65D7,
1992,27,CAL,AL,106,391,368,37,100,12,3,7,43,7,11,14,24,.272,.299,.378,.677,89,139,14,1,7,1,0,4/56H,,1992,27,CAL,AL,106,391,-2,-2,-1,5,3,3,0.4,15,18,1.8,.503,.502,1.2,0.9,12,"$190,000",4/56H,
1993,28,TOR,AL,19,54,47,5,8,2,0,0,6,0,0,4,2,.170,.231,.213,.444,20,10,3,0,2,1,0,/465H,,1993,28,TOR,AL,19,54,-5,0,0,-2,1,-6,-0.7,2,-4,-0.5,.466,.496,-0.3,-0.1,-3,"$290,000",/465H,
1994,29,SEA,AL,63,227,213,32,59,9,2,6,22,2,1,8,25,.277,.308,.423,.731,86,90,2,2,3,1,0,46/HD5,,1994,29,SEA,AL,63,227,-5,0,1,5,2,3,0.3,9,12,1.1,.505,.502,0.7,0.7,7,"$250,000",46/HD5,
1995,30,SEA,AL,102,370,339,50,98,18,2,7,39,4,2,23,19,.289,.335,.416,.751,94,141,9,1,6,1,0,64/7H,,1995,30,SEA,AL,102,370,-3,-2,0,2,5,2,0.3,14,16,1.5,.502,.501,1.4,0.7,15,"$400,000",64/7H,
1996,31,TOT,AL,95,308,287,23,63,10,1,1,21,2,2,11,17,.220,.250,.272,.522,33,78,10,1,8,1,0,456H,,1996,31,SEA,AL,77,264,-29,-1,1,3,2,-23,-2.0,10,-13,-1.1,.472,.487,-1.5,0.6,-16,"$625,000",546H,
1997,32,NYY,AL,77,239,215,27,66,6,1,2,25,3,1,16,14,.307,.355,.372,.727,91,80,5,1,5,2,0,4/H653,,1996,31,NYY,AL,18,44,-2,0,0,3,1,2,0.3,2,4,0.4,.513,.501,0.1,0.4,1,,4/65H,
1998,33,NYY,AL,54,153,147,16,34,3,1,0,14,1,0,4,15,.231,.250,.265,.515,37,39,5,0,1,1,0,63/4H5D,,1997,32,NYY,AL,77,239,-4,1,1,-6,2,-5,-0.5,9,4,0.4,.493,.497,0.9,-0.4,9,"$425,000",4/H653,
1999,34,NYY,AL,49,133,127,20,32,6,0,2,16,1,0,4,17,.252,.275,.346,.621,59,44,4,0,2,0,0,54/H63D,,1998,33,NYY,AL,54,153,-13,0,-1,6,0,-8,-0.7,6,-2,-0.2,.486,.495,-0.7,0.6,-8,"$800,000",63/4H5D,
2000,35,TOT,MLB,95,323,301,33,86,18,1,7,37,2,0,17,22,.286,.325,.422,.747,88,127,11,1,3,1,3,54H/36,,1999,34,NYY,AL,49,133,-6,0,-1,1,1,-5,-0.5,5,0,0.0,.490,.497,-0.1,0.1,-1,"$800,000",54/H63D,
2001,36,NYY,AL,39,84,79,5,13,2,0,0,9,1,0,4,12,.165,.214,.190,.404,8,15,0,1,0,0,0,5/34H6D,,2000,35,PIT,NL,61,189,-3,-1,0,0,1,-3,-0.3,6,3,0.3,.496,.498,0.3,0.1,3,"$450,000",5H/4,
2003,38,NYY,AL,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/34DH,,2000,35,NYY,AL,34,134,-2,0,-1,2,1,-1,0.0,5,5,0.4,.498,.500,0.3,0.2,3,,45/36H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,36,NYY,AL,39,84,-11,0,0,1,0,-10,-1.0,3,-7,-0.7,.475,.494,-0.8,0.1,-8,"$500,000",5/34H6D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,38,NYY,AL,3,4,-1,0,0,1,0,0,0.0,0,0,0.0,.490,.500,-0.1,0.1,-1,,/34DH,
