Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2008,22,SEA,AL,18,54,49,6,12,5,0,0,1,0,0,4,11,.245,.315,.347,.662,79,17,0,1,0,0,0,4/HD6,,2008,22,SEA,AL,18,54,-1,0,0,-4,0,-5,-0.4,2,-3,-0.2,.475,.497,0.2,-0.3,1,,4/HD6,
2009,23,CLE,AL,103,398,368,52,92,25,3,10,31,2,3,26,83,.250,.298,.416,.714,90,153,8,0,2,2,0,46/H5,,2009,23,CLE,AL,103,398,-5,0,0,-3,4,-5,-0.4,15,10,1.0,.496,.497,1.3,0.1,13,"$400,300",46/H5,
2010,24,CLE,AL,91,310,275,22,53,12,0,2,24,1,2,28,61,.193,.273,.258,.531,50,71,5,3,2,2,1,4H/56D7,,2010,24,CLE,AL,91,310,-18,-1,1,5,2,-11,-1.2,12,0,0.0,.487,.492,-0.6,0.8,-5,"$414,700",4H/56D7,
2011,25,CLE,AL,17,44,43,4,9,0,0,1,1,1,0,1,9,.209,.227,.279,.506,42,12,0,0,0,0,0,4/HD76,,2011,25,CLE,AL,17,44,-4,0,0,-1,0,-4,-0.4,2,-2,-0.3,.475,.497,-0.2,-0.1,-1,,4/HD76,
2012,26,CHC,NL,90,303,265,26,58,20,0,4,28,0,2,36,55,.219,.310,.340,.650,76,90,6,0,0,2,1,5H/4,,2012,26,CHC,NL,90,303,-9,-2,0,4,2,-5,-0.5,9,4,0.4,.494,.497,-0.1,0.6,0,"$495,200",5H/4,
2013,27,CHC,NL,108,391,331,34,72,15,1,12,37,1,4,53,63,.218,.331,.378,.708,95,125,4,4,1,2,4,5H/4D7,,2013,27,CHC,NL,108,391,-1,-2,0,1,2,0,-0.1,13,13,1.2,.500,.500,1.1,0.3,12,"$930,000",5H/4D7,
2014,28,CHC,NL,149,547,478,68,119,33,4,16,51,1,2,65,113,.249,.341,.435,.776,115,208,8,2,1,1,4,*54H/D,,2014,28,CHC,NL,149,547,10,0,0,-4,3,8,0.8,18,26,2.5,.506,.506,3.1,-0.2,30,"$1,710,000",*54H/D,
2015,29,HOU,AL,132,493,434,62,97,18,0,25,56,1,0,50,106,.224,.310,.438,.748,106,190,13,6,0,3,1,53/HD4,,2015,29,HOU,AL,132,493,5,0,-1,3,0,7,0.9,18,24,2.6,.506,.504,2.2,0.5,21,"$4,200,000",53/HD4,
2016,30,HOU,AL,90,342,292,38,76,17,1,13,40,1,1,44,81,.260,.357,.459,.816,125,134,5,1,3,2,2,5/3H4,,2016,30,HOU,AL,90,342,11,0,0,-2,1,10,1.1,12,23,2.3,.512,.507,2.5,0.0,25,"$6,125,000",5/3H4,
2017,31,LAA,AL,117,401,347,42,69,15,0,22,65,0,2,48,106,.199,.294,.432,.727,94,150,6,1,0,5,1,53H/D,,2017,31,LAA,AL,117,401,-6,-3,-1,-1,-2,-12,-1.2,14,2,0.2,.490,.492,0.3,-0.2,3,"$6,500,000",53H/D,
2018,32,LAA,AL,96,288,266,23,53,9,0,9,33,3,0,19,100,.199,.253,.335,.588,61,89,2,1,0,2,3,53H/4D,,2018,32,LAA,AL,96,288,-16,-1,0,-5,-1,-22,-2.2,10,-12,-1.2,.476,.486,-0.8,-0.5,-7,"$8,000,000",53H/4D,
