Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,23,MON,NL,32,121,107,10,22,5,2,1,4,4,0,10,20,.206,.286,.318,.603,54,34,1,2,2,0,1,64/H,,2004,23,MON,NL,32,121,-8,1,1,-3,1,-8,-0.8,4,-4,-0.5,.475,.495,-0.2,-0.2,-1,,64/H,
2005,24,LAA,AL,77,210,191,18,47,8,4,1,15,9,3,17,21,.246,.306,.346,.652,75,66,5,0,1,1,2,56/H48,,2005,24,LAA,AL,77,210,-8,1,0,-1,2,-5,-0.5,8,3,0.3,.494,.497,0.4,0.2,4,"$317,000",56/H48,
2006,25,LAA,AL,104,399,352,64,103,21,3,5,44,14,6,38,35,.293,.365,.412,.777,102,145,7,3,5,1,1,5H6/4D,,2006,25,LAA,AL,104,399,3,3,-1,-4,2,3,0.4,15,18,1.8,.503,.502,2.2,-0.1,22,"$350,000",5H6/4D,
2007,26,LAA,AL,102,374,336,47,97,17,2,6,51,7,1,33,39,.289,.349,.405,.753,98,136,4,0,1,4,2,54/HD6,,2007,26,LAA,AL,102,374,-3,1,1,1,2,2,0.3,14,16,1.6,.502,.501,1.5,0.4,15,"$440,000",54/HD6,
2008,27,LAA,AL,79,321,290,44,78,14,2,3,37,11,2,26,27,.269,.329,.362,.691,82,105,9,1,2,2,0,64/5H,,2008,27,LAA,AL,79,321,-6,1,0,5,4,5,0.6,12,17,1.7,.506,.503,1.2,0.9,12,"$1,200,000",64/5H,
2009,28,LAA,AL,114,437,387,74,116,22,3,8,65,13,5,35,41,.300,.359,.434,.794,109,168,7,5,3,7,2,46H/D57,,2009,28,LAA,AL,114,437,7,3,2,6,3,21,2.1,16,38,3.7,.518,.513,3.1,0.9,31,"$1,600,000",46H/D57,
2010,29,LAA,AL,61,238,212,27,53,13,1,3,27,7,3,21,27,.250,.321,.363,.684,90,77,1,2,1,2,0,54/6HD,,2010,29,LAA,AL,61,238,-3,0,1,5,1,4,0.5,9,13,1.4,.507,.503,0.8,0.7,8,"$2,766,666",54/6HD,
2011,30,LAA,AL,122,494,449,51,124,35,0,5,38,9,6,33,65,.276,.334,.388,.722,105,174,6,8,0,4,3,45H6D,,2011,30,LAA,AL,122,494,3,-2,-1,-1,2,1,0.1,19,19,1.9,.501,.501,2.1,0.1,20,"$3,266,666",45H6D,
2012,31,LAA,AL,100,319,289,35,74,11,0,2,20,17,2,25,38,.256,.320,.315,.634,81,91,10,2,3,0,0,54H6,,2012,31,LAA,AL,100,319,-5,3,-2,-8,3,-9,-1.0,12,3,0.2,.491,.494,1.1,-0.6,11,"$3,800,000",54H6,
2013,32,TOR,AL,107,399,365,33,86,12,0,5,32,1,5,27,38,.236,.288,.310,.597,65,113,11,1,3,3,0,456/H,,2013,32,TOR,AL,107,399,-15,-3,0,-8,4,-22,-2.2,14,-8,-0.8,.478,.485,-0.1,-0.3,1,"$3,000,000",456/H,
2014,33,TOR,AL,11,38,35,3,10,1,0,0,1,1,0,2,4,.286,.324,.314,.639,83,11,0,0,1,0,0,4/H,,2014,33,TOR,AL,11,38,-1,0,0,0,0,0,0.0,1,1,0.1,.498,.500,0.1,0.0,1,"$3,000,000",4/H,
