Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2011,24,KCR,AL,4,15,14,2,3,2,0,0,0,0,0,1,2,.214,.267,.357,.624,71,5,1,0,0,0,0,/2,,2011,24,KCR,AL,4,15,-1,0,0,0,0,-1,-0.1,1,-1,-0.1,.473,.499,-0.1,0.0,0,,/2,
2012,25,KCR,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,,2012,25,KCR,AL,1,2,-1,0,0,0,0,-1,-0.1,0,0,-0.1,.443,.500,-0.1,0.0,0,"$480,425",/2H,
2016,29,MIL,NL,33,81,71,4,18,4,0,2,12,0,1,10,15,.254,.346,.394,.740,96,28,2,0,0,0,0,2H/D,,2016,29,MIL,NL,33,81,0,-1,0,0,1,-1,-0.1,3,2,0.2,.499,.500,0.2,0.1,2,,2H/D,
2017,30,MIL,NL,107,359,330,45,92,21,0,9,43,2,0,20,79,.279,.327,.424,.751,94,140,8,5,1,3,0,2H,,2017,30,MIL,NL,107,359,-3,1,-1,13,6,15,1.5,12,27,2.6,.514,.510,1.3,1.9,14,"$538,200",2H,
2018,31,MIL,NL,98,337,306,39,77,13,2,9,28,2,0,21,62,.252,.307,.395,.702,87,121,13,5,1,4,3,2/H3,,2018,31,MIL,NL,98,337,-5,-1,-2,4,6,1,0.0,11,12,1.1,.501,.501,0.7,0.9,8,"$560,100",2/H3,
2019,32,MIL,NL,76,179,158,10,36,8,0,7,25,0,0,16,50,.228,.313,.411,.724,86,65,1,4,0,1,1,2H/5,,2019,32,MIL,NL,76,179,-4,0,1,4,3,3,0.2,6,9,0.8,.504,.502,0.4,0.6,5,"$1,600,000",2H/5,
2020,33,MIL,NL,15,45,39,4,9,1,0,2,5,0,0,3,11,.231,.333,.410,.744,98,16,0,3,0,0,0,2/H,,2020,33,MIL,NL,15,45,0,0,0,4,1,5,0.5,2,6,0.6,.531,.503,0.2,0.5,2,"$1,850,000",2/H,
2021,34,MIL,NL,75,208,180,27,34,6,0,13,33,0,0,22,38,.189,.293,.439,.732,95,79,4,5,0,1,0,2H,,2021,34,MIL,NL,75,208,-2,0,0,6,3,7,0.7,7,14,1.4,.509,.504,0.8,0.9,8,"$1,650,000",2H,
2022,35,ATL,NL,5,17,14,1,2,0,0,0,2,0,0,1,1,.143,.235,.143,.378,9,2,0,1,0,1,0,/2,,2022,35,ATL,NL,5,17,-2,0,0,0,0,-1,-0.2,1,-1,-0.1,.470,.499,-0.1,0.0,-1,"$3,500,000",/2,
2023,36,OAK,AL,4,12,12,1,3,0,0,1,1,0,0,0,3,.250,.250,.500,.750,104,6,1,0,0,0,0,/2D,,2023,36,OAK,AL,4,12,0,0,0,0,0,0,0.0,0,0,0.0,.490,.500,0.0,0.0,0,"$4,500,000",/2D,
