Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1973,22,OAK,AL,17,12,12,0,3,2,0,0,3,0,0,0,4,.250,.250,.417,.667,89,5,1,0,0,0,0,4/H,,1973,22,OAK,AL,17,12,0,-1,0,0,0,-1,-0.1,0,-1,-0.1,.494,.499,-0.1,0.1,-1,,4/H,
1974,23,OAK,AL,21,37,33,3,5,0,0,0,2,0,0,2,8,.152,.222,.152,.374,13,5,0,1,1,0,0,4/H,,1974,23,OAK,AL,21,37,-2,0,0,1,0,0,0.0,1,1,0.1,.500,.500,0.0,0.2,0,"$10,800",4/H,
1975,24,CHC,NL,154,613,545,55,135,12,2,7,70,1,7,45,78,.248,.306,.316,.622,71,172,10,3,15,5,3,*4/H6,RoY-3,1975,24,CHC,NL,154,613,-16,-1,2,-12,5,-22,-2.5,20,-2,-0.6,.484,.485,0.7,-0.7,10,,*4/H6,RoY-3
1976,25,CHC,NL,158,649,582,42,139,24,3,4,59,17,6,53,70,.239,.304,.311,.615,70,181,17,3,7,4,4,*4/H6,,1976,25,CHC,NL,158,649,-25,2,0,3,5,-15,-1.8,21,6,0.2,.489,.489,-0.2,0.9,3,,*4/H6,
1977,26,CHC,NL,152,565,504,51,141,18,5,7,57,3,5,44,58,.280,.339,.377,.716,84,190,17,5,4,8,6,*4/H,AS,1977,26,CHC,NL,152,565,-12,-1,-1,1,5,-9,-1.0,18,9,0.7,.494,.494,0.6,0.5,9,"$50,000",*4/H,AS
1978,27,CHC,NL,152,615,552,53,144,17,5,4,55,0,7,50,67,.261,.320,.332,.652,75,183,10,2,3,8,3,*4/H,,1978,27,CHC,NL,152,615,-19,-2,0,8,5,-8,-1.0,20,11,1.0,.494,.494,0.0,1.4,4,,*4/H,
1979,28,PHI,NL,118,467,431,40,112,22,1,6,42,4,7,20,59,.260,.296,.357,.654,76,154,13,4,8,4,3,*4,GG,1979,28,PHI,NL,118,467,-15,0,0,11,4,0,0.0,15,15,1.5,.500,.500,0.2,1.6,4,,*4,GG
1980,29,PHI,NL,141,573,531,68,155,25,9,7,43,8,3,32,46,.292,.334,.412,.746,104,219,16,3,4,3,8,*4/H,SS,1980,29,PHI,NL,141,573,3,0,0,6,5,13,1.4,20,33,3.4,.511,.509,2.7,1.1,27,"$375,000",*4/H,SS
1981,30,PHI,NL,94,387,349,37,100,14,3,6,36,10,4,26,37,.287,.338,.395,.733,104,138,6,3,5,4,3,*4,"AS,GG,SS",1981,30,PHI,NL,94,387,4,0,1,-5,3,3,0.5,13,17,1.8,.504,.502,2.2,-0.2,21,"$375,000",*4,"AS,GG,SS"
1982,31,PHI,NL,149,595,549,52,149,24,1,0,39,8,10,33,53,.271,.316,.319,.634,76,175,14,3,9,1,3,*4/H,"AS,GG",1982,31,PHI,NL,149,595,-14,-7,0,-1,5,-17,-1.9,20,3,0.2,.487,.488,0.1,0.5,4,"$375,000",*4/H,"AS,GG"
1983,32,TOT,MLB,119,483,441,49,119,21,1,3,45,1,3,31,64,.270,.319,.342,.662,81,151,15,2,7,2,2,*4/H,AS,1983,32,CLE,AL,88,347,-10,0,0,2,3,-6,-0.6,12,6,0.5,.492,.496,0.4,0.5,4,"$375,000",4/H,AS
1984,33,SFG,NL,98,437,401,45,102,21,1,4,36,0,0,25,55,.254,.300,.342,.642,83,137,8,3,4,4,0,4/5H,,1983,32,MON,NL,31,136,0,0,0,-3,1,-1,-0.2,4,3,0.3,.496,.499,0.6,-0.2,6,,4,AS
1985,34,SFG,NL,125,505,451,36,101,16,2,3,25,2,0,40,44,.224,.287,.288,.576,66,130,6,1,11,2,0,*4/H5,,1984,33,SFG,NL,98,437,-7,0,1,-5,4,-7,-0.8,14,7,0.7,.492,.495,1.2,-0.2,13,,4/5H,
1986,35,CHC,NL,81,172,152,22,45,10,0,1,19,0,2,16,21,.296,.359,.382,.740,99,58,2,0,2,2,0,5H3/4,,1985,34,SFG,NL,125,505,-18,1,1,7,4,-5,-0.6,17,12,1.2,.495,.496,0.3,1.2,5,"$709,714",*4/H5,
1987,36,CHC,NL,108,244,214,27,63,8,0,8,26,0,3,25,37,.294,.367,.444,.811,112,95,6,0,4,1,0,35H4/6,,1986,35,CHC,NL,81,172,0,0,0,-3,0,-3,-0.4,6,3,0.2,.496,.498,0.5,-0.3,6,"$550,000",5H3/4,
1988,37,CHC,NL,76,177,164,15,41,5,0,1,14,2,0,8,32,.250,.283,.299,.582,65,49,2,0,4,1,0,3H54/6,,1987,36,CHC,NL,108,244,6,-2,-1,-4,-2,-3,-0.3,8,5,0.5,.497,.498,0.9,-0.6,9,"$290,000",35H4/6,
1989,38,CIN,NL,17,42,39,3,8,0,0,0,0,0,0,2,9,.205,.262,.205,.467,34,8,0,1,0,0,0,4/H36,,1988,37,CHC,NL,76,177,-7,-1,0,2,0,-5,-0.6,6,1,0.0,.492,.496,-0.3,0.2,-1,"$357,000",3H54/6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,38,CIN,NL,17,42,-3,0,0,-2,0,-5,-0.5,1,-3,-0.4,.470,.497,-0.2,-0.2,-1,"$320,000",4/H36,
