Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2002,26,NYM,NL,27,38,36,2,8,0,1,1,6,0,1,0,11,.222,.216,.361,.577,52,13,1,0,1,1,0,4H/657,,2002,26,NYM,NL,27,38,-3,0,0,0,1,-2,-0.2,1,-1,-0.1,.492,.499,-0.2,0.1,-1,,4H/657,
2003,27,NYM,NL,48,91,75,10,16,4,0,2,6,2,0,13,14,.213,.333,.347,.680,81,26,1,1,1,1,2,4H/6,,2003,27,NYM,NL,48,91,-2,0,0,-3,1,-4,-0.4,3,-1,-0.1,.493,.498,0.2,-0.3,2,,4H/6,
2004,28,OAK,AL,137,477,455,50,124,32,1,7,43,0,0,16,58,.273,.297,.393,.690,79,179,9,0,5,1,1,*46H/5,,2004,28,OAK,AL,137,477,-13,2,2,-10,4,-16,-1.4,18,2,0.3,.489,.491,1.2,-0.4,12,"$301,500",*46H/5,
2005,29,OAK,AL,118,423,381,48,94,22,3,9,37,5,2,36,48,.247,.310,.391,.701,86,149,6,0,4,2,1,64/5H7,,2005,29,OAK,AL,118,423,-5,0,1,0,5,1,0.1,16,17,1.6,.501,.501,1.7,0.6,17,"$323,500",64/5H7,
2006,30,OAK,AL,117,423,365,52,97,21,6,5,41,5,1,50,66,.266,.350,.397,.747,96,145,16,0,3,5,0,645/H7,,2006,30,OAK,AL,117,423,1,-1,-2,-17,5,-14,-1.3,16,2,0.2,.488,.492,1.9,-1.1,19,"$340,000",645/H7,
2007,31,OAK,AL,104,379,338,49,88,13,0,7,41,2,1,35,40,.260,.332,.361,.693,88,122,13,2,2,2,1,654H/79D,,2007,31,OAK,AL,104,379,-3,1,-2,-1,3,-2,-0.2,14,12,1.2,.498,.499,1.3,0.2,13,"$1,550,000",654H/79D,
2008,32,TOR,AL,145,592,517,76,138,23,1,7,60,7,2,57,65,.267,.341,.356,.697,88,184,8,5,6,7,0,645/H3D7,,2008,32,TOR,AL,145,592,-5,-1,3,21,5,21,2.3,22,43,4.5,.515,.513,2.3,2.7,22,"$1,550,000",645/H3D7,
2009,33,TOR,AL,144,680,574,100,162,35,1,12,60,14,5,90,75,.282,.379,.409,.789,108,235,12,4,5,7,0,*6/4D,,2009,33,TOR,AL,144,680,10,1,0,12,8,32,3.2,23,54,5.4,.522,.519,4.2,2.0,42,"$1,100,000",*6/4D,
2010,34,BOS,AL,150,695,632,92,174,38,0,11,56,5,4,53,71,.275,.333,.388,.721,92,245,13,3,4,3,1,*64/H,,2010,34,BOS,AL,150,695,-5,0,-1,0,8,2,0.3,24,25,2.6,.501,.501,2.6,0.9,25,"$5,500,000",*64/H,
2011,35,BOS,AL,113,445,395,59,118,26,1,7,54,4,2,38,36,.299,.358,.423,.781,110,167,12,1,7,4,1,*6/H4,,2011,35,BOS,AL,113,445,3,1,-1,-1,6,9,0.9,17,25,2.5,.508,.506,2.7,0.5,26,"$5,500,000",*6/H4,
2012,36,TOT,NL,156,683,620,87,190,32,4,7,74,9,4,40,49,.306,.348,.405,.753,100,251,12,4,10,9,0,*465/H,,2012,36,COL,NL,95,415,-12,2,2,-6,3,-11,-1.2,12,2,0.1,.488,.493,0.6,-0.3,8,"$6,000,000",46,
2013,37,SFG,NL,127,547,488,57,145,23,3,2,31,2,0,45,34,.297,.357,.369,.726,109,180,13,2,9,3,0,*4/DH,AS,2012,36,SFG,NL,61,268,13,2,0,-4,2,13,1.4,8,21,2.1,.522,.508,2.5,-0.3,25,,45/H,
2014,38,SFG,NL,5,13,11,1,1,0,0,0,0,0,0,1,3,.091,.167,.091,.258,-23,1,1,0,1,0,0,/4H,,2013,37,SFG,NL,127,547,9,0,1,-8,3,5,0.5,17,23,2.2,.505,.504,3.1,-0.6,31,"$6,666,667",*4/DH,AS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,38,SFG,NL,5,13,-2,0,0,-1,0,-3,-0.3,0,-2,-0.3,.435,.498,-0.2,-0.1,-1,"$6,666,667",/4H,
