Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,22,ATL,NL,24,49,42,3,11,1,1,1,9,0,0,5,7,.262,.340,.405,.745,91,17,2,0,2,0,0,4H/5,,2006,22,ATL,NL,24,49,-1,-1,0,-6,0,-8,-0.8,2,-6,-0.6,.469,.495,0.0,-0.6,0,,4H/5,
2007,23,ATL,NL,28,62,59,5,17,3,0,0,2,0,0,3,6,.288,.323,.339,.662,73,20,0,0,0,0,0,H4/5,,2007,23,ATL,NL,28,62,-2,0,0,0,0,-1,-0.1,2,1,0.0,.495,.499,0.0,0.0,1,,H4/5,
2008,24,ATL,NL,78,254,228,36,73,18,4,2,33,3,1,21,29,.320,.377,.461,.838,121,105,3,1,2,2,0,5H34/76,,2008,24,ATL,NL,78,254,9,0,0,-1,0,9,0.8,8,17,1.6,.511,.505,1.7,-0.1,18,"$390,000",5H34/76,
2009,25,ATL,NL,128,503,450,64,138,38,0,11,49,1,3,36,59,.307,.358,.464,.822,117,209,17,2,11,4,1,453H/D9,,2009,25,ATL,NL,128,503,13,-2,-2,5,1,15,1.4,16,31,3.0,.512,.509,2.5,0.6,25,"$415,000",453H/D9,
2010,26,ATL,NL,140,651,599,100,184,40,3,15,66,5,3,40,86,.307,.350,.459,.809,119,275,13,3,3,6,2,45/3,"AS,MVP-9",2010,26,ATL,NL,140,651,16,3,-1,10,3,32,3.2,19,50,5.0,.524,.520,3.9,1.4,40,"$440,000",45/3,"AS,MVP-9"
2011,27,ATL,NL,129,590,551,66,143,26,2,13,57,4,8,34,52,.260,.302,.385,.687,87,212,16,1,1,3,1,75/3H,,2011,27,ATL,NL,129,590,-5,-2,-2,10,-3,-1,-0.2,17,16,1.5,.499,.499,0.3,0.7,6,"$3,100,000",75/3H,
2012,28,ATL,NL,156,690,617,81,186,42,6,10,70,17,4,58,69,.301,.359,.438,.796,114,270,19,2,4,9,2,*7564/3H,MVP-20,2012,28,ATL,NL,156,690,13,5,-1,18,-3,32,3.4,20,52,5.4,.522,.521,3.3,1.6,34,"$4,750,000",*7564/3H,MVP-20
2013,29,ARI,NL,155,664,609,70,172,36,2,14,82,3,5,47,53,.282,.333,.417,.750,105,254,29,2,0,6,2,*547/H6,,2013,29,ARI,NL,155,664,5,-4,-1,7,2,9,0.9,21,30,3.0,.507,.506,2.2,0.9,23,"$7,000,000",*547/H6,
2014,30,TOT,MLB,143,573,536,62,151,26,4,12,58,3,1,26,80,.282,.321,.412,.733,104,221,20,7,0,4,0,*54/9H7,,2014,30,ARI,NL,106,436,-4,2,-2,0,2,-2,-0.3,14,13,1.1,.498,.499,1.2,0.2,13,,5/4H,
2015,31,MIA,NL,129,551,500,52,144,22,2,9,63,1,0,37,68,.288,.338,.394,.732,104,197,9,5,1,8,4,*54/H,,2014,30,NYY,AL,37,137,8,0,0,6,0,14,1.6,5,19,2.1,.543,.510,1.4,0.7,13,"$11,000,000",45/97H,
2016,32,MIA,NL,153,658,600,70,183,37,3,8,75,2,2,49,69,.305,.359,.417,.775,113,250,24,4,0,5,4,*5/HD,,2015,31,MIA,NL,129,551,1,1,1,10,3,16,1.7,18,33,3.4,.513,.511,2.2,1.4,23,"$11,000,000",*54/H,
2017,33,MIA,NL,37,147,140,13,35,9,0,2,12,0,0,6,22,.250,.279,.357,.636,73,50,4,0,0,1,0,5/HD,,2016,32,MIA,NL,153,658,15,2,-3,2,3,19,1.8,21,40,3.8,.513,.512,3.7,0.5,38,"$11,000,000",*5/HD,
2018,34,MIA,NL,54,209,197,16,48,9,0,1,18,1,1,11,35,.244,.287,.305,.592,65,60,5,1,0,0,0,5/H3D,,2017,33,MIA,NL,37,147,-6,0,0,5,1,0,-0.1,5,4,0.4,.499,.500,-0.1,0.6,-1,"$11,500,000",5/HD,
2019,35,MIA,NL,104,260,245,26,57,9,0,2,15,0,0,12,41,.233,.265,.294,.559,49,72,10,0,0,3,0,H35/D,,2018,34,MIA,NL,54,209,-7,0,-1,-2,1,-9,-1.0,7,-2,-0.4,.483,.494,-0.1,-0.2,0,"$13,500,000",5/H3D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,35,MIA,NL,104,260,-18,-1,-2,0,-2,-22,-2.4,8,-13,-1.5,.479,.486,-1.5,-0.3,-13,"$15,000,000",H35/D,
