Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,23,HOU,NL,80,219,205,21,48,13,0,2,12,3,3,13,29,.234,.280,.327,.607,65,67,9,0,1,0,0,6H5/4,,2012,23,HOU,NL,80,219,-8,-3,-1,2,3,-7,-0.8,7,0,-0.1,.491,.495,-0.4,0.6,-2,"$480,000",6H5/4,
2013,24,HOU,AL,72,222,204,22,45,8,0,4,14,6,2,9,37,.221,.252,.319,.571,58,65,5,0,8,1,0,64/H5D,,2013,24,HOU,AL,72,222,-9,0,1,3,3,-2,-0.1,8,6,0.7,.497,.499,0.3,0.8,3,"$494,400",64/H5D,
2014,25,HOU,AL,103,310,285,33,79,15,1,6,23,2,4,17,58,.277,.327,.400,.727,106,114,6,4,4,0,0,6H45/7D39,,2014,25,HOU,AL,103,310,0,0,0,-3,4,1,0.3,11,13,1.3,.502,.501,1.6,0.2,16,"$504,500",6H45/7D39,
2015,26,HOU,AL,120,370,344,44,96,18,1,12,34,4,5,16,74,.279,.317,.442,.759,109,152,9,3,7,0,0,36H547/D,,2015,26,HOU,AL,120,370,4,0,-1,10,-1,12,1.4,13,25,2.7,.511,.508,1.6,1.1,15,"$1,062,500",36H547/D,
2016,27,HOU,AL,141,518,484,55,123,26,3,13,51,12,6,22,118,.254,.293,.401,.694,91,194,16,5,6,1,1,357H46/D8,,2016,27,HOU,AL,141,518,-3,-1,-1,4,-5,-7,-0.6,19,12,1.2,.495,.496,0.8,0.0,8,"$2,000,000",357H46/D8,
2017,28,HOU,AL,134,515,455,67,138,34,0,23,90,8,3,49,99,.303,.377,.530,.907,146,241,8,6,3,2,4,76345H/9,MVP-19,2017,28,HOU,AL,134,515,29,-1,0,-6,-1,21,2.1,18,39,3.9,.515,.513,4.5,-0.6,45,"$3,725,000",76345H/9,MVP-19
2018,29,HOU,AL,145,552,489,61,121,25,3,16,68,2,3,53,126,.247,.324,.409,.733,101,200,14,3,5,2,3,7643/H58D9,,2018,29,HOU,AL,145,552,3,-3,0,5,-2,3,0.5,20,22,2.4,.502,.502,1.8,0.6,17,"$5,125,000",7643/H58D9,
2019,30,MIN,AL,114,463,425,52,112,19,0,15,55,1,0,31,98,.264,.322,.414,.736,94,176,7,6,0,1,2,9537/HD46,,2019,30,MIN,AL,114,463,-5,-2,0,11,-3,1,0.3,17,18,1.9,.501,.501,0.7,0.9,7,"$12,000,000",9537/HD46,
2020,31,MIN,AL,53,199,175,15,37,4,0,5,22,0,0,17,41,.211,.286,.320,.606,69,56,1,3,0,4,0,543/9H,,2020,31,MIN,AL,53,199,-8,0,0,3,0,-5,-0.5,7,2,0.2,.491,.497,-0.1,0.3,-1,"$9,000,000",543/9H,
2021,32,TOT,AL,91,307,276,30,55,14,0,5,28,3,2,20,78,.199,.275,.304,.579,56,84,8,9,1,1,0,43765H/D91,,2021,32,BOS,AL,77,271,-16,-1,0,4,0,-12,-1.2,9,-3,-0.3,.483,.492,-0.8,0.5,-7,"$3,000,000",4376/H591,
2022,33,NYY,AL,85,207,184,20,34,7,0,6,18,3,0,14,54,.185,.255,.321,.576,63,59,8,4,3,2,0,9673H5/4D1,,2021,32,HOU,AL,14,36,-1,0,-1,-3,0,-6,-0.6,1,-4,-0.5,.460,.497,-0.2,-0.3,-1,,/5H34D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,33,NYY,AL,85,207,-8,0,-1,11,-1,1,0.1,7,8,0.8,.502,.501,-0.4,1.1,-3,,9673H5/4D1,
