Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1999,27,NYM,NL,66,39,31,6,5,0,0,0,1,2,1,4,7,.161,.278,.161,.439,17,5,0,1,3,0,0,7H8/9456,,1999,27,NYM,NL,66,39,-4,0,0,3,-1,-2,-0.2,1,0,0.0,.498,.499,-0.4,0.2,-3,"$200,000",7H8/9456,
2000,28,TOT,MLB,132,464,414,60,114,22,5,8,47,12,11,35,80,.275,.337,.411,.748,92,170,5,6,4,5,3,687/H459,,2000,28,NYM,NL,79,242,-5,1,0,-3,2,-4,-0.4,8,4,0.3,.496,.498,0.6,-0.1,6,"$210,000",687/H459,
2001,29,BAL,AL,128,503,436,49,109,28,0,7,48,11,4,41,91,.250,.329,.362,.692,87,158,6,14,5,7,2,86/H4,,2000,28,BAL,AL,53,222,2,-3,2,0,3,4,0.4,8,12,1.1,.506,.502,1.2,0.3,12,,6/4,
2002,30,BAL,AL,149,652,557,86,130,30,4,19,64,16,10,70,108,.233,.338,.404,.742,101,225,7,20,1,4,2,7684/9DH,,2001,29,BAL,AL,128,503,-4,1,0,5,5,6,0.7,19,25,2.5,.505,.504,2.0,1.0,20,"$270,000",86/H4,
2003,31,BAL,AL,96,413,344,68,109,17,1,15,48,6,3,49,71,.317,.418,.503,.921,143,173,3,12,6,2,0,7986/4H3,AS,2002,30,BAL,AL,149,652,3,-1,1,21,0,24,2.4,24,48,4.7,.516,.515,2.6,2.1,27,"$350,000",7684/9DH,
2004,32,BAL,AL,140,636,550,111,187,41,0,27,104,11,6,66,95,.340,.419,.562,.981,155,309,10,11,6,3,0,*5/HD6,"MVP-18,SS",2003,31,BAL,AL,96,413,25,3,1,7,-2,33,3.3,15,49,4.7,.534,.520,4.1,0.6,42,"$1,725,000",7986/4H3,AS
2005,33,BAL,AL,149,664,593,86,168,30,1,27,88,7,4,50,112,.283,.348,.474,.821,117,281,9,10,8,3,0,*5/DH,AS,2004,32,BAL,AL,140,636,46,0,-1,-12,3,36,3.5,23,59,5.6,.524,.521,6.7,-0.7,71,"$2,333,333",*5/HD6,"MVP-18,SS"
2006,34,BAL,AL,155,705,624,96,171,25,0,16,83,11,1,54,99,.274,.342,.391,.733,91,244,9,14,6,7,1,*5/4D,,2005,33,BAL,AL,149,664,14,-2,-1,6,3,20,2.0,24,44,4.3,.513,.512,3.7,1.0,38,"$3,833,333",*5/DH,AS
2007,35,BAL,AL,126,527,467,67,128,23,1,14,58,9,3,47,83,.274,.341,.418,.759,98,195,22,3,5,5,3,*5/HD,,2006,34,BAL,AL,155,705,-5,3,1,-5,3,-3,-0.2,24,22,2.2,.498,.498,2.7,-0.1,27,"$4,333,334",*5/4D,
2008,36,BAL,AL,135,570,513,77,146,29,2,23,104,3,7,37,70,.285,.342,.483,.826,116,248,14,11,3,6,3,*5/DH6,,2007,35,BAL,AL,126,527,-3,-1,-3,6,2,2,0.2,20,21,2.1,.501,.501,1.5,0.9,15,"$7,758,503",*5/HD,
2009,37,BAL,AL,125,496,450,44,117,20,0,8,48,3,3,34,60,.260,.321,.358,.679,78,161,13,8,1,3,1,*5/H,,2008,36,BAL,AL,135,570,10,-3,-1,-11,2,-3,-0.1,21,19,2.0,.498,.498,3.0,-0.8,30,"$7,826,914",*5/DH6,
2010,38,COL,NL,113,354,316,39,90,12,5,7,45,2,1,31,53,.285,.358,.421,.779,98,133,9,5,2,0,2,53H4/7,,2009,37,BAL,AL,125,496,-16,-4,-1,0,2,-19,-1.8,19,0,-0.1,.485,.488,-0.1,0.3,0,"$8,000,000",*5/H,
2011,39,ARI,NL,42,135,127,5,29,6,0,0,16,0,1,2,24,.228,.244,.276,.520,41,35,5,2,0,4,1,5H/3,,2010,38,COL,NL,113,354,-1,-1,-1,-7,0,-9,-1.1,11,2,0.0,.491,.494,0.8,-0.8,9,"$1,275,000",53H4/7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,39,ARI,NL,42,135,-10,0,-1,-3,1,-13,-1.5,4,-9,-1.1,.465,.491,-0.8,-0.3,-6,"$2,350,000",5H/3,
