Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1996,22,TOR,AL,9,30,27,5,6,2,0,0,1,0,0,2,9,.222,.300,.296,.596,53,8,1,1,0,0,0,/4,,1996,22,TOR,AL,9,30,-1,1,0,0,0,0,0.0,1,1,0.1,.497,.500,0.1,0.1,1,,/4,
1997,23,CHC,NL,16,32,29,7,7,1,0,0,1,0,0,2,3,.241,.313,.276,.588,55,8,0,1,0,0,0,/4H6,,1997,23,CHC,NL,16,32,-1,0,0,1,0,0,0.0,1,1,0.1,.502,.500,0.1,0.1,1,,/4H6,
1998,24,TBD,AL,150,558,515,49,138,26,5,5,46,19,8,24,44,.268,.307,.367,.674,74,189,9,6,11,2,0,*4/HD,,1998,24,TBD,AL,150,558,-19,2,3,22,4,12,1.2,21,33,3.2,.508,.507,1.0,2.6,10,"$195,000",*4/HD,
1999,25,TBD,AL,120,508,465,61,137,15,5,3,36,22,7,24,46,.295,.335,.368,.703,80,171,13,7,7,5,0,*4/HD,,1999,25,TBD,AL,120,508,-14,1,0,-2,3,-12,-1.1,19,7,0.7,.491,.493,0.9,0.1,9,"$235,000",*4/HD,
2000,26,TBD,AL,119,417,375,49,98,18,2,1,34,28,7,29,34,.261,.314,.328,.642,65,123,7,2,6,5,0,4H/D,,2000,26,TBD,AL,119,417,-20,4,0,-5,2,-18,-1.6,16,-2,-0.2,.486,.490,0.3,-0.2,3,"$295,000",4H/D,
2001,27,TOT,NL,93,182,156,25,46,8,1,3,16,2,1,18,23,.295,.366,.417,.782,106,65,4,0,7,1,1,H54/763,,2001,27,CHC,NL,66,147,2,1,1,-4,1,0,0.0,5,5,0.4,.501,.500,0.9,-0.3,9,,5H4/6,
2002,28,STL,NL,108,208,184,28,46,9,2,2,23,1,1,13,36,.250,.307,.353,.660,75,65,5,3,6,2,2,H74/5693D,,2001,27,STL,NL,27,35,2,-1,0,0,0,2,0.2,1,3,0.3,.506,.501,0.3,0.0,3,,H/74536,
2003,29,STL,NL,92,290,261,41,64,15,2,5,32,4,1,13,30,.245,.289,.375,.665,74,98,6,6,3,7,1,4H75/693,,2002,28,STL,NL,108,208,-6,0,0,-1,-1,-7,-0.8,6,-1,-0.1,.493,.495,-0.1,-0.2,0,"$600,000",H74/5693D,
2004,30,NYY,AL,122,408,360,48,105,17,5,6,42,11,3,18,49,.292,.346,.417,.763,100,150,7,14,12,4,1,*4/5H63,,2003,29,STL,NL,92,290,-11,2,0,0,0,-8,-0.9,9,1,0.0,.491,.495,0.0,0.0,1,"$850,000",4H75/693,
2005,31,NYM,NL,100,367,327,31,82,18,0,2,19,13,3,19,31,.251,.296,.324,.620,65,106,5,4,12,5,2,4H/3579,,2004,30,NYY,AL,122,408,4,0,0,-10,3,-3,-0.2,15,13,1.2,.498,.498,2.2,-0.5,23,"$900,000",*4/5H63,
2006,32,NYY,AL,81,244,222,28,53,12,3,0,30,13,1,13,31,.239,.280,.320,.600,55,71,4,1,5,3,0,436/H5D7,,2005,31,NYM,NL,100,367,-14,0,0,-3,2,-15,-1.6,11,-4,-0.5,.484,.490,-0.2,-0.2,-1,"$900,000",4H/3579,
2007,33,TOT,MLB,82,193,174,20,44,9,2,0,15,10,2,11,24,.253,.303,.328,.631,66,57,3,2,5,1,1,3H564/7D,,2006,32,NYY,AL,81,244,-14,2,0,10,1,-1,-0.1,9,8,0.8,.499,.499,-0.2,1.1,-2,"$1,000,000",436/H5D7,
2008,34,SEA,AL,108,250,221,34,55,14,2,0,23,5,2,18,32,.249,.316,.330,.646,75,73,6,4,6,1,0,3H5/4D796,,2007,33,NYY,AL,54,121,-7,1,0,1,-1,-6,-0.5,5,-1,-0.1,.490,.497,-0.2,0.1,-2,"$750,000",36H/54D7,
2009,35,PHI,NL,27,47,45,6,12,2,1,1,2,0,0,0,4,.267,.283,.422,.705,83,19,1,1,1,0,0,H/465,,2007,33,STL,NL,28,72,-2,0,1,2,0,1,0.1,2,3,0.3,.503,.500,0.1,0.2,1,,5H/437,
2010,36,CIN,NL,91,226,200,30,58,12,0,4,28,4,0,17,30,.290,.353,.410,.763,104,82,4,4,2,3,0,H53/4D96,,2008,34,SEA,AL,108,250,-7,0,0,3,-4,-7,-0.7,9,2,0.3,.493,.496,-0.1,0.0,-1,"$850,000",3H5/4D796,
