Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,22,ARI,NL,6,17,16,0,4,1,0,0,3,0,0,1,3,.250,.294,.313,.607,53,5,0,0,0,0,0,/2H,,2006,22,ARI,NL,6,17,-1,0,0,0,0,-1,-0.1,1,0,0.0,.485,.499,0.0,0.0,0,,/2H,
2007,23,ARI,NL,84,244,214,30,48,7,0,10,37,0,0,20,35,.224,.292,.397,.689,72,85,7,3,1,6,2,2H,,2007,23,ARI,NL,84,244,-8,-1,-1,-6,4,-13,-1.3,8,-5,-0.6,.485,.492,0.0,-0.3,1,"$380,000",2H,
2008,24,ARI,NL,70,207,184,24,47,16,1,5,18,0,0,19,49,.255,.330,.435,.765,94,80,1,2,1,1,3,2H,,2008,24,ARI,NL,70,207,-3,-1,0,-9,3,-9,-1.0,6,-3,-0.4,.487,.494,0.5,-0.6,6,"$400,500",2H,
2009,25,ARI,NL,128,470,425,61,125,30,0,16,59,1,2,38,78,.294,.355,.478,.832,113,203,6,3,2,2,5,*2H/D,,2009,25,ARI,NL,128,470,10,-1,0,2,7,18,1.8,15,33,3.3,.515,.512,3.0,0.9,31,"$425,000",*2H/D,
2010,26,ARI,NL,85,331,297,36,79,20,2,9,43,0,1,29,71,.266,.332,.438,.770,102,130,10,2,0,3,3,2/HD,,2010,26,ARI,NL,85,331,-1,-1,-1,1,5,3,0.2,10,13,1.2,.504,.502,1.2,0.6,12,"$2,000,000",2/HD,
2011,27,ARI,NL,140,553,493,65,139,36,1,18,86,1,1,47,97,.282,.351,.469,.820,121,231,14,8,1,4,10,*2/H,"AS,MVP-21",2011,27,ARI,NL,140,553,11,-1,-1,7,9,25,2.7,17,42,4.4,.519,.517,3.5,1.7,35,"$3,200,000",*2/H,"AS,MVP-21"
2012,28,ARI,NL,141,573,486,65,139,25,2,15,88,0,0,73,130,.286,.391,.438,.829,123,213,15,12,0,2,6,*2/H,MVP-32,2012,28,ARI,NL,141,573,20,-4,-2,2,9,25,2.7,18,43,4.5,.519,.517,4.1,1.2,41,"$5,900,000",*2/H,MVP-32
2013,29,ARI,NL,116,475,413,44,95,14,0,11,42,0,0,51,110,.230,.318,.344,.662,83,142,18,5,0,6,4,*2/H,,2013,29,ARI,NL,116,475,-9,-2,-2,-5,8,-11,-1.3,15,5,0.3,.490,.493,0.8,0.2,10,"$10,000,000",*2/H,
2014,30,ARI,NL,136,560,489,40,119,23,0,13,72,0,4,56,97,.243,.329,.370,.699,95,181,12,9,0,6,11,*2/HD,AS,2014,30,ARI,NL,136,560,-4,-3,-1,-5,9,-5,-0.8,18,13,1.0,.496,.496,1.7,0.3,18,"$10,000,000",*2/HD,AS
2015,31,CHC,NL,113,403,347,36,86,11,0,15,53,1,1,49,103,.248,.345,.409,.754,108,142,9,4,0,3,5,*2H/D,,2015,31,CHC,NL,113,403,4,-1,-1,-3,6,5,0.5,13,19,1.8,.505,.504,2.1,0.3,22,"$12,000,000",*2H/D,
2016,32,CHC,NL,86,284,241,33,52,8,1,8,33,1,0,38,58,.216,.327,.357,.684,82,86,8,3,0,2,5,2H/D1,,2016,32,CHC,NL,86,284,-6,-1,0,-8,4,-11,-1.2,9,-2,-0.3,.487,.493,0.5,-0.4,6,"$14,000,000",2H/D1,
2017,33,TOT,MLB,76,213,185,24,40,6,0,6,16,1,0,23,47,.216,.310,.346,.656,72,64,6,3,0,2,1,2H/D31,,2017,33,CHC,NL,44,112,1,0,0,-5,2,-2,-0.2,4,2,0.2,.497,.499,0.7,-0.4,7,"$14,000,000",2H/31,
2018,34,WSN,NL,4,13,11,0,0,0,0,0,0,0,0,2,3,.000,.154,.000,.154,-54,0,0,0,0,0,1,/2,,2017,33,TOR,AL,32,101,-8,0,0,-2,1,-10,-1.0,4,-6,-0.6,.470,.494,-0.4,0.0,-4,,2/HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,34,WSN,NL,4,13,-3,0,0,0,0,-3,-0.3,0,-2,-0.3,.422,.498,-0.3,0.0,-2,"$1,300,000",/2,
