Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2014,25,LAD,NL,85,162,149,16,27,3,0,1,9,0,0,10,28,.181,.242,.221,.464,34,33,5,2,1,0,1,65/H47,,2014,25,LAD,NL,85,162,-13,1,0,13,3,4,0.4,5,9,0.9,.506,.503,-0.5,1.7,-4,,65/H47,
2015,26,MIA,NL,60,157,142,13,40,7,1,1,17,0,1,11,16,.282,.329,.366,.695,94,52,4,0,2,2,1,6H/45,,2015,26,MIA,NL,60,157,1,1,0,3,2,7,0.8,5,12,1.3,.513,.505,0.9,0.6,9,,6H/45,
2016,27,MIA,NL,123,214,194,27,48,12,0,1,14,2,1,11,27,.247,.288,.325,.613,69,63,10,1,6,2,2,436H5,,2016,27,MIA,NL,123,214,-7,0,-1,0,0,-8,-0.9,7,-1,-0.2,.493,.495,-0.2,0.0,-1,"$511,000",436H5,
2017,28,MIA,NL,90,306,272,37,79,16,2,1,26,2,1,27,32,.290,.361,.375,.736,103,102,6,4,1,2,5,65/H34,,2017,28,MIA,NL,90,306,3,1,1,5,4,14,1.4,10,24,2.3,.516,.509,1.8,0.9,19,"$535,000",65/H34,
2018,29,MIA,NL,153,528,488,44,123,13,0,11,53,6,3,24,69,.252,.297,.346,.643,79,169,23,9,2,4,2,635H4,,2018,29,MIA,NL,153,528,-8,-1,-2,6,2,-3,-0.6,17,14,1.1,.498,.498,0.6,0.8,8,"$1,180,000",635H4,
2019,30,MIA,NL,132,526,483,52,137,29,1,5,46,9,5,32,62,.284,.331,.379,.710,89,183,15,5,1,5,2,*6/3H4,,2019,30,MIA,NL,132,526,-8,-2,-1,-1,6,-5,-0.8,17,12,0.9,.496,.497,1.2,0.4,13,"$3,155,000",*6/3H4,
2020,31,MIA,NL,40,143,125,20,38,10,1,4,20,5,1,16,18,.304,.392,.496,.888,138,62,1,2,0,0,2,6/35H,,2020,31,MIA,NL,40,143,6,1,0,1,2,10,1.0,5,15,1.5,.525,.506,1.4,0.3,14,"$4,750,000",6/35H,
2021,32,MIA,NL,132,539,495,66,131,30,3,9,48,13,3,37,74,.265,.322,.392,.713,93,194,10,5,1,1,0,*6/H,,2021,32,MIA,NL,132,539,-4,2,0,5,7,9,0.8,18,27,2.6,.507,.506,2.2,1.1,22,"$5,000,000",*6/H,
2022,33,MIA,NL,140,507,471,34,111,19,2,6,36,9,3,26,61,.236,.283,.323,.605,71,152,12,6,1,3,1,*63/H,,2022,33,MIA,NL,140,507,-14,-2,0,17,7,7,0.8,17,24,2.5,.505,.505,0.6,2.6,7,"$5,000,000",*63/H,
2023,34,LAD,NL,124,423,385,49,91,16,1,5,31,8,3,26,48,.236,.290,.322,.612,65,124,12,5,2,5,0,*6H/1D45,,2023,34,LAD,NL,124,423,-16,-2,-1,12,6,-1,-0.1,14,14,1.3,.500,.500,0.1,1.8,2,"$4,250,000",*6H/1D45,
2024,35,LAD,NL,36,98,90,12,24,8,0,2,10,2,0,8,8,.267,.327,.422,.749,113,38,2,0,0,0,0,6/45H,,2024,35,LAD,NL,36,98,1,1,0,2,2,6,0.6,3,9,0.9,.516,.504,0.7,0.4,7,"$5,750,000",6/45H,
