Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1993,21,LAD,NL,47,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1,,1993,21,LAD,NL,47,1,0,0,0,0,0,1,0.1,0,1,0.1,.501,.500,0.1,0.0,1,,1,
1994,22,LAD,NL,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,1994,22,LAD,NL,24,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$147,000",1,
1995,23,LAD,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,1995,23,LAD,NL,28,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$156,000",1,
1996,24,MON,NL,64,11,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,1,0,0,0,0,1,,1996,24,MON,NL,64,11,-3,0,0,0,1,-2,-0.2,0,-2,-0.2,.497,.499,-0.2,-0.1,-2,"$156,000",1,
1997,25,TOT,MLB,32,5,5,0,1,0,0,0,1,0,0,0,0,.200,.200,.200,.400,6,1,0,0,0,0,0,1,,1997,25,MON,NL,32,5,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$550,000",1,
1998,26,ARI,NL,33,56,46,3,5,0,0,0,1,0,0,5,17,.109,.196,.109,.305,-17,5,1,0,5,0,0,1,,1998,26,ARI,NL,33,56,-9,0,0,0,8,-1,-0.2,0,-1,-0.2,.496,.499,-0.1,0.0,-1,"$575,000",1,
1999,27,ARI,NL,30,77,69,8,16,2,0,0,4,0,0,2,10,.232,.254,.261,.514,30,18,2,0,6,0,0,1,,1999,27,ARI,NL,30,77,-6,0,0,0,12,6,0.5,0,6,0.5,.518,.503,0.5,0.0,6,"$2,625,000",1,
2000,28,TOT,NL,30,54,45,3,12,3,0,1,6,0,0,4,8,.267,.327,.400,.727,81,18,1,0,5,0,0,1,,2000,28,ARI,NL,18,31,-2,0,0,0,5,3,0.3,0,3,0.3,.515,.502,0.3,0.0,3,"$5,625,000",1,
2001,29,PHI,NL,30,63,55,7,13,1,0,0,5,0,0,1,10,.236,.250,.255,.505,33,14,4,0,7,0,0,1,,2000,28,PHI,NL,12,23,0,0,0,0,4,3,0.3,0,3,0.3,.526,.502,0.3,0.0,3,,1,
2002,30,LAD,NL,38,48,39,2,6,2,0,1,4,0,0,1,11,.154,.175,.282,.457,22,11,0,0,8,0,0,1,,2001,29,PHI,NL,30,63,-6,0,-1,0,9,3,0.3,0,3,0.3,.509,.502,0.3,0.0,3,"$2,750,000",1,
2003,31,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2002,30,LAD,NL,38,48,-4,0,0,0,7,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,"$5,000,000",1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,31,BAL,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$3,000,000",1,
