Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2002,20,DET,AL,18,75,72,4,24,3,0,1,6,0,1,3,10,.333,.360,.417,.777,114,30,0,0,0,0,0,6/4,,2002,20,DET,AL,18,75,1,0,0,1,1,4,0.3,3,6,0.6,.519,.502,0.5,0.2,5,,6/4,
2003,21,DET,AL,69,244,221,24,49,6,1,0,8,6,3,18,37,.222,.278,.258,.536,48,57,1,0,3,2,0,6/54H,,2003,21,DET,AL,69,244,-16,0,0,-3,3,-15,-1.5,9,-6,-0.6,.478,.491,-0.3,0.1,-3,"$300,000",6/54H,
2004,22,DET,AL,142,556,503,69,133,27,9,16,55,13,7,40,112,.264,.317,.449,.766,102,226,4,1,7,5,3,465/H8,,2004,22,DET,AL,142,556,2,-2,1,-4,4,2,0.3,21,22,2.2,.501,.501,2.5,0.2,26,"$305,000",465/H8,
2005,23,DET,AL,121,434,406,36,90,28,2,9,43,8,0,16,73,.222,.254,.367,.621,65,149,5,2,8,2,0,46/H,,2005,23,DET,AL,121,434,-22,3,2,2,4,-12,-1.2,16,5,0.4,.490,.493,0.2,0.7,3,"$355,000",46/H,
2006,24,DET,AL,78,245,224,35,62,11,4,4,25,3,2,14,45,.277,.325,.415,.740,90,93,5,3,2,2,0,4DH6/58,,2006,24,DET,AL,78,245,-2,1,0,4,0,4,0.4,9,13,1.3,.505,.502,0.9,0.4,9,"$385,000",4DH6/58,
2007,25,DET,AL,66,178,166,24,45,6,1,2,17,4,1,9,29,.271,.307,.355,.662,73,59,4,0,2,1,0,46H8/59D7,,2007,25,DET,AL,66,178,-8,2,1,-2,1,-6,-0.6,7,0,0.0,.491,.496,0.2,-0.1,2,"$1,300,000",46H8/59D7,
2008,26,ATL,NL,96,348,317,45,93,24,3,3,40,0,1,22,44,.293,.338,.416,.755,99,132,4,2,2,5,2,756H4/8,,2008,26,ATL,NL,96,348,1,-2,1,10,1,10,0.9,11,21,2.0,.511,.506,1.0,1.0,11,"$1,400,000",756H4/8,
2009,27,ATL,NL,70,229,203,24,62,9,1,2,27,2,0,19,28,.305,.361,.389,.750,100,79,5,1,2,4,0,4H56/879,,2009,27,ATL,NL,70,229,2,2,0,-2,1,2,0.2,7,9,0.9,.503,.501,1.1,-0.1,11,"$1,850,000",4H56/879,
2010,28,ATL,NL,134,506,471,65,151,15,3,8,47,7,6,29,62,.321,.359,.416,.775,111,196,14,0,4,2,1,4567H/9,AS,2010,28,ATL,NL,134,506,8,0,-2,7,2,16,1.6,16,32,3.1,.512,.510,2.4,1.0,24,"$2,225,000",4567H/9,AS
2011,29,FLA,NL,148,640,579,55,160,24,8,7,49,4,2,34,67,.276,.315,.382,.696,90,221,12,2,17,8,1,*4/H,,2011,29,FLA,NL,148,640,-4,0,0,4,4,5,0.5,20,24,2.4,.504,.503,1.9,0.9,20,"$2,500,000",*4/H,
2012,30,TOT,MLB,149,588,554,69,152,30,7,12,53,17,3,21,65,.274,.300,.419,.719,91,232,9,1,8,4,0,*4/5H,,2012,30,MIA,NL,85,347,-1,2,1,4,2,8,0.8,11,18,1.9,.510,.505,1.4,0.7,14,,4/H,
2013,31,DET,AL,118,476,453,54,144,24,3,10,51,5,2,20,44,.318,.345,.450,.795,115,204,11,0,0,3,1,*4/H,,2012,30,DET,AL,64,241,-8,0,1,3,2,-1,-0.2,9,8,0.7,.498,.499,0.5,0.5,5,"$4,000,000",4/5H,
2014,32,KCR,AL,135,575,528,50,133,21,3,6,66,9,3,33,68,.252,.295,.337,.632,76,178,7,2,5,7,3,*4/H,,2013,31,DET,AL,118,476,8,-1,1,-4,3,8,1.0,17,25,2.6,.507,.505,3.0,0.1,29,"$4,000,000",*4/H,
2015,33,KCR,AL,124,455,440,39,97,23,7,2,44,2,2,9,69,.220,.234,.318,.552,48,140,8,0,2,4,0,*4/H,,2014,32,KCR,AL,135,575,-19,0,1,-2,4,-16,-1.6,21,5,0.5,.487,.489,0.6,0.3,7,"$5,000,000",*4/H,
2016,34,KCR,AL,39,149,134,16,32,9,1,0,11,0,0,9,23,.239,.279,.321,.600,61,43,0,0,2,4,0,4,,2015,33,KCR,AL,124,455,-30,0,1,4,3,-22,-2.3,16,-6,-0.7,.481,.485,-1.1,0.9,-10,"$7,500,000",*4/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,34,KCR,AL,39,149,-8,1,0,-4,1,-9,-0.9,5,-4,-0.4,.476,.494,0.0,-0.3,1,,4,
