Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2016,21,MIL,NL,55,216,201,21,44,10,3,4,17,8,0,15,47,.219,.273,.358,.631,66,72,6,0,0,0,0,6/H,,2016,21,MIL,NL,55,216,-10,1,0,4,3,-3,-0.4,7,4,0.3,.494,.498,-0.1,0.7,0,,6/H,
2017,22,MIL,NL,153,548,506,56,140,17,2,15,53,14,7,36,100,.277,.324,.407,.731,90,206,10,1,2,3,9,*6/H,,2017,22,MIL,NL,153,548,-6,1,0,4,7,7,0.6,18,24,2.3,.504,.504,1.9,1.1,20,"$538,100",*6/H,
2018,23,MIL,NL,119,366,348,32,82,16,0,3,30,7,4,15,87,.236,.268,.307,.576,55,107,9,1,1,1,0,*6H,,2018,23,MIL,NL,119,366,-19,1,0,7,5,-6,-0.8,12,6,0.4,.495,.496,-0.3,1.2,-1,"$559,600",*6H,
2019,24,MIL,NL,152,546,494,51,110,16,1,15,59,8,5,43,109,.223,.283,.350,.633,64,173,15,1,2,6,5,*6/H,,2019,24,MIL,NL,152,546,-28,1,0,-2,7,-22,-2.5,18,-4,-0.7,.485,.486,-0.4,0.4,-2,"$565,700",*6/H,
2020,25,MIL,NL,59,189,173,22,45,10,1,5,20,2,0,14,32,.260,.317,.416,.734,95,72,10,1,0,1,0,*6/H18,,2020,25,MIL,NL,59,189,-1,0,-1,-4,3,-4,-0.3,6,3,0.3,.494,.498,0.7,-0.1,7,"$2,200,000",*6/H18,
2021,26,TOT,NL,36,89,81,9,16,3,0,2,14,1,0,7,19,.198,.258,.309,.567,51,25,2,0,0,1,1,H7/654,,2021,26,MIL,NL,4,11,-2,0,0,1,0,-1,-0.1,0,-1,-0.1,.470,.499,-0.2,0.1,-2,"$2,000,000",/56,
2022,27,ATL,NL,67,234,209,25,51,9,0,9,30,0,0,21,51,.244,.316,.416,.733,102,87,7,2,0,2,0,4/D75H16,,2021,26,ATL,NL,32,78,-3,0,0,0,0,-4,-0.4,3,-1,-0.2,.487,.498,-0.1,-0.1,-1,,H7/64,
2023,28,ATL,NL,139,533,488,66,129,25,0,17,65,1,0,39,102,.264,.321,.420,.741,98,205,14,3,0,3,0,*6/H,AS,2022,27,ATL,NL,67,234,1,1,-1,-3,1,-1,-0.1,8,7,0.7,.498,.499,1.0,-0.2,10,"$1,600,000",4/D75H16,
2024,29,ATL,NL,59,229,216,22,50,14,0,6,21,0,0,7,45,.231,.253,.380,.633,78,82,6,1,0,5,0,*6,,2023,28,ATL,NL,139,533,-2,1,-1,-6,8,-1,-0.1,18,17,1.6,.499,.499,2.2,0.2,23,"$2,300,000",*6/H,AS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,29,ATL,NL,59,229,-7,0,0,5,3,1,0.1,8,9,0.9,.502,.501,0.3,0.9,4,"$2,000,000",*6,
